"RC-RACE RECODE (4 LEVELS)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - Black, Not Hispanic","OH","0.004","0.0005","0.003","0.005","0.035","0.0039","0.028","0.044","0.119","0.0134","0.095","0.148","1170000","N/A","133000"
"3 - Other or Multiple, Not Hispanic","OH","0.002","0.0002","0.001","0.002","0.018","0.0024","0.014","0.024","0.044","0.0055","0.034","0.056","429000","N/A","57000"
"4 - Hispanic","OH","0.001","0.0001","0.001","0.002","0.007","0.0007","0.006","0.009","0.035","0.0036","0.029","0.043","348000","N/A","34000"
"Overall","OK","0.012","0.0006","0.011","0.013","0.012","0.0006","0.011","0.013","1","0","N/A","N/A","3234000","N/A","152000"
"1 - White, Not Hispanic","OK","0.008","0.0005","0.007","0.009","0.013","0.0008","0.011","0.014","0.677","0.019","0.638","0.713","2189000","N/A","130000"
"2 - Black, Not Hispanic","OK","0.001","0.0001","0.001","0.001","0.007","0.001","0.005","0.009","0.071","0.0098","0.054","0.093","230000","N/A","34000"
"3 - Other or Multiple, Not Hispanic","OK","0.002","0.0002","0.002","0.002","0.021","0.002","0.018","0.025","0.156","0.0132","0.131","0.183","503000","N/A","46000"
"4 - Hispanic","OK","0.001","0.0001","0.001","0.001","0.007","0.0008","0.005","0.008","0.097","0.011","0.077","0.12","312000","N/A","36000"
"Overall","OR","0.013","0.0004","0.012","0.014","0.013","0.0004","0.012","0.014","1","0","N/A","N/A","3591000","N/A","108000"
"1 - White, Not Hispanic","OR","0.01","0.0004","0.009","0.011","0.016","0.0007","0.015","0.018","0.771","0.0168","0.736","0.802","2769000","N/A","110000"
"2 - Black, Not Hispanic","OR","0","0.0001","0","0.001","0.002","0.0008","0.001","0.004","0.018","0.007","0.009","0.039","66000","N/A","26000"
"3 - Other or Multiple, Not Hispanic","OR","0.001","0.0001","0.001","0.001","0.014","0.0014","0.011","0.017","0.091","0.0085","0.076","0.109","328000","N/A","31000"
"4 - Hispanic","OR","0.002","0.0002","0.001","0.002","0.009","0.001","0.007","0.011","0.119","0.0136","0.095","0.149","428000","N/A","48000"
"Overall","PA","0.04","0.0011","0.037","0.042","0.04","0.0011","0.037","0.042","1","0","N/A","N/A","10878000","N/A","319000"
"1 - White, Not Hispanic","PA","0.031","0.001","0.029","0.033","0.05","0.0016","0.047","0.053","0.778","0.017","0.743","0.81","8468000","N/A","283000"
"2 - Black, Not Hispanic","PA","0.004","0.0005","0.003","0.005","0.033","0.0043","0.026","0.043","0.102","0.013","0.079","0.13","1105000","N/A","145000"
"3 - Other or Multiple, Not Hispanic","PA","0.002","0.0004","0.001","0.003","0.024","0.005","0.016","0.036","0.052","0.0106","0.034","0.077","562000","N/A","121000"
"4 - Hispanic","PA","0.003","0.0003","0.002","0.003","0.016","0.0017","0.013","0.02","0.068","0.0075","0.055","0.085","743000","N/A","83000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","910000","N/A","43000"
"1 - White, Not Hispanic","RI","0.002","0.0001","0.002","0.003","0.004","0.0002","0.004","0.004","0.74","0.0195","0.699","0.776","673000","N/A","39000"
"2 - Black, Not Hispanic","RI","0","0","0","0","0.002","0.0003","0.001","0.002","0.058","0.0095","0.041","0.079","52000","N/A","9000"
"3 - Other or Multiple, Not Hispanic","RI","0","0","0","0","0.002","0.0004","0.002","0.003","0.057","0.0094","0.041","0.079","52000","N/A","9000"
"4 - Hispanic","RI","0","0","0","0.001","0.003","0.0003","0.002","0.003","0.146","0.0143","0.12","0.176","133000","N/A","13000"
"Overall","SC","0.016","0.0008","0.014","0.017","0.016","0.0008","0.014","0.017","1","0","N/A","N/A","4289000","N/A","210000"
"1 - White, Not Hispanic","SC","0.01","0.0006","0.009","0.012","0.016","0.001","0.015","0.019","0.656","0.02","0.616","0.694","2814000","N/A","166000"
"2 - Black, Not Hispanic","SC","0.004","0.0004","0.003","0.005","0.033","0.003","0.028","0.04","0.258","0.0222","0.217","0.304","1106000","N/A","101000"
"3 - Other or Multiple, Not Hispanic","SC","0.001","0.0001","0","0.001","0.006","0.0014","0.004","0.01","0.035","0.007","0.024","0.052","150000","N/A","32000"
"4 - Hispanic","SC","0.001","0.0002","0.001","0.001","0.005","0.001","0.003","0.007","0.051","0.0104","0.034","0.076","219000","N/A","47000"
"Overall","SD","0.003","0.0001","0.002","0.003","0.003","0.0001","0.002","0.003","1","0","N/A","N/A","718000","N/A","41000"
"1 - White, Not Hispanic","SD","0.002","0.0001","0.002","0.002","0.004","0.0002","0.003","0.004","0.841","0.02","0.798","0.877","605000","N/A","38000"
"2 - Black, Not Hispanic","SD","0","0","0","0","0","0.0001","0","0.001","0.016","0.0037","0.01","0.025","12000","N/A","2000"
"3 - Other or Multiple, Not Hispanic","SD","0","0.0001","0","0","0.003","0.0006","0.002","0.005","0.108","0.0181","0.077","0.149","77000","N/A","14000"
"4 - Hispanic","SD","0","0","0","0","0.001","0.0001","0","0.001","0.035","0.0067","0.024","0.051","25000","N/A","5000"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5699000","N/A","267000"
"1 - White, Not Hispanic","TN","0.016","0.001","0.014","0.018","0.025","0.0016","0.022","0.028","0.753","0.0225","0.706","0.795","4291000","N/A","271000"
"2 - Black, Not Hispanic","TN","0.003","0.0004","0.003","0.004","0.028","0.0032","0.022","0.035","0.162","0.0204","0.126","0.206","923000","N/A","106000"
"3 - Other or Multiple, Not Hispanic","TN","0.001","0.0001","0.001","0.001","0.009","0.0016","0.006","0.013","0.037","0.0062","0.026","0.051","209000","N/A","39000"
"4 - Hispanic","TN","0.001","0.0002","0.001","0.001","0.006","0.0011","0.004","0.008","0.048","0.0086","0.034","0.068","275000","N/A","50000"
"Overall","TX","0.085","0.0022","0.081","0.09","0.085","0.0022","0.081","0.09","1","0","N/A","N/A","23465000","N/A","649000"
"1 - White, Not Hispanic","TX","0.037","0.0018","0.034","0.041","0.06","0.0028","0.054","0.066","0.434","0.0151","0.405","0.464","10189000","N/A","505000"
"2 - Black, Not Hispanic","TX","0.01","0.0008","0.009","0.012","0.084","0.0063","0.072","0.097","0.118","0.0093","0.101","0.138","2772000","N/A","221000"
"3 - Other or Multiple, Not Hispanic","TX","0.006","0.0006","0.005","0.007","0.068","0.0063","0.057","0.082","0.069","0.0064","0.057","0.083","1620000","N/A","155000"
"4 - Hispanic","TX","0.032","0.0014","0.03","0.035","0.189","0.0073","0.175","0.203","0.379","0.0148","0.35","0.408","8884000","N/A","395000"
"Overall","UT","0.009","0.0003","0.009","0.01","0.009","0.0003","0.009","0.01","1","0","N/A","N/A","2540000","N/A","93000"
"1 - White, Not Hispanic","UT","0.007","0.0003","0.007","0.008","0.012","0.0005","0.011","0.013","0.792","0.0163","0.758","0.822","2011000","N/A","89000"
"2 - Black, Not Hispanic","UT","0","0","0","0","0.001","0.0003","0","0.002","0.01","0.0036","0.005","0.02","25000","N/A","9000"
"3 - Other or Multiple, Not Hispanic","UT","0.001","0.0001","0","0.001","0.007","0.0011","0.005","0.009","0.065","0.0094","0.049","0.086","165000","N/A","25000"
"4 - Hispanic","UT","0.001","0.0001","0.001","0.001","0.007","0.0007","0.006","0.009","0.133","0.0129","0.11","0.161","339000","N/A","33000"
"Overall","VA","0.026","0.001","0.024","0.028","0.026","0.001","0.024","0.028","1","0","N/A","N/A","7081000","N/A","284000"
"1 - White, Not Hispanic","VA","0.016","0.0008","0.015","0.018","0.026","0.0013","0.024","0.029","0.631","0.0241","0.583","0.677","4470000","N/A","227000"
"2 - Black, Not Hispanic","VA","0.005","0.0005","0.004","0.006","0.04","0.0039","0.033","0.048","0.186","0.0178","0.154","0.224","1318000","N/A","130000"
"3 - Other or Multiple, Not Hispanic","VA","0.002","0.0005","0.002","0.004","0.028","0.0055","0.019","0.041","0.094","0.0169","0.066","0.133","668000","N/A","133000"
"4 - Hispanic","VA","0.002","0.0002","0.002","0.003","0.013","0.0014","0.011","0.016","0.088","0.009","0.072","0.107","625000","N/A","65000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","546000","N/A","25000"
"1 - White, Not Hispanic","VT","0.002","0.0001","0.002","0.002","0.003","0.0001","0.003","0.003","0.932","0.0099","0.91","0.949","509000","N/A","23000"
"2 - Black, Not Hispanic","VT","0","0","0","0","0","0","0","0","0.01","0.0025","0.006","0.017","6000","N/A","1000"
"3 - Other or Multiple, Not Hispanic","VT","0","0","0","0","0.001","0.0002","0.001","0.001","0.038","0.0086","0.025","0.06","21000","N/A","5000"
"4 - Hispanic","VT","0","0","0","0","0","0","0","0","0.019","0.0036","0.013","0.027","10000","N/A","2000"
"Overall","WA","0.023","0.0009","0.021","0.025","0.023","0.0009","0.021","0.025","1","0","N/A","N/A","6350000","N/A","262000"
"1 - White, Not Hispanic","WA","0.016","0.0009","0.015","0.018","0.026","0.0014","0.023","0.029","0.699","0.0234","0.652","0.743","4441000","N/A","243000"
"2 - Black, Not Hispanic","WA","0.001","0.0002","0.001","0.001","0.007","0.0014","0.005","0.01","0.037","0.0069","0.025","0.053","234000","N/A","45000"
"3 - Other or Multiple, Not Hispanic","WA","0.003","0.0005","0.003","0.004","0.04","0.0051","0.031","0.052","0.15","0.0177","0.118","0.188","949000","N/A","125000"
"4 - Hispanic","WA","0.003","0.0003","0.002","0.003","0.015","0.0017","0.012","0.019","0.114","0.0131","0.091","0.143","725000","N/A","79000"
"Overall","WI","0.018","0.0008","0.016","0.02","0.018","0.0008","0.016","0.02","1","0","N/A","N/A","4920000","N/A","226000"
"1 - White, Not Hispanic","WI","0.015","0.0007","0.014","0.016","0.024","0.0011","0.022","0.026","0.831","0.016","0.797","0.86","4087000","N/A","198000"
"2 - Black, Not Hispanic","WI","0.001","0.0002","0.001","0.001","0.008","0.0014","0.006","0.012","0.056","0.0089","0.041","0.077","277000","N/A","46000"
"3 - Other or Multiple, Not Hispanic","WI","0.001","0.0002","0.001","0.001","0.011","0.0019","0.008","0.015","0.051","0.0081","0.037","0.07","251000","N/A","45000"
"4 - Hispanic","WI","0.001","0.0002","0.001","0.001","0.006","0.0009","0.005","0.009","0.062","0.0085","0.047","0.081","304000","N/A","43000"
"Overall","WV","0.006","0.0003","0.005","0.006","0.006","0.0003","0.005","0.006","1","0","N/A","N/A","1534000","N/A","74000"
"1 - White, Not Hispanic","WV","0.005","0.0003","0.005","0.006","0.008","0.0004","0.008","0.009","0.929","0.0116","0.903","0.949","1426000","N/A","72000"
"2 - Black, Not Hispanic","WV","0","0","0","0","0.001","0.0004","0.001","0.003","0.032","0.0088","0.019","0.055","50000","N/A","14000"
"3 - Other or Multiple, Not Hispanic","WV","0","0","0","0","0.002","0.0004","0.001","0.002","0.023","0.0051","0.015","0.036","36000","N/A","8000"
"4 - Hispanic","WV","0","0","0","0","0","0.0002","0","0.001","0.015","0.0052","0.007","0.03","23000","N/A","8000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","479000","N/A","19000"
"1 - White, Not Hispanic","WY","0.001","0.0001","0.001","0.002","0.002","0.0001","0.002","0.003","0.853","0.0173","0.816","0.884","409000","N/A","18000"
"2 - Black, Not Hispanic","WY","0","0","0","0","0","0.0001","0","0","0.011","0.0035","0.006","0.02","5000","N/A","2000"
"3 - Other or Multiple, Not Hispanic","WY","0","0","0","0","0.001","0.0003","0","0.002","0.045","0.0134","0.025","0.08","21000","N/A","7000"
"4 - Hispanic","WY","0","0","0","0","0.001","0.0001","0.001","0.001","0.091","0.0122","0.07","0.118","44000","N/A","6000"
