"RC-RACE RECODE (4 LEVELS)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - Black, Not Hispanic","SD","0","0","0","0","0","0.0001","0","0.001","0.021","0.0059","0.012","0.036","16000","N/A","5000"
"3 - Other or Multiple, Not Hispanic","SD","0","0","0","0","0.003","0.0005","0.002","0.004","0.106","0.0157","0.079","0.141","80000","N/A","13000"
"4 - Hispanic","SD","0","0","0","0","0.001","0.0002","0","0.001","0.041","0.0107","0.025","0.068","31000","N/A","8000"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5988000","N/A","285000"
"1 - White, Not Hispanic","TN","0.016","0.0009","0.014","0.018","0.026","0.0015","0.023","0.029","0.742","0.0189","0.703","0.778","4445000","N/A","248000"
"2 - Black, Not Hispanic","TN","0.003","0.0004","0.003","0.004","0.027","0.0031","0.022","0.034","0.157","0.0165","0.127","0.192","939000","N/A","107000"
"3 - Other or Multiple, Not Hispanic","TN","0.001","0.0002","0.001","0.001","0.009","0.0017","0.006","0.013","0.04","0.007","0.028","0.056","240000","N/A","43000"
"4 - Hispanic","TN","0.001","0.0002","0.001","0.002","0.007","0.0013","0.005","0.01","0.061","0.0112","0.042","0.087","364000","N/A","68000"
"Overall","TX","0.088","0.0033","0.082","0.095","0.088","0.0033","0.082","0.095","1","0","N/A","N/A","24946000","N/A","988000"
"1 - White, Not Hispanic","TX","0.037","0.0019","0.033","0.04","0.061","0.0031","0.055","0.067","0.415","0.0163","0.383","0.447","10347000","N/A","546000"
"2 - Black, Not Hispanic","TX","0.011","0.0011","0.009","0.013","0.089","0.0086","0.073","0.107","0.123","0.0117","0.102","0.148","3068000","N/A","322000"
"3 - Other or Multiple, Not Hispanic","TX","0.007","0.0007","0.006","0.008","0.073","0.0072","0.061","0.089","0.076","0.007","0.064","0.091","1906000","N/A","195000"
"4 - Hispanic","TX","0.034","0.0018","0.031","0.038","0.187","0.0089","0.17","0.205","0.386","0.0137","0.359","0.413","9625000","N/A","525000"
"Overall","UT","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2783000","N/A","151000"
"1 - White, Not Hispanic","UT","0.008","0.0004","0.007","0.009","0.013","0.0007","0.011","0.014","0.777","0.017","0.742","0.808","2161000","N/A","117000"
"2 - Black, Not Hispanic","UT","0","0","0","0","0.001","0.0002","0.001","0.002","0.012","0.0027","0.008","0.019","33000","N/A","8000"
"3 - Other or Multiple, Not Hispanic","UT","0.001","0.0001","0","0.001","0.007","0.0013","0.005","0.01","0.066","0.0107","0.048","0.091","185000","N/A","33000"
"4 - Hispanic","UT","0.001","0.0002","0.001","0.002","0.008","0.001","0.006","0.01","0.145","0.0153","0.117","0.178","403000","N/A","49000"
"Overall","VA","0.026","0.0012","0.024","0.028","0.026","0.0012","0.024","0.028","1","0","N/A","N/A","7290000","N/A","338000"
"1 - White, Not Hispanic","VA","0.016","0.001","0.014","0.018","0.026","0.0016","0.023","0.029","0.611","0.0239","0.563","0.657","4453000","N/A","275000"
"2 - Black, Not Hispanic","VA","0.005","0.0005","0.004","0.006","0.039","0.0041","0.032","0.048","0.187","0.0173","0.156","0.224","1365000","N/A","144000"
"3 - Other or Multiple, Not Hispanic","VA","0.003","0.0003","0.002","0.003","0.029","0.003","0.023","0.035","0.102","0.0095","0.085","0.122","743000","N/A","77000"
"4 - Hispanic","VA","0.003","0.0003","0.002","0.003","0.014","0.0015","0.011","0.017","0.1","0.0104","0.081","0.122","729000","N/A","77000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","570000","N/A","38000"
"1 - White, Not Hispanic","VT","0.002","0.0001","0.002","0.002","0.003","0.0002","0.003","0.004","0.922","0.0097","0.9","0.939","525000","N/A","36000"
"2 - Black, Not Hispanic","VT","0","0","0","0","0","0.0001","0","0","0.014","0.0037","0.008","0.023","8000","N/A","2000"
"3 - Other or Multiple, Not Hispanic","VT","0","0","0","0","0.001","0.0001","0.001","0.001","0.041","0.0054","0.032","0.053","23000","N/A","3000"
"4 - Hispanic","VT","0","0","0","0","0","0.0001","0","0","0.023","0.0065","0.013","0.04","13000","N/A","4000"
"Overall","WA","0.023","0.0012","0.021","0.026","0.023","0.0012","0.021","0.026","1","0","N/A","N/A","6628000","N/A","334000"
"1 - White, Not Hispanic","WA","0.016","0.0009","0.014","0.018","0.026","0.0016","0.023","0.029","0.669","0.0239","0.62","0.714","4431000","N/A","266000"
"2 - Black, Not Hispanic","WA","0.001","0.0003","0.001","0.002","0.008","0.0021","0.005","0.013","0.041","0.0111","0.024","0.069","272000","N/A","74000"
"3 - Other or Multiple, Not Hispanic","WA","0.004","0.0004","0.003","0.005","0.041","0.0044","0.034","0.051","0.162","0.0145","0.136","0.192","1074000","N/A","115000"
"4 - Hispanic","WA","0.003","0.0004","0.002","0.004","0.016","0.0023","0.013","0.022","0.128","0.0163","0.1","0.164","850000","N/A","117000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5052000","N/A","297000"
"1 - White, Not Hispanic","WI","0.015","0.001","0.013","0.017","0.024","0.0016","0.021","0.028","0.818","0.0194","0.777","0.853","4134000","N/A","271000"
"2 - Black, Not Hispanic","WI","0.001","0.0002","0.001","0.001","0.008","0.0017","0.005","0.012","0.056","0.0111","0.037","0.082","281000","N/A","57000"
"3 - Other or Multiple, Not Hispanic","WI","0.001","0.0001","0.001","0.001","0.011","0.0016","0.008","0.015","0.056","0.0076","0.043","0.073","282000","N/A","42000"
"4 - Hispanic","WI","0.001","0.0002","0.001","0.002","0.007","0.001","0.005","0.009","0.07","0.0098","0.053","0.092","355000","N/A","51000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1518000","N/A","122000"
"1 - White, Not Hispanic","WV","0.005","0.0004","0.004","0.006","0.008","0.0007","0.007","0.01","0.919","0.0138","0.888","0.943","1395000","N/A","112000"
"2 - Black, Not Hispanic","WV","0","0","0","0","0.001","0.0004","0.001","0.002","0.033","0.0085","0.02","0.055","50000","N/A","13000"
"3 - Other or Multiple, Not Hispanic","WV","0","0","0","0","0.002","0.0004","0.001","0.003","0.028","0.0063","0.018","0.044","43000","N/A","11000"
"4 - Hispanic","WV","0","0","0","0","0.001","0.0002","0","0.001","0.019","0.0064","0.01","0.037","29000","N/A","10000"
"Overall","WY","0.002","0.0001","0.001","0.002","0.002","0.0001","0.001","0.002","1","0","N/A","N/A","492000","N/A","38000"
"1 - White, Not Hispanic","WY","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.003","0.847","0.0159","0.813","0.875","417000","N/A","33000"
"2 - Black, Not Hispanic","WY","0","0","0","0","0","0","0","0","0.008","0.0032","0.004","0.018","4000","N/A","2000"
"3 - Other or Multiple, Not Hispanic","WY","0","0","0","0","0.001","0.0002","0.001","0.001","0.049","0.0109","0.031","0.075","24000","N/A","6000"
"4 - Hispanic","WY","0","0","0","0","0.001","0.0001","0.001","0.001","0.097","0.0106","0.078","0.12","48000","N/A","7000"
