"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"1 - Misused within the past year","MD","0.001","0.0001","0","0.001","0.02","0.0047","0.013","0.032","0.033","0.0072","0.022","0.051","173000","N/A","41000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1217000","N/A","110000"
"0 - Did not misuse in the past year","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","0.976","0.007","0.958","0.987","1188000","N/A","108000"
"1 - Misused within the past year","ME","0","0","0","0","0.003","0.001","0.002","0.006","0.024","0.007","0.013","0.042","29000","N/A","9000"
"Overall","MI","0.03","0.0013","0.028","0.033","0.03","0.0013","0.028","0.033","1","0","N/A","N/A","8581000","N/A","377000"
"0 - Did not misuse in the past year","MI","0.03","0.0013","0.027","0.032","0.03","0.0013","0.028","0.033","0.972","0.0034","0.965","0.978","8343000","N/A","367000"
"1 - Misused within the past year","MI","0.001","0.0001","0.001","0.001","0.028","0.0036","0.022","0.036","0.028","0.0034","0.022","0.035","238000","N/A","31000"
"Overall","MN","0.017","0.0013","0.015","0.02","0.017","0.0013","0.015","0.02","1","0","N/A","N/A","4833000","N/A","362000"
"0 - Did not misuse in the past year","MN","0.017","0.0012","0.015","0.019","0.017","0.0013","0.015","0.02","0.982","0.0045","0.971","0.989","4748000","N/A","355000"
"1 - Misused within the past year","MN","0","0.0001","0","0.001","0.01","0.0027","0.006","0.017","0.018","0.0045","0.011","0.029","85000","N/A","23000"
"Overall","MO","0.018","0.0013","0.016","0.021","0.018","0.0013","0.016","0.021","1","0","N/A","N/A","5211000","N/A","385000"
"0 - Did not misuse in the past year","MO","0.018","0.0013","0.015","0.021","0.018","0.0013","0.016","0.021","0.966","0.0065","0.951","0.977","5036000","N/A","376000"
"1 - Misused within the past year","MO","0.001","0.0001","0","0.001","0.021","0.0041","0.014","0.03","0.034","0.0065","0.023","0.049","175000","N/A","35000"
"Overall","MS","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.01","1","0","N/A","N/A","2444000","N/A","157000"
"0 - Did not misuse in the past year","MS","0.008","0.0005","0.007","0.009","0.009","0.0006","0.008","0.01","0.96","0.0084","0.94","0.974","2347000","N/A","153000"
"1 - Misused within the past year","MS","0","0.0001","0","0.001","0.011","0.0025","0.007","0.017","0.04","0.0084","0.026","0.06","97000","N/A","21000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","961000","N/A","80000"
"0 - Did not misuse in the past year","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","0.975","0.0069","0.957","0.985","937000","N/A","77000"
"1 - Misused within the past year","MT","0","0","0","0","0.003","0.0008","0.002","0.005","0.025","0.0069","0.015","0.043","24000","N/A","7000"
"Overall","NC","0.032","0.002","0.028","0.036","0.032","0.002","0.028","0.036","1","0","N/A","N/A","9074000","N/A","578000"
"0 - Did not misuse in the past year","NC","0.031","0.002","0.028","0.035","0.032","0.002","0.028","0.036","0.973","0.0048","0.962","0.981","8831000","N/A","574000"
"1 - Misused within the past year","NC","0.001","0.0002","0.001","0.001","0.028","0.0049","0.02","0.04","0.027","0.0048","0.019","0.038","243000","N/A","42000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","641000","N/A","59000"
"0 - Did not misuse in the past year","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","0.977","0.0073","0.957","0.987","626000","N/A","58000"
"1 - Misused within the past year","ND","0","0","0","0","0.002","0.0006","0.001","0.003","0.023","0.0073","0.013","0.043","15000","N/A","5000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1635000","N/A","102000"
"0 - Did not misuse in the past year","NE","0.006","0.0004","0.005","0.006","0.006","0.0004","0.005","0.007","0.979","0.0054","0.966","0.988","1601000","N/A","100000"
"1 - Misused within the past year","NE","0","0","0","0","0.004","0.0011","0.002","0.007","0.021","0.0054","0.012","0.034","34000","N/A","9000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1225000","N/A","74000"
"0 - Did not misuse in the past year","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","0.972","0.0059","0.958","0.981","1190000","N/A","72000"
"1 - Misused within the past year","NH","0","0","0","0","0.004","0.0009","0.003","0.006","0.028","0.0059","0.019","0.042","35000","N/A","7000"
"Overall","NJ","0.028","0.0013","0.026","0.031","0.028","0.0013","0.026","0.031","1","0","N/A","N/A","7902000","N/A","366000"
"0 - Did not misuse in the past year","NJ","0.027","0.0012","0.025","0.03","0.028","0.0013","0.026","0.031","0.978","0.0043","0.968","0.985","7726000","N/A","354000"
"1 - Misused within the past year","NJ","0.001","0.0001","0","0.001","0.021","0.0041","0.014","0.03","0.022","0.0043","0.015","0.032","176000","N/A","36000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1794000","N/A","109000"
"0 - Did not misuse in the past year","NM","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","0.944","0.0095","0.922","0.96","1693000","N/A","102000"
"1 - Misused within the past year","NM","0","0.0001","0","0.001","0.012","0.0022","0.008","0.017","0.056","0.0095","0.04","0.078","101000","N/A","19000"
"Overall","NV","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2709000","N/A","176000"
"0 - Did not misuse in the past year","NV","0.009","0.0006","0.008","0.01","0.009","0.0006","0.008","0.011","0.956","0.0076","0.938","0.969","2590000","N/A","170000"
"1 - Misused within the past year","NV","0","0.0001","0","0.001","0.014","0.0026","0.01","0.02","0.044","0.0076","0.031","0.062","119000","N/A","22000"
"Overall","NY","0.06","0.0027","0.055","0.065","0.06","0.0027","0.055","0.065","1","0","N/A","N/A","16838000","N/A","783000"
"0 - Did not misuse in the past year","NY","0.058","0.0026","0.053","0.063","0.06","0.0027","0.055","0.065","0.976","0.0032","0.969","0.982","16442000","N/A","764000"
"1 - Misused within the past year","NY","0.001","0.0002","0.001","0.002","0.046","0.0066","0.035","0.061","0.024","0.0032","0.018","0.031","397000","N/A","58000"
"Overall","OH","0.035","0.0016","0.032","0.038","0.035","0.0016","0.032","0.038","1","0","N/A","N/A","9952000","N/A","445000"
"0 - Did not misuse in the past year","OH","0.034","0.0015","0.031","0.037","0.035","0.0016","0.032","0.038","0.971","0.0037","0.963","0.977","9662000","N/A","432000"
"1 - Misused within the past year","OH","0.001","0.0001","0.001","0.001","0.034","0.0046","0.026","0.044","0.029","0.0037","0.023","0.037","290000","N/A","40000"
"Overall","OK","0.012","0.0008","0.01","0.013","0.012","0.0008","0.01","0.013","1","0","N/A","N/A","3334000","N/A","220000"
"0 - Did not misuse in the past year","OK","0.011","0.0008","0.01","0.013","0.012","0.0008","0.01","0.013","0.961","0.0086","0.94","0.975","3203000","N/A","221000"
"1 - Misused within the past year","OK","0","0.0001","0","0.001","0.015","0.0032","0.01","0.023","0.039","0.0086","0.025","0.06","131000","N/A","27000"
"Overall","OR","0.013","0.0006","0.012","0.014","0.013","0.0006","0.012","0.014","1","0","N/A","N/A","3668000","N/A","178000"
"0 - Did not misuse in the past year","OR","0.012","0.0006","0.011","0.014","0.013","0.0006","0.012","0.014","0.962","0.0091","0.939","0.976","3529000","N/A","167000"
"1 - Misused within the past year","OR","0","0.0001","0","0.001","0.016","0.0041","0.01","0.027","0.038","0.0091","0.024","0.061","139000","N/A","36000"
"Overall","PA","0.039","0.0018","0.036","0.043","0.039","0.0018","0.036","0.043","1","0","N/A","N/A","11105000","N/A","505000"
"0 - Did not misuse in the past year","PA","0.038","0.0017","0.035","0.041","0.039","0.0017","0.036","0.043","0.968","0.004","0.959","0.975","10751000","N/A","485000"
"1 - Misused within the past year","PA","0.001","0.0002","0.001","0.002","0.041","0.0055","0.032","0.054","0.032","0.004","0.025","0.041","354000","N/A","49000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","949000","N/A","58000"
"0 - Did not misuse in the past year","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","0.966","0.0095","0.941","0.98","916000","N/A","58000"
"1 - Misused within the past year","RI","0","0","0","0","0.004","0.001","0.002","0.006","0.034","0.0095","0.02","0.059","32000","N/A","9000"
"Overall","SC","0.016","0.0012","0.014","0.019","0.016","0.0012","0.014","0.019","1","0","N/A","N/A","4514000","N/A","343000"
"0 - Did not misuse in the past year","SC","0.015","0.0012","0.013","0.018","0.016","0.0012","0.014","0.019","0.968","0.0076","0.949","0.98","4368000","N/A","336000"
"1 - Misused within the past year","SC","0.001","0.0001","0","0.001","0.017","0.0041","0.011","0.027","0.032","0.0076","0.02","0.051","146000","N/A","35000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","751000","N/A","47000"
"0 - Did not misuse in the past year","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","0.968","0.0089","0.945","0.982","727000","N/A","44000"
"1 - Misused within the past year","SD","0","0","0","0","0.003","0.0009","0.002","0.005","0.032","0.0089","0.018","0.055","24000","N/A","7000"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5988000","N/A","285000"
"0 - Did not misuse in the past year","TN","0.02","0.001","0.019","0.023","0.021","0.001","0.019","0.023","0.965","0.0063","0.951","0.976","5780000","N/A","282000"
"1 - Misused within the past year","TN","0.001","0.0001","0.001","0.001","0.024","0.0044","0.017","0.035","0.035","0.0063","0.024","0.049","208000","N/A","38000"
"Overall","TX","0.088","0.0033","0.082","0.095","0.088","0.0033","0.082","0.095","1","0","N/A","N/A","24946000","N/A","988000"
"0 - Did not misuse in the past year","TX","0.085","0.0032","0.079","0.092","0.088","0.0033","0.082","0.095","0.968","0.0029","0.961","0.973","24136000","N/A","953000"
"1 - Misused within the past year","TX","0.003","0.0003","0.002","0.003","0.095","0.009","0.078","0.114","0.032","0.0029","0.027","0.039","809000","N/A","82000"
"Overall","UT","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2783000","N/A","151000"
"0 - Did not misuse in the past year","UT","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","0.969","0.0047","0.958","0.977","2696000","N/A","148000"
"1 - Misused within the past year","UT","0","0","0","0","0.01","0.0016","0.007","0.014","0.031","0.0047","0.023","0.042","87000","N/A","14000"
"Overall","VA","0.026","0.0012","0.024","0.028","0.026","0.0012","0.024","0.028","1","0","N/A","N/A","7290000","N/A","338000"
"0 - Did not misuse in the past year","VA","0.025","0.0012","0.023","0.028","0.026","0.0012","0.024","0.029","0.981","0.0028","0.974","0.985","7149000","N/A","335000"
"1 - Misused within the past year","VA","0","0.0001","0","0.001","0.016","0.0024","0.012","0.022","0.019","0.0028","0.015","0.026","141000","N/A","20000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","570000","N/A","38000"
"0 - Did not misuse in the past year","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.978","0.0058","0.963","0.987","557000","N/A","36000"
"1 - Misused within the past year","VT","0","0","0","0","0.001","0.0004","0.001","0.003","0.022","0.0058","0.013","0.037","13000","N/A","4000"
"Overall","WA","0.023","0.0012","0.021","0.026","0.023","0.0012","0.021","0.026","1","0","N/A","N/A","6628000","N/A","334000"
"0 - Did not misuse in the past year","WA","0.023","0.0011","0.021","0.025","0.024","0.0012","0.021","0.026","0.975","0.0043","0.965","0.983","6464000","N/A","324000"
"1 - Misused within the past year","WA","0.001","0.0001","0","0.001","0.019","0.0035","0.013","0.027","0.025","0.0043","0.017","0.035","163000","N/A","31000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5052000","N/A","297000"
"0 - Did not misuse in the past year","WI","0.017","0.001","0.016","0.02","0.018","0.001","0.016","0.02","0.976","0.0041","0.966","0.983","4930000","N/A","286000"
"1 - Misused within the past year","WI","0","0.0001","0","0.001","0.014","0.0028","0.01","0.021","0.024","0.0041","0.017","0.034","122000","N/A","24000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1518000","N/A","122000"
"0 - Did not misuse in the past year","WV","0.005","0.0004","0.004","0.006","0.005","0.0004","0.005","0.006","0.957","0.0087","0.937","0.971","1453000","N/A","116000"
"1 - Misused within the past year","WV","0","0.0001","0","0","0.008","0.0017","0.005","0.012","0.043","0.0087","0.029","0.063","65000","N/A","15000"
"Overall","WY","0.002","0.0001","0.001","0.002","0.002","0.0001","0.001","0.002","1","0","N/A","N/A","492000","N/A","38000"
"0 - Did not misuse in the past year","WY","0.002","0.0001","0.001","0.002","0.002","0.0001","0.001","0.002","0.967","0.0063","0.952","0.977","476000","N/A","37000"
"1 - Misused within the past year","WY","0","0","0","0","0.002","0.0004","0.001","0.003","0.033","0.0063","0.023","0.048","16000","N/A","3000"
