"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"4 - Other","NH","0.002","0.0001","0.001","0.002","0.004","0.0003","0.004","0.005","0.348","0.017","0.316","0.382","427000","N/A","34000"
"99 - 12-14 year olds","NH","0","0","0","0","0.003","0.0004","0.003","0.004","0.034","0.0039","0.027","0.043","42000","N/A","5000"
"Overall","NJ","0.028","0.0013","0.026","0.031","0.028","0.0013","0.026","0.031","1","0","N/A","N/A","7902000","N/A","366000"
"1 - Employed full time","NJ","0.013","0.0006","0.011","0.014","0.029","0.0014","0.027","0.032","0.447","0.0144","0.419","0.476","3534000","N/A","171000"
"2 - Employed part time","NJ","0.004","0.0003","0.003","0.004","0.03","0.0027","0.025","0.035","0.134","0.0116","0.113","0.158","1057000","N/A","97000"
"3 - Unemployed","NJ","0.001","0.0002","0.001","0.002","0.03","0.004","0.023","0.039","0.048","0.0062","0.037","0.062","381000","N/A","52000"
"4 - Other","NJ","0.009","0.0007","0.008","0.011","0.025","0.002","0.022","0.029","0.323","0.0164","0.292","0.356","2551000","N/A","200000"
"99 - 12-14 year olds","NJ","0.001","0.0001","0.001","0.002","0.03","0.0031","0.024","0.036","0.048","0.004","0.041","0.056","378000","N/A","40000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1794000","N/A","109000"
"1 - Employed full time","NM","0.002","0.0002","0.002","0.003","0.005","0.0004","0.005","0.006","0.367","0.0162","0.336","0.399","658000","N/A","53000"
"2 - Employed part time","NM","0.001","0.0001","0.001","0.001","0.007","0.0006","0.006","0.008","0.131","0.0099","0.112","0.151","234000","N/A","20000"
"3 - Unemployed","NM","0","0.0001","0","0","0.007","0.0014","0.005","0.011","0.053","0.0093","0.037","0.074","95000","N/A","18000"
"4 - Other","NM","0.003","0.0002","0.002","0.003","0.007","0.0005","0.006","0.008","0.403","0.0184","0.368","0.44","723000","N/A","55000"
"99 - 12-14 year olds","NM","0","0","0","0","0.007","0.0007","0.005","0.008","0.046","0.0041","0.039","0.055","83000","N/A","9000"
"Overall","NV","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2709000","N/A","176000"
"1 - Employed full time","NV","0.004","0.0004","0.003","0.005","0.009","0.0008","0.008","0.011","0.408","0.0195","0.37","0.447","1105000","N/A","100000"
"2 - Employed part time","NV","0.001","0.0001","0.001","0.001","0.008","0.0008","0.007","0.01","0.11","0.0093","0.093","0.13","299000","N/A","29000"
"3 - Unemployed","NV","0","0.0001","0","0.001","0.01","0.0017","0.007","0.014","0.046","0.0076","0.034","0.064","126000","N/A","21000"
"4 - Other","NV","0.004","0.0003","0.003","0.004","0.01","0.0009","0.009","0.012","0.39","0.0226","0.347","0.435","1057000","N/A","87000"
"99 - 12-14 year olds","NV","0","0.0001","0","0.001","0.01","0.0011","0.008","0.012","0.045","0.0045","0.037","0.055","122000","N/A","14000"
"Overall","NY","0.06","0.0027","0.055","0.065","0.06","0.0027","0.055","0.065","1","0","N/A","N/A","16838000","N/A","783000"
"1 - Employed full time","NY","0.025","0.0013","0.022","0.027","0.058","0.003","0.052","0.064","0.412","0.0108","0.391","0.434","6945000","N/A","374000"
"2 - Employed part time","NY","0.008","0.0006","0.007","0.009","0.063","0.0045","0.054","0.072","0.133","0.0071","0.12","0.147","2238000","N/A","167000"
"3 - Unemployed","NY","0.003","0.0003","0.003","0.004","0.075","0.0066","0.063","0.089","0.056","0.0049","0.047","0.067","948000","N/A","88000"
"4 - Other","NY","0.021","0.0012","0.019","0.024","0.06","0.0033","0.053","0.067","0.359","0.0129","0.334","0.385","6044000","N/A","352000"
"99 - 12-14 year olds","NY","0.002","0.0002","0.002","0.003","0.052","0.0039","0.045","0.06","0.039","0.0025","0.035","0.045","663000","N/A","51000"
"Overall","OH","0.035","0.0016","0.032","0.038","0.035","0.0016","0.032","0.038","1","0","N/A","N/A","9952000","N/A","445000"
"1 - Employed full time","OH","0.015","0.0008","0.014","0.017","0.036","0.0018","0.032","0.04","0.434","0.0123","0.41","0.458","4317000","N/A","223000"
"2 - Employed part time","OH","0.004","0.0004","0.004","0.005","0.034","0.0029","0.028","0.04","0.121","0.0084","0.105","0.138","1200000","N/A","106000"
"3 - Unemployed","OH","0.001","0.0001","0.001","0.002","0.03","0.0032","0.025","0.037","0.039","0.0038","0.032","0.047","383000","N/A","40000"
"4 - Other","OH","0.013","0.0007","0.011","0.014","0.035","0.002","0.031","0.039","0.359","0.0136","0.333","0.386","3571000","N/A","207000"
"99 - 12-14 year olds","OH","0.002","0.0001","0.001","0.002","0.038","0.0031","0.032","0.044","0.048","0.0034","0.042","0.056","480000","N/A","39000"
"Overall","OK","0.012","0.0008","0.01","0.013","0.012","0.0008","0.01","0.013","1","0","N/A","N/A","3334000","N/A","220000"
"1 - Employed full time","OK","0.005","0.0004","0.004","0.005","0.011","0.0009","0.009","0.013","0.392","0.0207","0.352","0.433","1307000","N/A","105000"
"2 - Employed part time","OK","0.002","0.0002","0.001","0.002","0.012","0.0013","0.01","0.015","0.134","0.0109","0.114","0.156","445000","N/A","47000"
"3 - Unemployed","OK","0","0.0001","0","0.001","0.011","0.0015","0.008","0.014","0.04","0.0051","0.031","0.052","135000","N/A","18000"
"4 - Other","OK","0.005","0.0004","0.004","0.005","0.013","0.0012","0.01","0.015","0.383","0.0214","0.342","0.426","1276000","N/A","121000"
"99 - 12-14 year olds","OK","0.001","0.0001","0","0.001","0.013","0.0014","0.011","0.016","0.051","0.0055","0.041","0.063","170000","N/A","18000"
"Overall","OR","0.013","0.0006","0.012","0.014","0.013","0.0006","0.012","0.014","1","0","N/A","N/A","3668000","N/A","178000"
"1 - Employed full time","OR","0.005","0.0004","0.005","0.006","0.013","0.001","0.011","0.015","0.416","0.0235","0.37","0.462","1524000","N/A","125000"
"2 - Employed part time","OR","0.002","0.0002","0.002","0.002","0.016","0.0015","0.013","0.019","0.157","0.0147","0.13","0.188","574000","N/A","54000"
"3 - Unemployed","OR","0.001","0.0001","0","0.001","0.012","0.0023","0.008","0.017","0.04","0.0079","0.027","0.059","147000","N/A","29000"
"4 - Other","OR","0.005","0.0003","0.004","0.005","0.013","0.001","0.011","0.015","0.349","0.0207","0.31","0.391","1280000","N/A","98000"
"99 - 12-14 year olds","OR","0.001","0.0001","0","0.001","0.011","0.0012","0.009","0.014","0.039","0.004","0.032","0.048","142000","N/A","16000"
"Overall","PA","0.039","0.0018","0.036","0.043","0.039","0.0018","0.036","0.043","1","0","N/A","N/A","11105000","N/A","505000"
"1 - Employed full time","PA","0.017","0.0009","0.016","0.019","0.041","0.0022","0.037","0.045","0.442","0.0133","0.416","0.469","4912000","N/A","268000"
"2 - Employed part time","PA","0.005","0.0003","0.004","0.005","0.037","0.0026","0.033","0.043","0.12","0.0068","0.108","0.134","1337000","N/A","94000"
"3 - Unemployed","PA","0.001","0.0002","0.001","0.002","0.032","0.0037","0.025","0.04","0.036","0.004","0.029","0.045","401000","N/A","48000"
"4 - Other","PA","0.014","0.0008","0.013","0.016","0.039","0.0023","0.035","0.044","0.36","0.013","0.334","0.385","3993000","N/A","234000"
"99 - 12-14 year olds","PA","0.002","0.0001","0.001","0.002","0.036","0.003","0.031","0.043","0.042","0.003","0.036","0.048","462000","N/A","40000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","949000","N/A","58000"
"1 - Employed full time","RI","0.001","0.0001","0.001","0.002","0.003","0.0003","0.003","0.004","0.439","0.0253","0.39","0.489","417000","N/A","31000"
"2 - Employed part time","RI","0","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.117","0.0135","0.093","0.146","111000","N/A","15000"
"3 - Unemployed","RI","0","0","0","0","0.004","0.0007","0.002","0.005","0.047","0.0093","0.032","0.069","45000","N/A","9000"
"4 - Other","RI","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.357","0.0249","0.309","0.407","338000","N/A","35000"
"99 - 12-14 year olds","RI","0","0","0","0","0.003","0.0004","0.002","0.004","0.039","0.0047","0.031","0.05","37000","N/A","5000"
"Overall","SC","0.016","0.0012","0.014","0.019","0.016","0.0012","0.014","0.019","1","0","N/A","N/A","4514000","N/A","343000"
"1 - Employed full time","SC","0.007","0.0007","0.006","0.008","0.016","0.0017","0.013","0.02","0.424","0.0263","0.374","0.476","1915000","N/A","204000"
"2 - Employed part time","SC","0.002","0.0003","0.002","0.003","0.016","0.002","0.012","0.02","0.124","0.0137","0.1","0.154","561000","N/A","73000"
"3 - Unemployed","SC","0","0.0001","0","0.001","0.011","0.0026","0.007","0.018","0.031","0.0073","0.019","0.049","139000","N/A","34000"
"4 - Other","SC","0.006","0.0005","0.005","0.007","0.017","0.0014","0.014","0.02","0.377","0.0211","0.336","0.419","1700000","N/A","145000"
"99 - 12-14 year olds","SC","0.001","0.0001","0","0.001","0.016","0.0029","0.011","0.023","0.044","0.0074","0.032","0.061","199000","N/A","38000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","751000","N/A","47000"
"1 - Employed full time","SD","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.462","0.0222","0.419","0.506","347000","N/A","26000"
"2 - Employed part time","SD","0","0.0001","0","0","0.003","0.0004","0.002","0.004","0.146","0.0158","0.117","0.18","109000","N/A","14000"
"3 - Unemployed","SD","0","0","0","0","0.001","0.0003","0.001","0.002","0.024","0.004","0.018","0.034","18000","N/A","3000"
"4 - Other","SD","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.312","0.0194","0.275","0.351","234000","N/A","20000"
"99 - 12-14 year olds","SD","0","0","0","0","0.003","0.0005","0.002","0.004","0.056","0.0072","0.043","0.072","42000","N/A","7000"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5988000","N/A","285000"
"1 - Employed full time","TN","0.009","0.0007","0.008","0.01","0.021","0.0015","0.019","0.025","0.428","0.0214","0.387","0.471","2566000","N/A","187000"
"2 - Employed part time","TN","0.002","0.0002","0.002","0.003","0.018","0.0017","0.015","0.021","0.106","0.0104","0.087","0.128","635000","N/A","59000"
"3 - Unemployed","TN","0.001","0.0001","0.001","0.001","0.018","0.0029","0.013","0.025","0.038","0.0062","0.028","0.053","230000","N/A","37000"
"4 - Other","TN","0.008","0.0006","0.007","0.009","0.022","0.0017","0.019","0.026","0.378","0.0199","0.34","0.418","2263000","N/A","171000"
"99 - 12-14 year olds","TN","0.001","0.0001","0.001","0.001","0.023","0.0022","0.019","0.028","0.049","0.0045","0.041","0.059","295000","N/A","28000"
"Overall","TX","0.088","0.0033","0.082","0.095","0.088","0.0033","0.082","0.095","1","0","N/A","N/A","24946000","N/A","988000"
"1 - Employed full time","TX","0.038","0.0016","0.035","0.041","0.089","0.0038","0.082","0.097","0.43","0.0101","0.411","0.45","10735000","N/A","482000"
"2 - Employed part time","TX","0.01","0.0006","0.009","0.011","0.081","0.0046","0.072","0.09","0.116","0.0048","0.107","0.126","2889000","N/A","174000"
"3 - Unemployed","TX","0.005","0.0004","0.004","0.006","0.102","0.0093","0.085","0.122","0.052","0.0042","0.044","0.061","1297000","N/A","126000"
"4 - Other","TX","0.031","0.0014","0.028","0.034","0.086","0.0038","0.079","0.094","0.35","0.0098","0.331","0.37","8741000","N/A","411000"
"99 - 12-14 year olds","TX","0.005","0.0003","0.004","0.005","0.101","0.0064","0.089","0.114","0.051","0.0029","0.046","0.058","1284000","N/A","88000"
"Overall","UT","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2783000","N/A","151000"
"1 - Employed full time","UT","0.005","0.0003","0.004","0.005","0.011","0.0006","0.009","0.012","0.461","0.0145","0.432","0.489","1282000","N/A","75000"
"2 - Employed part time","UT","0.002","0.0002","0.001","0.002","0.014","0.0013","0.011","0.016","0.177","0.0122","0.154","0.202","493000","N/A","45000"
"3 - Unemployed","UT","0","0.0001","0","0","0.007","0.0012","0.005","0.01","0.032","0.0052","0.023","0.044","89000","N/A","15000"
"4 - Other","UT","0.003","0.0002","0.002","0.003","0.007","0.0006","0.006","0.009","0.267","0.0135","0.241","0.294","743000","N/A","59000"
"99 - 12-14 year olds","UT","0.001","0.0001","0.001","0.001","0.014","0.0015","0.011","0.017","0.063","0.0058","0.053","0.076","175000","N/A","19000"
"Overall","VA","0.026","0.0012","0.024","0.028","0.026","0.0012","0.024","0.028","1","0","N/A","N/A","7290000","N/A","338000"
"1 - Employed full time","VA","0.012","0.0006","0.011","0.013","0.028","0.0015","0.026","0.031","0.468","0.0146","0.439","0.497","3411000","N/A","178000"
"2 - Employed part time","VA","0.003","0.0002","0.002","0.003","0.022","0.0017","0.019","0.026","0.108","0.0067","0.095","0.122","785000","N/A","61000"
"3 - Unemployed","VA","0.001","0.0001","0.001","0.001","0.021","0.0025","0.017","0.027","0.037","0.0037","0.031","0.045","272000","N/A","32000"
"4 - Other","VA","0.009","0.0006","0.008","0.01","0.025","0.0015","0.022","0.028","0.341","0.014","0.314","0.369","2488000","N/A","157000"
"99 - 12-14 year olds","VA","0.001","0.0001","0.001","0.001","0.026","0.0023","0.022","0.031","0.046","0.0031","0.04","0.052","333000","N/A","30000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","570000","N/A","38000"
"1 - Employed full time","VT","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.437","0.0239","0.39","0.484","249000","N/A","22000"
"2 - Employed part time","VT","0","0","0","0","0.002","0.0002","0.002","0.003","0.151","0.0108","0.131","0.173","86000","N/A","8000"
"3 - Unemployed","VT","0","0","0","0","0.001","0.0003","0.001","0.002","0.022","0.0061","0.013","0.038","13000","N/A","4000"
"4 - Other","VT","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.351","0.022","0.309","0.395","200000","N/A","18000"
"99 - 12-14 year olds","VT","0","0","0","0","0.002","0.0002","0.001","0.002","0.039","0.0044","0.032","0.049","22000","N/A","3000"
"Overall","WA","0.023","0.0012","0.021","0.026","0.023","0.0012","0.021","0.026","1","0","N/A","N/A","6628000","N/A","334000"
"1 - Employed full time","WA","0.01","0.0007","0.008","0.011","0.023","0.0017","0.02","0.026","0.417","0.0184","0.381","0.453","2762000","N/A","200000"
"2 - Employed part time","WA","0.004","0.0004","0.003","0.005","0.03","0.0028","0.025","0.036","0.16","0.0121","0.138","0.186","1063000","N/A","101000"
"3 - Unemployed","WA","0.001","0.0001","0","0.001","0.015","0.0025","0.011","0.021","0.029","0.0047","0.021","0.039","189000","N/A","32000"
"4 - Other","WA","0.008","0.0005","0.007","0.009","0.023","0.0014","0.021","0.026","0.352","0.014","0.325","0.38","2334000","N/A","136000"
"99 - 12-14 year olds","WA","0.001","0.0001","0.001","0.001","0.022","0.0021","0.018","0.026","0.042","0.0042","0.035","0.051","279000","N/A","27000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5052000","N/A","297000"
"1 - Employed full time","WI","0.008","0.0005","0.007","0.009","0.018","0.0012","0.016","0.021","0.436","0.0181","0.401","0.472","2202000","N/A","147000"
"2 - Employed part time","WI","0.003","0.0002","0.002","0.003","0.02","0.0018","0.017","0.024","0.142","0.0114","0.121","0.166","718000","N/A","66000"
"3 - Unemployed","WI","0","0.0001","0","0.001","0.011","0.002","0.007","0.015","0.027","0.0051","0.018","0.039","135000","N/A","25000"
"4 - Other","WI","0.006","0.0006","0.005","0.007","0.017","0.0016","0.014","0.021","0.343","0.0223","0.301","0.388","1733000","N/A","167000"
"99 - 12-14 year olds","WI","0.001","0.0001","0.001","0.001","0.021","0.0023","0.017","0.026","0.052","0.0046","0.044","0.062","265000","N/A","29000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1518000","N/A","122000"
"1 - Employed full time","WV","0.002","0.0002","0.001","0.002","0.004","0.0004","0.003","0.005","0.327","0.0211","0.287","0.37","497000","N/A","53000"
"2 - Employed part time","WV","0.001","0.0001","0","0.001","0.005","0.0007","0.003","0.006","0.107","0.0137","0.083","0.137","162000","N/A","24000"
"3 - Unemployed","WV","0","0.0001","0","0","0.007","0.0014","0.005","0.01","0.057","0.0106","0.04","0.082","87000","N/A","18000"
"4 - Other","WV","0.003","0.0002","0.002","0.003","0.007","0.0006","0.006","0.008","0.468","0.0216","0.426","0.511","710000","N/A","65000"
"99 - 12-14 year olds","WV","0","0","0","0","0.005","0.0006","0.004","0.006","0.041","0.0043","0.033","0.05","62000","N/A","8000"
"Overall","WY","0.002","0.0001","0.001","0.002","0.002","0.0001","0.001","0.002","1","0","N/A","N/A","492000","N/A","38000"
"1 - Employed full time","WY","0.001","0.0001","0.001","0.001","0.002","0.0001","0.002","0.002","0.443","0.0162","0.411","0.475","218000","N/A","17000"
"2 - Employed part time","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.117","0.0093","0.1","0.137","58000","N/A","7000"
"3 - Unemployed","WY","0","0","0","0","0.001","0.0003","0.001","0.002","0.03","0.0073","0.019","0.048","15000","N/A","4000"
"4 - Other","WY","0.001","0.0001","0.001","0.001","0.002","0.0002","0.001","0.002","0.357","0.02","0.319","0.397","176000","N/A","18000"
"99 - 12-14 year olds","WY","0","0","0","0","0.002","0.0003","0.002","0.003","0.053","0.0068","0.041","0.068","26000","N/A","3000"
