"COVERED BY MEDICAID/CHIP","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"94 - DON T KNOW","NC","0","0.0001","0","0.001","0.034","0.0212","0.01","0.111","0.005","0.0028","0.001","0.015","41000","N/A","26000"
"97 - REFUSED","NC","0","0.0001","0","0","0.148","0.0668","0.058","0.33","0.004","0.0022","0.001","0.012","38000","N/A","20000"
"98 - BLANK","NC","0.001","0.0002","0.001","0.002","0.051","0.0088","0.036","0.072","0.039","0.0068","0.027","0.054","349000","N/A","62000"
"Overall","ND","0.002","0.0002","0.002","0.003","0.002","0.0002","0.002","0.003","1","0","N/A","N/A","641000","N/A","59000"
"1 - Yes","ND","0","0","0","0","0.001","0.0002","0.001","0.002","0.114","0.0157","0.086","0.149","73000","N/A","12000"
"2 - No","ND","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.003","0.841","0.0173","0.804","0.872","539000","N/A","54000"
"85 - BAD DATA Logically assigned","ND","0","0","0","0","0.004","0.0035","0.001","0.022","0.003","0.0025","0.001","0.015","2000","N/A","2000"
"94 - DON T KNOW","ND","0","0","0","0","0.001","0.0004","0","0.002","0.002","0.0008","0.001","0.004","1000","N/A","0"
"97 - REFUSED","ND","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","ND","0","0","0","0","0.004","0.0007","0.003","0.005","0.04","0.0079","0.027","0.059","26000","N/A","5000"
"Overall","NE","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1635000","N/A","102000"
"1 - Yes","NE","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.132","0.0166","0.102","0.168","215000","N/A","30000"
"2 - No","NE","0.005","0.0003","0.004","0.006","0.006","0.0004","0.006","0.007","0.844","0.0172","0.807","0.875","1379000","N/A","93000"
"85 - BAD DATA Logically assigned","NE","0","0","0","0","0.005","0.0051","0.001","0.036","0.001","0.0014","0","0.01","2000","N/A","2000"
"94 - DON T KNOW","NE","0","0","0","0","0.006","0.0021","0.003","0.012","0.005","0.0015","0.002","0.009","8000","N/A","3000"
"97 - REFUSED","NE","0","0","0","0","0.005","0.005","0.001","0.034","0.001","0.0008","0","0.005","1000","N/A","1000"
"98 - BLANK","NE","0","0","0","0","0.004","0.0006","0.003","0.006","0.018","0.0026","0.013","0.024","29000","N/A","4000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1225000","N/A","74000"
"1 - Yes","NH","0.001","0.0001","0","0.001","0.003","0.0003","0.002","0.003","0.118","0.0098","0.101","0.139","145000","N/A","15000"
"2 - No","NH","0.004","0.0002","0.003","0.004","0.005","0.0003","0.004","0.005","0.858","0.0105","0.836","0.877","1051000","N/A","64000"
"85 - BAD DATA Logically assigned","NH","0","0","0","0","0.004","0.0024","0.001","0.013","0.001","0.0009","0","0.005","2000","N/A","1000"
"94 - DON T KNOW","NH","0","0","0","0","0.003","0.0011","0.001","0.006","0.003","0.0011","0.001","0.006","4000","N/A","1000"
"97 - REFUSED","NH","0","0","0","0","0.009","0.0068","0.002","0.038","0.002","0.0013","0","0.008","2000","N/A","2000"
"98 - BLANK","NH","0","0","0","0","0.003","0.0006","0.002","0.004","0.017","0.003","0.012","0.024","21000","N/A","4000"
"Overall","NJ","0.028","0.0013","0.026","0.031","0.028","0.0013","0.026","0.031","1","0","N/A","N/A","7902000","N/A","366000"
"1 - Yes","NJ","0.005","0.0005","0.004","0.006","0.023","0.0026","0.018","0.029","0.167","0.0163","0.138","0.202","1321000","N/A","152000"
"2 - No","NJ","0.022","0.0011","0.02","0.024","0.029","0.0014","0.026","0.032","0.79","0.0167","0.756","0.821","6244000","N/A","303000"
"85 - BAD DATA Logically assigned","NJ","0","0.0001","0","0","0.051","0.0317","0.015","0.163","0.003","0.0019","0.001","0.01","24000","N/A","15000"
"94 - DON T KNOW","NJ","0","0","0","0","0.018","0.0079","0.008","0.042","0.003","0.0012","0.001","0.007","22000","N/A","10000"
"97 - REFUSED","NJ","0","0","0","0","0.015","0.0133","0.003","0.08","0","0.0004","0","0.003","4000","N/A","3000"
"98 - BLANK","NJ","0.001","0.0002","0.001","0.001","0.042","0.0065","0.031","0.057","0.036","0.0058","0.026","0.05","287000","N/A","45000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1794000","N/A","109000"
"1 - Yes","NM","0.002","0.0002","0.002","0.003","0.011","0.0008","0.009","0.012","0.343","0.02","0.304","0.383","615000","N/A","47000"
"2 - No","NM","0.004","0.0003","0.003","0.005","0.005","0.0004","0.004","0.006","0.613","0.0213","0.57","0.654","1099000","N/A","84000"
"85 - BAD DATA Logically assigned","NM","0","0","0","0","0.005","0.0033","0.001","0.019","0.001","0.0008","0","0.005","2000","N/A","2000"
"94 - DON T KNOW","NM","0","0","0","0","0.009","0.0041","0.004","0.022","0.006","0.0028","0.003","0.015","11000","N/A","5000"
"97 - REFUSED","NM","0","0","0","0","0.036","0.029","0.007","0.16","0.005","0.0042","0.001","0.025","9000","N/A","7000"
"98 - BLANK","NM","0","0","0","0","0.008","0.0016","0.006","0.012","0.032","0.0056","0.023","0.045","57000","N/A","11000"
"Overall","NV","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2709000","N/A","176000"
"1 - Yes","NV","0.002","0.0002","0.002","0.003","0.011","0.0011","0.009","0.014","0.239","0.0178","0.206","0.276","648000","N/A","64000"
"2 - No","NV","0.007","0.0005","0.006","0.008","0.009","0.0007","0.008","0.011","0.742","0.0174","0.707","0.775","2011000","N/A","142000"
"85 - BAD DATA Logically assigned","NV","0","0","0","0","0.002","0.0014","0.001","0.007","0","0.0002","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","NV","0","0","0","0","0.002","0.0012","0.001","0.006","0.001","0.0005","0","0.003","2000","N/A","1000"
"97 - REFUSED","NV","0","0","0","0","0.009","0.0062","0.002","0.034","0.001","0.0006","0","0.003","2000","N/A","2000"
"98 - BLANK","NV","0","0","0","0","0.006","0.0019","0.004","0.011","0.016","0.0048","0.009","0.029","44000","N/A","13000"
"Overall","NY","0.06","0.0027","0.055","0.065","0.06","0.0027","0.055","0.065","1","0","N/A","N/A","16838000","N/A","783000"
"1 - Yes","NY","0.017","0.0011","0.015","0.019","0.083","0.0051","0.073","0.093","0.283","0.014","0.257","0.312","4773000","N/A","311000"
"2 - No","NY","0.041","0.0021","0.037","0.046","0.054","0.0028","0.049","0.06","0.692","0.014","0.664","0.719","11649000","N/A","619000"
"85 - BAD DATA Logically assigned","NY","0","0","0","0","0.037","0.0186","0.013","0.097","0.001","0.0005","0","0.003","17000","N/A","8000"
"94 - DON T KNOW","NY","0","0.0001","0","0","0.059","0.0141","0.037","0.094","0.004","0.001","0.003","0.007","72000","N/A","17000"
"97 - REFUSED","NY","0","0.0001","0","0","0.125","0.0609","0.045","0.299","0.002","0.0011","0.001","0.006","32000","N/A","18000"
"98 - BLANK","NY","0.001","0.0002","0.001","0.001","0.043","0.0062","0.033","0.057","0.018","0.0026","0.013","0.024","295000","N/A","43000"
"Overall","OH","0.035","0.0016","0.032","0.038","0.035","0.0016","0.032","0.038","1","0","N/A","N/A","9952000","N/A","445000"
"1 - Yes","OH","0.009","0.0007","0.008","0.01","0.043","0.0031","0.037","0.049","0.248","0.0147","0.22","0.278","2464000","N/A","185000"
"2 - No","OH","0.026","0.0013","0.024","0.029","0.034","0.0017","0.031","0.037","0.738","0.0151","0.708","0.767","7349000","N/A","363000"
"85 - BAD DATA Logically assigned","OH","0","0","0","0","0.011","0.0079","0.002","0.045","0","0.0004","0","0.002","5000","N/A","4000"
"94 - DON T KNOW","OH","0","0","0","0","0.018","0.0083","0.007","0.044","0.002","0.001","0.001","0.005","22000","N/A","10000"
"97 - REFUSED","OH","0","0","0","0","0.021","0.0102","0.008","0.054","0.001","0.0003","0","0.001","5000","N/A","2000"
"98 - BLANK","OH","0","0.0001","0","0.001","0.016","0.0023","0.012","0.021","0.011","0.0016","0.008","0.014","107000","N/A","16000"
"Overall","OK","0.012","0.0008","0.01","0.013","0.012","0.0008","0.01","0.013","1","0","N/A","N/A","3334000","N/A","220000"
"1 - Yes","OK","0.002","0.0002","0.002","0.003","0.01","0.001","0.008","0.012","0.178","0.0115","0.157","0.202","593000","N/A","58000"
"2 - No","OK","0.009","0.0006","0.008","0.01","0.012","0.0008","0.01","0.014","0.768","0.0133","0.741","0.793","2561000","N/A","177000"
"85 - BAD DATA Logically assigned","OK","0","0","0","0","0.008","0.0056","0.002","0.032","0.001","0.0008","0","0.004","4000","N/A","3000"
"94 - DON T KNOW","OK","0","0","0","0","0.014","0.0073","0.005","0.039","0.005","0.0026","0.002","0.014","16000","N/A","9000"
"97 - REFUSED","OK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","OK","0.001","0.0001","0","0.001","0.023","0.0042","0.016","0.033","0.048","0.0089","0.033","0.069","159000","N/A","29000"
"Overall","OR","0.013","0.0006","0.012","0.014","0.013","0.0006","0.012","0.014","1","0","N/A","N/A","3668000","N/A","178000"
"1 - Yes","OR","0.003","0.0003","0.003","0.004","0.016","0.0013","0.014","0.019","0.254","0.0177","0.221","0.29","932000","N/A","76000"
"2 - No","OR","0.009","0.0005","0.008","0.01","0.012","0.0007","0.011","0.014","0.721","0.0177","0.685","0.754","2643000","N/A","146000"
"85 - BAD DATA Logically assigned","OR","0","0","0","0","0.019","0.0186","0.003","0.122","0.002","0.0023","0","0.016","9000","N/A","9000"
"94 - DON T KNOW","OR","0","0","0","0","0.008","0.0037","0.003","0.02","0.003","0.0012","0.001","0.006","10000","N/A","4000"
"97 - REFUSED","OR","0","0","0","0","0","0.0003","0","0.002","0","0","0","0","0","N/A","0"
"98 - BLANK","OR","0","0.0001","0","0","0.011","0.0024","0.007","0.017","0.02","0.0043","0.013","0.031","75000","N/A","16000"
"Overall","PA","0.039","0.0018","0.036","0.043","0.039","0.0018","0.036","0.043","1","0","N/A","N/A","11105000","N/A","505000"
"1 - Yes","PA","0.008","0.0006","0.006","0.009","0.037","0.0029","0.032","0.043","0.193","0.0123","0.17","0.218","2142000","N/A","169000"
"2 - No","PA","0.03","0.0015","0.027","0.033","0.04","0.002","0.036","0.044","0.769","0.0137","0.741","0.795","8539000","N/A","430000"
"85 - BAD DATA Logically assigned","PA","0","0","0","0","0.056","0.0243","0.023","0.127","0.002","0.001","0.001","0.005","26000","N/A","11000"
"94 - DON T KNOW","PA","0","0.0001","0","0","0.039","0.0179","0.016","0.094","0.004","0.002","0.002","0.011","47000","N/A","22000"
"97 - REFUSED","PA","0","0","0","0","0.005","0.0041","0.001","0.023","0","0.0001","0","0.001","1000","N/A","1000"
"98 - BLANK","PA","0.001","0.0002","0.001","0.002","0.051","0.0075","0.038","0.068","0.031","0.0049","0.023","0.043","349000","N/A","52000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","949000","N/A","58000"
"1 - Yes","RI","0.001","0.0001","0.001","0.001","0.003","0.0005","0.003","0.005","0.21","0.0243","0.166","0.262","199000","N/A","29000"
"2 - No","RI","0.003","0.0002","0.002","0.003","0.003","0.0002","0.003","0.004","0.77","0.0239","0.72","0.813","730000","N/A","46000"
"85 - BAD DATA Logically assigned","RI","0","0","0","0","0.001","0.0013","0","0.009","0.001","0.0006","0","0.004","1000","N/A","1000"
"94 - DON T KNOW","RI","0","0","0","0","0.004","0.0017","0.002","0.009","0.005","0.0023","0.002","0.012","5000","N/A","2000"
"97 - REFUSED","RI","0","0","0","0","0.001","0.0007","0","0.004","0","0.0002","0","0.001","0","N/A","0"
"98 - BLANK","RI","0","0","0","0","0.002","0.0005","0.001","0.003","0.015","0.0038","0.009","0.024","14000","N/A","3000"
"Overall","SC","0.016","0.0012","0.014","0.019","0.016","0.0012","0.014","0.019","1","0","N/A","N/A","4514000","N/A","343000"
"1 - Yes","SC","0.002","0.0003","0.002","0.003","0.012","0.0013","0.009","0.014","0.15","0.0158","0.121","0.184","677000","N/A","74000"
"2 - No","SC","0.012","0.0011","0.01","0.014","0.016","0.0014","0.013","0.019","0.764","0.0171","0.729","0.796","3447000","N/A","305000"
"85 - BAD DATA Logically assigned","SC","0","0.0001","0","0.001","0.072","0.0526","0.016","0.267","0.007","0.0057","0.002","0.033","33000","N/A","26000"
"94 - DON T KNOW","SC","0","0.0001","0","0","0.033","0.0177","0.012","0.092","0.009","0.0048","0.003","0.026","40000","N/A","22000"
"97 - REFUSED","SC","0","0","0","0","0.017","0.013","0.004","0.073","0.001","0.0007","0","0.004","4000","N/A","3000"
"98 - BLANK","SC","0.001","0.0002","0.001","0.002","0.046","0.007","0.034","0.062","0.069","0.0109","0.051","0.094","312000","N/A","49000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","751000","N/A","47000"
"1 - Yes","SD","0","0.0001","0","0","0.002","0.0002","0.001","0.002","0.127","0.0181","0.095","0.167","95000","N/A","14000"
"2 - No","SD","0.002","0.0002","0.002","0.003","0.003","0.0002","0.003","0.003","0.837","0.0184","0.798","0.87","629000","N/A","43000"
"85 - BAD DATA Logically assigned","SD","0","0","0","0","0.005","0.0049","0.001","0.034","0.003","0.003","0","0.021","2000","N/A","2000"
"94 - DON T KNOW","SD","0","0","0","0","0.002","0.0013","0.001","0.007","0.004","0.002","0.001","0.011","3000","N/A","2000"
"97 - REFUSED","SD","0","0","0","0","0.002","0.0011","0","0.006","0.001","0.0004","0","0.002","0","N/A","0"
"98 - BLANK","SD","0","0","0","0","0.003","0.0007","0.002","0.005","0.029","0.006","0.019","0.044","22000","N/A","5000"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5988000","N/A","285000"
"1 - Yes","TN","0.004","0.0004","0.003","0.005","0.019","0.0018","0.016","0.023","0.188","0.0146","0.161","0.218","1123000","N/A","102000"
"2 - No","TN","0.017","0.0009","0.015","0.018","0.022","0.0011","0.02","0.024","0.781","0.0175","0.744","0.813","4674000","N/A","239000"
"85 - BAD DATA Logically assigned","TN","0","0.0001","0","0.001","0.14","0.0754","0.045","0.358","0.011","0.0065","0.003","0.035","65000","N/A","39000"
"94 - DON T KNOW","TN","0","0","0","0","0.014","0.0061","0.006","0.033","0.003","0.0012","0.001","0.007","17000","N/A","7000"
"97 - REFUSED","TN","0","0","0","0","0.048","0.0309","0.013","0.16","0.002","0.0013","0.001","0.007","12000","N/A","8000"
"98 - BLANK","TN","0","0.0001","0","0.001","0.014","0.0035","0.009","0.023","0.016","0.0039","0.01","0.026","97000","N/A","24000"
"Overall","TX","0.088","0.0033","0.082","0.095","0.088","0.0033","0.082","0.095","1","0","N/A","N/A","24946000","N/A","988000"
"1 - Yes","TX","0.011","0.0009","0.01","0.013","0.055","0.0042","0.048","0.064","0.129","0.0077","0.114","0.145","3209000","N/A","251000"
"2 - No","TX","0.075","0.0028","0.069","0.08","0.098","0.0036","0.091","0.105","0.848","0.0085","0.83","0.863","21142000","N/A","833000"
"85 - BAD DATA Logically assigned","TX","0","0","0","0","0.021","0.0117","0.007","0.062","0","0.0002","0","0.001","10000","N/A","5000"
"94 - DON T KNOW","TX","0","0.0001","0","0.001","0.08","0.0231","0.045","0.139","0.004","0.0012","0.002","0.007","97000","N/A","30000"
"97 - REFUSED","TX","0","0","0","0","0.037","0.0266","0.009","0.142","0","0.0003","0","0.002","9000","N/A","7000"
"98 - BLANK","TX","0.002","0.0002","0.001","0.002","0.07","0.0089","0.055","0.09","0.019","0.0025","0.015","0.025","479000","N/A","63000"
"Overall","UT","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2783000","N/A","151000"
"1 - Yes","UT","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.087","0.0092","0.071","0.107","243000","N/A","31000"
"2 - No","UT","0.009","0.0005","0.008","0.01","0.011","0.0006","0.01","0.013","0.889","0.0093","0.869","0.906","2473000","N/A","136000"
"85 - BAD DATA Logically assigned","UT","0","0","0","0","0.01","0.0102","0.001","0.07","0.002","0.0017","0","0.012","5000","N/A","5000"
"94 - DON T KNOW","UT","0","0","0","0","0.005","0.0019","0.002","0.01","0.002","0.0008","0.001","0.004","6000","N/A","2000"
"97 - REFUSED","UT","0","0","0","0","0.01","0.0094","0.002","0.061","0.001","0.0009","0","0.006","3000","N/A","2000"
"98 - BLANK","UT","0","0","0","0","0.008","0.0015","0.005","0.012","0.019","0.0039","0.013","0.029","54000","N/A","10000"
"Overall","VA","0.026","0.0012","0.024","0.028","0.026","0.0012","0.024","0.028","1","0","N/A","N/A","7290000","N/A","338000"
"1 - Yes","VA","0.004","0.0003","0.003","0.005","0.02","0.0017","0.017","0.024","0.159","0.0105","0.14","0.181","1160000","N/A","95000"
"2 - No","VA","0.021","0.001","0.019","0.023","0.028","0.0013","0.025","0.03","0.82","0.0118","0.796","0.842","5978000","N/A","288000"
"85 - BAD DATA Logically assigned","VA","0","0","0","0","0.006","0.0041","0.001","0.023","0","0.0003","0","0.001","3000","N/A","2000"
"94 - DON T KNOW","VA","0","0.0001","0","0","0.034","0.0129","0.016","0.071","0.006","0.0022","0.003","0.012","41000","N/A","16000"
"97 - REFUSED","VA","0","0","0","0","0.004","0.0031","0.001","0.02","0","0.0001","0","0.001","1000","N/A","1000"
"98 - BLANK","VA","0","0.0001","0","0.001","0.016","0.0046","0.009","0.028","0.015","0.0043","0.008","0.026","107000","N/A","32000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","570000","N/A","38000"
"1 - Yes","VT","0","0","0","0.001","0.002","0.0002","0.002","0.003","0.23","0.0163","0.2","0.264","131000","N/A","12000"
"2 - No","VT","0.002","0.0001","0.001","0.002","0.002","0.0001","0.002","0.002","0.753","0.0169","0.718","0.785","429000","N/A","31000"
"85 - BAD DATA Logically assigned","VT","0","0","0","0","0.003","0.0014","0.001","0.008","0.002","0.0011","0.001","0.006","1000","N/A","1000"
"94 - DON T KNOW","VT","0","0","0","0","0.001","0.0004","0","0.002","0.002","0.0007","0.001","0.004","1000","N/A","0"
"97 - REFUSED","VT","0","0","0","0","0.003","0.0016","0.001","0.009","0.001","0.0007","0.001","0.004","1000","N/A","0"
"98 - BLANK","VT","0","0","0","0","0.001","0.0002","0.001","0.002","0.012","0.0028","0.007","0.018","7000","N/A","2000"
"Overall","WA","0.023","0.0012","0.021","0.026","0.023","0.0012","0.021","0.026","1","0","N/A","N/A","6628000","N/A","334000"
"1 - Yes","WA","0.004","0.0005","0.004","0.006","0.022","0.0024","0.018","0.027","0.191","0.0191","0.156","0.231","1266000","N/A","139000"
"2 - No","WA","0.018","0.001","0.016","0.02","0.024","0.0013","0.021","0.027","0.779","0.0196","0.738","0.815","5160000","N/A","284000"
"85 - BAD DATA Logically assigned","WA","0","0.0001","0","0","0.063","0.0461","0.014","0.238","0.004","0.0033","0.001","0.019","29000","N/A","22000"
"94 - DON T KNOW","WA","0","0","0","0","0.009","0.0029","0.004","0.017","0.002","0.0005","0.001","0.003","10000","N/A","3000"
"97 - REFUSED","WA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","WA","0.001","0.0002","0","0.001","0.024","0.0076","0.013","0.044","0.024","0.0076","0.013","0.045","162000","N/A","53000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5052000","N/A","297000"
"1 - Yes","WI","0.003","0.0003","0.002","0.004","0.014","0.0015","0.012","0.018","0.163","0.0165","0.134","0.198","825000","N/A","88000"
"2 - No","WI","0.014","0.001","0.013","0.017","0.019","0.0013","0.017","0.022","0.81","0.017","0.775","0.842","4094000","N/A","277000"
"85 - BAD DATA Logically assigned","WI","0","0","0","0","0.002","0.0018","0.001","0.01","0","0.0002","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","WI","0","0","0","0","0.026","0.01","0.012","0.055","0.006","0.0024","0.003","0.013","31000","N/A","12000"
"97 - REFUSED","WI","0","0","0","0","0.004","0.0039","0.001","0.026","0","0.0002","0","0.001","1000","N/A","1000"
"98 - BLANK","WI","0","0.0001","0","0.001","0.015","0.0039","0.009","0.025","0.02","0.0055","0.011","0.034","99000","N/A","27000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1518000","N/A","122000"
"1 - Yes","WV","0.002","0.0002","0.001","0.002","0.008","0.0008","0.007","0.01","0.314","0.0249","0.268","0.365","477000","N/A","47000"
"2 - No","WV","0.004","0.0004","0.003","0.004","0.005","0.0005","0.004","0.006","0.658","0.026","0.605","0.707","998000","N/A","100000"
"85 - BAD DATA Logically assigned","WV","0","0","0","0","0.002","0.0015","0","0.009","0","0.0004","0","0.003","1000","N/A","1000"
"94 - DON T KNOW","WV","0","0","0","0","0.003","0.0012","0.001","0.007","0.002","0.001","0.001","0.005","3000","N/A","1000"
"97 - REFUSED","WV","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","WV","0","0","0","0","0.006","0.0015","0.003","0.01","0.025","0.0071","0.014","0.044","38000","N/A","10000"
"Overall","WY","0.002","0.0001","0.001","0.002","0.002","0.0001","0.001","0.002","1","0","N/A","N/A","492000","N/A","38000"
"1 - Yes","WY","0","0","0","0","0.001","0.0002","0.001","0.001","0.116","0.019","0.084","0.159","57000","N/A","11000"
"2 - No","WY","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.002","0.839","0.0223","0.791","0.878","413000","N/A","35000"
"85 - BAD DATA Logically assigned","WY","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A","0"
"94 - DON T KNOW","WY","0","0","0","0","0","0.0001","0","0.001","0","0.0003","0","0.002","0","N/A","0"
"97 - REFUSED","WY","0","0","0","0","0.011","0.0113","0.002","0.077","0.006","0.0059","0.001","0.041","3000","N/A","3000"
"98 - BLANK","WY","0","0","0","0","0.003","0.0007","0.002","0.004","0.038","0.01","0.023","0.063","19000","N/A","5000"
