"RC-POVERTY LEVEL-NEW INC (% OF US CENSUS POVERTY THRESHOLD)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","TN","0.021","0.0011","0.019","0.023","0.021","0.0011","0.019","0.023","1","0","N/A","N/A","6042000","N/A","317000"
"1 - Living in Poverty","TN","0.003","0.0004","0.003","0.004","0.02","0.0022","0.016","0.025","0.151","0.0148","0.124","0.182","913000","N/A","100000"
"2 - Income Up to 2X Fed Pov Thresh","TN","0.005","0.0004","0.004","0.006","0.027","0.0023","0.023","0.032","0.243","0.0174","0.211","0.279","1470000","N/A","127000"
"3 - Income More Than 2X Fed Pov Thresh","TN","0.013","0.0009","0.011","0.015","0.02","0.0013","0.017","0.023","0.606","0.024","0.558","0.651","3659000","N/A","247000"
"Overall","TX","0.089","0.0031","0.083","0.096","0.089","0.0031","0.083","0.096","1","0","N/A","N/A","25487000","N/A","939000"
"1 - Living in Poverty","TX","0.017","0.0012","0.015","0.02","0.108","0.0068","0.096","0.122","0.196","0.0114","0.174","0.219","4983000","N/A","336000"
"2 - Income Up to 2X Fed Pov Thresh","TX","0.02","0.0011","0.018","0.022","0.103","0.0056","0.093","0.115","0.223","0.0091","0.206","0.241","5686000","N/A","335000"
"3 - Income More Than 2X Fed Pov Thresh","TX","0.052","0.0022","0.048","0.056","0.08","0.0034","0.074","0.087","0.581","0.0158","0.55","0.612","14818000","N/A","662000"
"Overall","UT","0.01","0.0006","0.009","0.011","0.01","0.0006","0.009","0.011","1","0","N/A","N/A","2844000","N/A","170000"
"1 - Living in Poverty","UT","0.001","0.0001","0.001","0.001","0.006","0.0009","0.004","0.008","0.096","0.0148","0.07","0.129","272000","N/A","42000"
"2 - Income Up to 2X Fed Pov Thresh","UT","0.002","0.0001","0.001","0.002","0.008","0.0008","0.007","0.01","0.161","0.0132","0.136","0.189","457000","N/A","42000"
"3 - Income More Than 2X Fed Pov Thresh","UT","0.007","0.0006","0.006","0.009","0.011","0.0009","0.01","0.013","0.743","0.0232","0.695","0.786","2114000","N/A","156000"
"Overall","VA","0.026","0.0017","0.023","0.029","0.026","0.0017","0.023","0.029","1","0","N/A","N/A","7346000","N/A","500000"
"1 - Living in Poverty","VA","0.003","0.0004","0.002","0.004","0.017","0.0026","0.013","0.023","0.108","0.0159","0.081","0.144","796000","N/A","120000"
"2 - Income Up to 2X Fed Pov Thresh","VA","0.004","0.0004","0.003","0.005","0.021","0.002","0.018","0.026","0.16","0.0118","0.138","0.185","1178000","N/A","111000"
"3 - Income More Than 2X Fed Pov Thresh","VA","0.019","0.0015","0.016","0.022","0.029","0.0022","0.025","0.034","0.731","0.0204","0.689","0.769","5372000","N/A","422000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","571000","N/A","36000"
"1 - Living in Poverty","VT","0","0","0","0","0.002","0.0002","0.001","0.002","0.131","0.0165","0.101","0.167","75000","N/A","11000"
"2 - Income Up to 2X Fed Pov Thresh","VT","0","0","0","0","0.002","0.0002","0.001","0.002","0.169","0.0156","0.14","0.202","96000","N/A","11000"
"3 - Income More Than 2X Fed Pov Thresh","VT","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.002","0.701","0.0244","0.651","0.746","400000","N/A","28000"
"Overall","WA","0.023","0.0015","0.021","0.027","0.023","0.0015","0.021","0.027","1","0","N/A","N/A","6713000","N/A","450000"
"1 - Living in Poverty","WA","0.003","0.0003","0.002","0.003","0.017","0.002","0.014","0.021","0.117","0.0126","0.094","0.144","785000","N/A","93000"
"2 - Income Up to 2X Fed Pov Thresh","WA","0.004","0.0004","0.003","0.004","0.019","0.0018","0.015","0.023","0.153","0.0138","0.128","0.182","1027000","N/A","103000"
"3 - Income More Than 2X Fed Pov Thresh","WA","0.017","0.0013","0.015","0.02","0.027","0.0021","0.023","0.031","0.73","0.0207","0.688","0.769","4901000","N/A","385000"
"Overall","WI","0.018","0.0012","0.016","0.02","0.018","0.0012","0.016","0.02","1","0","N/A","N/A","5086000","N/A","344000"
"1 - Living in Poverty","WI","0.002","0.0002","0.001","0.002","0.011","0.0015","0.009","0.015","0.104","0.0135","0.08","0.133","527000","N/A","67000"
"2 - Income Up to 2X Fed Pov Thresh","WI","0.003","0.0003","0.002","0.003","0.014","0.0015","0.012","0.017","0.154","0.017","0.123","0.19","783000","N/A","81000"
"3 - Income More Than 2X Fed Pov Thresh","WI","0.013","0.0011","0.011","0.016","0.02","0.0017","0.017","0.024","0.743","0.0229","0.695","0.785","3776000","N/A","327000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1516000","N/A","121000"
"1 - Living in Poverty","WV","0.001","0.0001","0.001","0.001","0.007","0.0007","0.005","0.008","0.203","0.0192","0.168","0.243","308000","N/A","34000"
"2 - Income Up to 2X Fed Pov Thresh","WV","0.001","0.0002","0.001","0.002","0.007","0.0008","0.005","0.009","0.249","0.0183","0.215","0.286","377000","N/A","45000"
"3 - Income More Than 2X Fed Pov Thresh","WV","0.003","0.0003","0.002","0.003","0.004","0.0004","0.004","0.005","0.548","0.0237","0.501","0.594","831000","N/A","76000"
"Overall","WY","0.002","0.0002","0.001","0.002","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","496000","N/A","43000"
"1 - Living in Poverty","WY","0","0","0","0","0.001","0.0002","0.001","0.002","0.124","0.0209","0.089","0.171","62000","N/A","11000"
"2 - Income Up to 2X Fed Pov Thresh","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.206","0.0212","0.168","0.251","102000","N/A","11000"
"3 - Income More Than 2X Fed Pov Thresh","WY","0.001","0.0001","0.001","0.001","0.002","0.0002","0.001","0.002","0.67","0.0294","0.61","0.725","332000","N/A","37000"
