"RC-RACE RECODE (4 LEVELS)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - Black, Not Hispanic","OH","0.004","0.0004","0.004","0.005","0.035","0.0035","0.029","0.043","0.123","0.0123","0.101","0.149","1233000","N/A","123000"
"3 - Other or Multiple, Not Hispanic","OH","0.002","0.0002","0.001","0.002","0.019","0.002","0.015","0.023","0.051","0.0052","0.042","0.063","514000","N/A","54000"
"4 - Hispanic","OH","0.002","0.0002","0.001","0.002","0.009","0.0012","0.006","0.011","0.045","0.006","0.035","0.059","455000","N/A","65000"
"Overall","OK","0.012","0.0009","0.01","0.014","0.012","0.0009","0.01","0.014","1","0","N/A","N/A","3368000","N/A","254000"
"1 - White, Not Hispanic","OK","0.008","0.0006","0.007","0.009","0.013","0.001","0.011","0.015","0.649","0.02","0.609","0.687","2187000","N/A","175000"
"2 - Black, Not Hispanic","OK","0.001","0.0001","0.001","0.001","0.007","0.001","0.005","0.009","0.07","0.009","0.054","0.089","235000","N/A","35000"
"3 - Other or Multiple, Not Hispanic","OK","0.002","0.0002","0.001","0.002","0.02","0.0027","0.016","0.026","0.164","0.0136","0.139","0.192","551000","N/A","71000"
"4 - Hispanic","OK","0.001","0.0002","0.001","0.002","0.007","0.0009","0.006","0.009","0.118","0.0135","0.094","0.147","396000","N/A","48000"
"Overall","OR","0.013","0.0007","0.012","0.014","0.013","0.0007","0.012","0.014","1","0","N/A","N/A","3686000","N/A","187000"
"1 - White, Not Hispanic","OR","0.01","0.0005","0.009","0.011","0.016","0.0009","0.014","0.018","0.743","0.0221","0.697","0.784","2738000","N/A","154000"
"2 - Black, Not Hispanic","OR","0","0.0001","0","0.001","0.002","0.0008","0.001","0.004","0.018","0.0071","0.009","0.039","68000","N/A","26000"
"3 - Other or Multiple, Not Hispanic","OR","0.001","0.0002","0.001","0.002","0.014","0.0019","0.01","0.018","0.101","0.0128","0.078","0.129","371000","N/A","52000"
"4 - Hispanic","OR","0.002","0.0002","0.001","0.002","0.01","0.001","0.008","0.012","0.138","0.013","0.115","0.166","510000","N/A","56000"
"Overall","PA","0.039","0.0021","0.035","0.043","0.039","0.0021","0.035","0.043","1","0","N/A","N/A","11153000","N/A","600000"
"1 - White, Not Hispanic","PA","0.029","0.0017","0.026","0.033","0.049","0.0029","0.044","0.055","0.754","0.0189","0.715","0.79","8414000","N/A","503000"
"2 - Black, Not Hispanic","PA","0.004","0.0005","0.003","0.005","0.033","0.0043","0.026","0.042","0.103","0.0128","0.081","0.131","1152000","N/A","153000"
"3 - Other or Multiple, Not Hispanic","PA","0.002","0.0003","0.002","0.003","0.025","0.0032","0.019","0.032","0.06","0.0071","0.047","0.075","668000","N/A","86000"
"4 - Hispanic","PA","0.003","0.0005","0.002","0.004","0.017","0.0028","0.012","0.024","0.082","0.0128","0.061","0.111","919000","N/A","152000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","957000","N/A","83000"
"1 - White, Not Hispanic","RI","0.002","0.0002","0.002","0.003","0.004","0.0004","0.003","0.005","0.723","0.0325","0.655","0.782","692000","N/A","69000"
"2 - Black, Not Hispanic","RI","0","0","0","0","0.001","0.0004","0.001","0.002","0.048","0.0124","0.028","0.079","46000","N/A","13000"
"3 - Other or Multiple, Not Hispanic","RI","0","0","0","0","0.002","0.0004","0.001","0.003","0.063","0.0117","0.043","0.09","60000","N/A","12000"
"4 - Hispanic","RI","0.001","0.0001","0","0.001","0.003","0.0005","0.002","0.004","0.166","0.0245","0.124","0.22","159000","N/A","27000"
"Overall","SC","0.016","0.001","0.014","0.018","0.016","0.001","0.014","0.018","1","0","N/A","N/A","4599000","N/A","292000"
"1 - White, Not Hispanic","SC","0.01","0.0008","0.009","0.012","0.017","0.0014","0.015","0.02","0.645","0.0291","0.586","0.7","2965000","N/A","236000"
"2 - Black, Not Hispanic","SC","0.004","0.0004","0.003","0.005","0.032","0.0036","0.026","0.04","0.246","0.0243","0.201","0.297","1131000","N/A","127000"
"3 - Other or Multiple, Not Hispanic","SC","0.001","0.0002","0","0.001","0.007","0.0017","0.004","0.011","0.041","0.0098","0.025","0.065","187000","N/A","47000"
"4 - Hispanic","SC","0.001","0.0002","0.001","0.002","0.006","0.001","0.004","0.008","0.069","0.0108","0.05","0.093","316000","N/A","55000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","759000","N/A","57000"
"1 - White, Not Hispanic","SD","0.002","0.0002","0.002","0.003","0.004","0.0003","0.003","0.004","0.829","0.0159","0.795","0.858","629000","N/A","50000"
"2 - Black, Not Hispanic","SD","0","0","0","0","0","0.0001","0","0.001","0.022","0.0057","0.013","0.037","17000","N/A","4000"
"3 - Other or Multiple, Not Hispanic","SD","0","0","0","0","0.003","0.0004","0.002","0.004","0.105","0.0134","0.082","0.134","80000","N/A","11000"
"4 - Hispanic","SD","0","0","0","0","0.001","0.0001","0","0.001","0.044","0.0061","0.033","0.057","33000","N/A","5000"
"Overall","TN","0.021","0.0011","0.019","0.023","0.021","0.0011","0.019","0.023","1","0","N/A","N/A","6059000","N/A","317000"
"1 - White, Not Hispanic","TN","0.016","0.001","0.014","0.018","0.026","0.0016","0.023","0.029","0.735","0.0215","0.691","0.775","4453000","N/A","277000"
"2 - Black, Not Hispanic","TN","0.003","0.0004","0.003","0.004","0.027","0.003","0.022","0.034","0.156","0.0165","0.126","0.191","945000","N/A","104000"
"3 - Other or Multiple, Not Hispanic","TN","0.001","0.0002","0.001","0.001","0.009","0.0018","0.006","0.013","0.041","0.0078","0.028","0.059","247000","N/A","49000"
"4 - Hispanic","TN","0.001","0.0003","0.001","0.002","0.008","0.0014","0.005","0.011","0.068","0.0121","0.048","0.096","414000","N/A","78000"
"Overall","TX","0.089","0.0031","0.083","0.095","0.089","0.0031","0.083","0.095","1","0","N/A","N/A","25487000","N/A","939000"
"1 - White, Not Hispanic","TX","0.036","0.002","0.033","0.041","0.061","0.0033","0.055","0.068","0.409","0.0156","0.379","0.44","10421000","N/A","589000"
"2 - Black, Not Hispanic","TX","0.011","0.001","0.009","0.013","0.091","0.0077","0.077","0.107","0.124","0.0105","0.105","0.146","3168000","N/A","284000"
"3 - Other or Multiple, Not Hispanic","TX","0.007","0.0007","0.006","0.009","0.076","0.0071","0.063","0.091","0.08","0.007","0.068","0.095","2046000","N/A","200000"
"4 - Hispanic","TX","0.034","0.0016","0.031","0.038","0.184","0.0078","0.17","0.2","0.387","0.014","0.36","0.414","9851000","N/A","470000"
"Overall","UT","0.01","0.0006","0.009","0.011","0.01","0.0006","0.009","0.011","1","0","N/A","N/A","2844000","N/A","170000"
"1 - White, Not Hispanic","UT","0.008","0.0005","0.007","0.009","0.013","0.0009","0.011","0.015","0.766","0.0155","0.734","0.795","2179000","N/A","152000"
"2 - Black, Not Hispanic","UT","0","0","0","0","0.001","0.0003","0.001","0.002","0.013","0.0034","0.007","0.021","36000","N/A","9000"
"3 - Other or Multiple, Not Hispanic","UT","0.001","0.0001","0.001","0.001","0.007","0.001","0.006","0.009","0.068","0.008","0.054","0.086","194000","N/A","25000"
"4 - Hispanic","UT","0.002","0.0001","0.001","0.002","0.008","0.0008","0.007","0.01","0.153","0.0141","0.127","0.183","435000","N/A","40000"
"Overall","VA","0.026","0.0017","0.023","0.029","0.026","0.0017","0.023","0.029","1","0","N/A","N/A","7346000","N/A","500000"
"1 - White, Not Hispanic","VA","0.016","0.0012","0.013","0.018","0.026","0.002","0.022","0.03","0.604","0.029","0.546","0.659","4435000","N/A","347000"
"2 - Black, Not Hispanic","VA","0.005","0.0006","0.004","0.006","0.039","0.0052","0.03","0.051","0.187","0.0206","0.15","0.23","1372000","N/A","187000"
"3 - Other or Multiple, Not Hispanic","VA","0.003","0.0004","0.002","0.004","0.028","0.0047","0.02","0.039","0.104","0.0153","0.078","0.138","767000","N/A","129000"
"4 - Hispanic","VA","0.003","0.0003","0.002","0.003","0.014","0.0017","0.012","0.018","0.105","0.01","0.087","0.127","773000","N/A","89000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","571000","N/A","36000"
"1 - White, Not Hispanic","VT","0.002","0.0001","0.002","0.002","0.003","0.0002","0.003","0.004","0.916","0.0132","0.887","0.939","524000","N/A","36000"
"2 - Black, Not Hispanic","VT","0","0","0","0","0","0.0001","0","0","0.015","0.0044","0.008","0.027","9000","N/A","3000"
"3 - Other or Multiple, Not Hispanic","VT","0","0","0","0","0.001","0.0002","0.001","0.001","0.043","0.0099","0.028","0.067","25000","N/A","6000"
"4 - Hispanic","VT","0","0","0","0","0","0.0001","0","0","0.025","0.0077","0.014","0.046","14000","N/A","4000"
"Overall","WA","0.023","0.0015","0.021","0.027","0.023","0.0015","0.021","0.027","1","0","N/A","N/A","6713000","N/A","450000"
"1 - White, Not Hispanic","WA","0.015","0.0013","0.013","0.018","0.026","0.0022","0.022","0.031","0.658","0.0215","0.615","0.699","4416000","N/A","375000"
"2 - Black, Not Hispanic","WA","0.001","0.0002","0.001","0.002","0.008","0.0018","0.005","0.012","0.042","0.0096","0.026","0.065","280000","N/A","62000"
"3 - Other or Multiple, Not Hispanic","WA","0.004","0.0004","0.003","0.005","0.042","0.0043","0.034","0.051","0.168","0.0145","0.141","0.198","1125000","N/A","116000"
"4 - Hispanic","WA","0.003","0.0004","0.002","0.004","0.017","0.002","0.013","0.021","0.133","0.016","0.104","0.168","892000","N/A","109000"
"Overall","WI","0.018","0.0012","0.016","0.02","0.018","0.0012","0.016","0.02","1","0","N/A","N/A","5086000","N/A","344000"
"1 - White, Not Hispanic","WI","0.014","0.0011","0.012","0.017","0.024","0.0019","0.021","0.028","0.812","0.0192","0.772","0.847","4130000","N/A","325000"
"2 - Black, Not Hispanic","WI","0.001","0.0003","0.001","0.002","0.008","0.0025","0.005","0.015","0.058","0.0169","0.033","0.102","297000","N/A","87000"
"3 - Other or Multiple, Not Hispanic","WI","0.001","0.0001","0.001","0.001","0.01","0.0012","0.008","0.013","0.055","0.0069","0.043","0.07","281000","N/A","33000"
"4 - Hispanic","WI","0.001","0.0002","0.001","0.002","0.007","0.0009","0.005","0.009","0.074","0.0095","0.058","0.095","378000","N/A","48000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1516000","N/A","121000"
"1 - White, Not Hispanic","WV","0.005","0.0004","0.004","0.006","0.008","0.0007","0.007","0.01","0.916","0.0112","0.891","0.935","1388000","N/A","115000"
"2 - Black, Not Hispanic","WV","0","0","0","0","0.001","0.0003","0.001","0.002","0.034","0.0076","0.022","0.053","52000","N/A","11000"
"3 - Other or Multiple, Not Hispanic","WV","0","0","0","0","0.002","0.0004","0.001","0.003","0.029","0.0072","0.017","0.047","43000","N/A","12000"
"4 - Hispanic","WV","0","0","0","0","0.001","0.0001","0","0.001","0.021","0.0052","0.013","0.034","32000","N/A","8000"
"Overall","WY","0.002","0.0002","0.001","0.002","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","496000","N/A","43000"
"1 - White, Not Hispanic","WY","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.003","0.844","0.0218","0.796","0.882","419000","N/A","39000"
"2 - Black, Not Hispanic","WY","0","0","0","0","0","0","0","0","0.01","0.0033","0.005","0.019","5000","N/A","2000"
"3 - Other or Multiple, Not Hispanic","WY","0","0","0","0","0.001","0.0003","0","0.002","0.048","0.016","0.025","0.091","24000","N/A","8000"
"4 - Hispanic","WY","0","0","0","0","0.001","0.0002","0.001","0.001","0.098","0.0147","0.073","0.131","49000","N/A","8000"
