"PAST 12 MOS, TIME WITH NO JOB","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"99 - LEGITIMATE SKIP","VA","0.01","0.0006","0.009","0.011","0.024","0.0014","0.021","0.027","0.381","0.0176","0.347","0.416","2700000","N/A","159000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","546000","N/A","25000"
"1 - Yes","VT","0","0","0","0","0.002","0.0003","0.002","0.003","0.077","0.0093","0.06","0.097","42000","N/A","6000"
"2 - No","VT","0.001","0.0001","0.001","0.001","0.002","0.0001","0.002","0.002","0.563","0.0187","0.526","0.6","307000","N/A","16000"
"85 - BAD DATA Logically assigned","VT","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","VT","0","0","0","0","0.004","0.0024","0.001","0.013","0.001","0.0009","0","0.005","1000","N/A","0"
"97 - REFUSED","VT","0","0","0","0","0.001","0.0004","0","0.002","0.004","0.0019","0.002","0.01","2000","N/A","1000"
"98 - BLANK","VT","0","0","0","0","0.003","0.0018","0.001","0.01","0.006","0.0032","0.002","0.017","3000","N/A","2000"
"99 - LEGITIMATE SKIP","VT","0.001","0","0.001","0.001","0.002","0.0001","0.001","0.002","0.348","0.0163","0.317","0.381","190000","N/A","13000"
"Overall","WA","0.023","0.0009","0.021","0.025","0.023","0.0009","0.021","0.025","1","0","N/A","N/A","6350000","N/A","262000"
"1 - Yes","WA","0.002","0.0002","0.002","0.003","0.029","0.0026","0.024","0.035","0.095","0.0082","0.08","0.112","603000","N/A","54000"
"2 - No","WA","0.011","0.0007","0.01","0.013","0.022","0.0014","0.02","0.025","0.481","0.0189","0.444","0.518","3052000","N/A","190000"
"85 - BAD DATA Logically assigned","WA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","WA","0","0","0","0","0.016","0.0142","0.003","0.086","0.001","0.0005","0","0.003","3000","N/A","3000"
"97 - REFUSED","WA","0","0.0001","0","0","0.015","0.0062","0.006","0.033","0.005","0.0023","0.002","0.012","34000","N/A","15000"
"98 - BLANK","WA","0","0","0","0","0.009","0.0052","0.003","0.028","0.001","0.0008","0","0.004","9000","N/A","5000"
"99 - LEGITIMATE SKIP","WA","0.01","0.0006","0.009","0.011","0.024","0.0014","0.021","0.027","0.417","0.0207","0.377","0.458","2648000","N/A","161000"
"Overall","WI","0.018","0.0008","0.016","0.02","0.018","0.0008","0.016","0.02","1","0","N/A","N/A","4920000","N/A","226000"
"1 - Yes","WI","0.001","0.0001","0.001","0.002","0.016","0.0018","0.013","0.02","0.068","0.007","0.056","0.083","336000","N/A","37000"
"2 - No","WI","0.01","0.0006","0.009","0.011","0.02","0.0011","0.018","0.022","0.562","0.0174","0.527","0.595","2763000","N/A","155000"
"85 - BAD DATA Logically assigned","WI","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","WI","0","0","0","0","0.032","0.0307","0.005","0.187","0.001","0.0013","0","0.009","7000","N/A","6000"
"97 - REFUSED","WI","0","0","0","0","0.007","0.0028","0.003","0.015","0.003","0.0013","0.001","0.007","16000","N/A","7000"
"98 - BLANK","WI","0","0","0","0","0.024","0.0119","0.009","0.063","0.005","0.0024","0.002","0.013","24000","N/A","12000"
"99 - LEGITIMATE SKIP","WI","0.006","0.0004","0.006","0.007","0.016","0.001","0.014","0.018","0.361","0.0163","0.329","0.393","1775000","N/A","110000"
"Overall","WV","0.006","0.0003","0.005","0.006","0.006","0.0003","0.005","0.006","1","0","N/A","N/A","1534000","N/A","74000"
"1 - Yes","WV","0","0.0001","0","0","0.005","0.0007","0.004","0.006","0.066","0.0087","0.051","0.085","101000","N/A","14000"
"2 - No","WV","0.002","0.0001","0.002","0.003","0.005","0.0003","0.004","0.005","0.41","0.0173","0.376","0.444","628000","N/A","39000"
"85 - BAD DATA Logically assigned","WV","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","WV","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"97 - REFUSED","WV","0","0","0","0","0.005","0.0027","0.002","0.014","0.008","0.004","0.003","0.021","12000","N/A","6000"
"98 - BLANK","WV","0","0","0","0","0.002","0.0006","0.001","0.003","0.001","0.0003","0.001","0.002","2000","N/A","1000"
"99 - LEGITIMATE SKIP","WV","0.003","0.0002","0.003","0.003","0.007","0.0005","0.006","0.008","0.515","0.0208","0.474","0.556","791000","N/A","51000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","479000","N/A","19000"
"1 - Yes","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.075","0.0074","0.062","0.091","36000","N/A","4000"
"2 - No","WY","0.001","0","0.001","0.001","0.002","0.0001","0.002","0.002","0.556","0.016","0.524","0.587","267000","N/A","12000"
"85 - BAD DATA Logically assigned","WY","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","WY","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"97 - REFUSED","WY","0","0","0","0","0","0.0001","0","0.001","0.001","0.0005","0","0.003","1000","N/A","0"
"98 - BLANK","WY","0","0","0","0","0.001","0.0004","0","0.002","0.002","0.0008","0.001","0.004","1000","N/A","0"
"99 - LEGITIMATE SKIP","WY","0.001","0","0.001","0.001","0.002","0.0001","0.001","0.002","0.366","0.0138","0.339","0.393","175000","N/A","11000"
