"RC-POVERTY LEVEL-NEW INC (% OF US CENSUS POVERTY THRESHOLD)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5988000","N/A","285000"
"1 - Living in Poverty","TN","0.004","0.0004","0.003","0.005","0.024","0.0026","0.02","0.03","0.176","0.0158","0.147","0.209","1054000","N/A","114000"
"2 - Income Up to 2X Fed Pov Thresh","TN","0.005","0.0005","0.004","0.006","0.025","0.0025","0.02","0.03","0.226","0.021","0.187","0.27","1352000","N/A","139000"
"3 - Income More Than 2X Fed Pov Thresh","TN","0.013","0.0008","0.011","0.014","0.019","0.0012","0.017","0.022","0.598","0.0263","0.546","0.649","3582000","N/A","224000"
"Overall","TX","0.088","0.0033","0.082","0.095","0.088","0.0033","0.082","0.095","1","0","N/A","N/A","24946000","N/A","988000"
"1 - Living in Poverty","TX","0.018","0.0013","0.016","0.021","0.116","0.0078","0.102","0.132","0.203","0.0118","0.181","0.227","5058000","N/A","370000"
"2 - Income Up to 2X Fed Pov Thresh","TX","0.02","0.0012","0.017","0.022","0.1","0.0057","0.09","0.112","0.221","0.0091","0.204","0.24","5518000","N/A","340000"
"3 - Income More Than 2X Fed Pov Thresh","TX","0.051","0.0022","0.047","0.055","0.078","0.0034","0.072","0.085","0.576","0.0165","0.543","0.608","14370000","N/A","651000"
"Overall","UT","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2783000","N/A","151000"
"1 - Living in Poverty","UT","0.001","0.0001","0.001","0.001","0.006","0.0009","0.004","0.008","0.089","0.013","0.066","0.118","246000","N/A","38000"
"2 - Income Up to 2X Fed Pov Thresh","UT","0.002","0.0002","0.001","0.002","0.009","0.0008","0.007","0.01","0.171","0.0138","0.146","0.2","476000","N/A","45000"
"3 - Income More Than 2X Fed Pov Thresh","UT","0.007","0.0005","0.006","0.008","0.011","0.0007","0.01","0.013","0.74","0.0221","0.695","0.781","2060000","N/A","131000"
"Overall","VA","0.026","0.0012","0.024","0.028","0.026","0.0012","0.024","0.028","1","0","N/A","N/A","7290000","N/A","338000"
"1 - Living in Poverty","VA","0.003","0.0003","0.002","0.003","0.017","0.0019","0.014","0.022","0.104","0.0113","0.084","0.129","761000","N/A","82000"
"2 - Income Up to 2X Fed Pov Thresh","VA","0.004","0.0003","0.003","0.005","0.021","0.0016","0.018","0.024","0.156","0.01","0.138","0.177","1139000","N/A","90000"
"3 - Income More Than 2X Fed Pov Thresh","VA","0.019","0.001","0.017","0.021","0.029","0.0016","0.026","0.033","0.739","0.017","0.705","0.771","5389000","N/A","294000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","570000","N/A","38000"
"1 - Living in Poverty","VT","0","0","0","0","0.002","0.0002","0.001","0.002","0.122","0.013","0.099","0.15","70000","N/A","9000"
"2 - Income Up to 2X Fed Pov Thresh","VT","0","0","0","0","0.002","0.0002","0.001","0.002","0.171","0.0129","0.147","0.198","97000","N/A","10000"
"3 - Income More Than 2X Fed Pov Thresh","VT","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.003","0.707","0.0185","0.669","0.742","403000","N/A","28000"
"Overall","WA","0.023","0.0012","0.021","0.026","0.023","0.0012","0.021","0.026","1","0","N/A","N/A","6628000","N/A","334000"
"1 - Living in Poverty","WA","0.003","0.0003","0.002","0.003","0.017","0.002","0.013","0.021","0.111","0.0126","0.089","0.138","736000","N/A","90000"
"2 - Income Up to 2X Fed Pov Thresh","WA","0.004","0.0004","0.003","0.005","0.02","0.002","0.016","0.024","0.163","0.0151","0.135","0.194","1078000","N/A","109000"
"3 - Income More Than 2X Fed Pov Thresh","WA","0.017","0.001","0.015","0.019","0.026","0.0016","0.023","0.029","0.726","0.0219","0.681","0.767","4813000","N/A","294000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5052000","N/A","297000"
"1 - Living in Poverty","WI","0.002","0.0002","0.001","0.002","0.012","0.0013","0.009","0.014","0.099","0.0104","0.081","0.122","501000","N/A","55000"
"2 - Income Up to 2X Fed Pov Thresh","WI","0.003","0.0003","0.002","0.003","0.014","0.0015","0.012","0.018","0.156","0.0159","0.128","0.19","789000","N/A","85000"
"3 - Income More Than 2X Fed Pov Thresh","WI","0.013","0.0009","0.012","0.015","0.02","0.0014","0.018","0.023","0.744","0.0214","0.7","0.784","3761000","N/A","268000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1518000","N/A","122000"
"1 - Living in Poverty","WV","0.001","0.0001","0.001","0.001","0.008","0.001","0.006","0.01","0.215","0.0223","0.174","0.262","326000","N/A","41000"
"2 - Income Up to 2X Fed Pov Thresh","WV","0.001","0.0002","0.001","0.002","0.007","0.0008","0.006","0.009","0.259","0.0212","0.22","0.303","394000","N/A","43000"
"3 - Income More Than 2X Fed Pov Thresh","WV","0.003","0.0003","0.002","0.003","0.004","0.0004","0.004","0.005","0.525","0.0282","0.47","0.58","797000","N/A","82000"
"Overall","WY","0.002","0.0001","0.001","0.002","0.002","0.0001","0.001","0.002","1","0","N/A","N/A","491000","N/A","38000"
"1 - Living in Poverty","WY","0","0","0","0","0.001","0.0002","0.001","0.002","0.12","0.0183","0.089","0.161","59000","N/A","10000"
"2 - Income Up to 2X Fed Pov Thresh","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.195","0.0225","0.155","0.243","96000","N/A","13000"
"3 - Income More Than 2X Fed Pov Thresh","WY","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.684","0.0333","0.616","0.746","336000","N/A","31000"
