"RC-EDUCATION CATEGORIES","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"5 - 12 to 17 year olds","NE","0.001","0","0.001","0.001","0.006","0.0005","0.005","0.008","0.102","0.0072","0.089","0.117","166000","N/A","13000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1218000","N/A","82000"
"1 - Less high school","NH","0","0.0001","0","0","0.003","0.0006","0.002","0.004","0.058","0.0114","0.039","0.085","71000","N/A","15000"
"2 - High school grad","NH","0.001","0.0001","0.001","0.001","0.004","0.0005","0.004","0.005","0.254","0.0212","0.215","0.298","309000","N/A","31000"
"3 - Some coll/Assoc Dg","NH","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.272","0.0207","0.233","0.314","331000","N/A","39000"
"4 - College graduate","NH","0.001","0.0001","0.001","0.002","0.005","0.0005","0.004","0.006","0.339","0.0267","0.288","0.393","413000","N/A","38000"
"5 - 12 to 17 year olds","NH","0","0","0","0","0.004","0.0004","0.003","0.004","0.077","0.0061","0.066","0.09","94000","N/A","10000"
"Overall","NJ","0.028","0.0021","0.024","0.033","0.028","0.0021","0.024","0.033","1","0","N/A","N/A","7881000","N/A","605000"
"1 - Less high school","NJ","0.002","0.0004","0.001","0.003","0.023","0.0047","0.016","0.035","0.078","0.0136","0.055","0.11","617000","N/A","126000"
"2 - High school grad","NJ","0.007","0.0009","0.005","0.009","0.027","0.0038","0.02","0.035","0.236","0.0216","0.196","0.281","1861000","N/A","267000"
"3 - Some coll/Assoc Dg","NJ","0.006","0.0006","0.005","0.008","0.023","0.0021","0.019","0.027","0.227","0.0158","0.197","0.259","1785000","N/A","164000"
"4 - College graduate","NJ","0.01","0.0009","0.009","0.012","0.035","0.0031","0.03","0.042","0.368","0.0276","0.316","0.424","2903000","N/A","260000"
"5 - 12 to 17 year olds","NJ","0.003","0.0003","0.002","0.003","0.028","0.0029","0.022","0.034","0.091","0.0074","0.077","0.106","714000","N/A","77000"
"Overall","NM","0.006","0.0005","0.006","0.007","0.006","0.0005","0.006","0.007","1","0","N/A","N/A","1786000","N/A","128000"
"1 - Less high school","NM","0.001","0.0001","0.001","0.001","0.008","0.0012","0.006","0.01","0.111","0.0159","0.084","0.147","199000","N/A","32000"
"2 - High school grad","NM","0.002","0.0002","0.001","0.002","0.006","0.0007","0.005","0.008","0.243","0.0184","0.209","0.281","434000","N/A","49000"
"3 - Some coll/Assoc Dg","NM","0.002","0.0002","0.002","0.002","0.007","0.0007","0.006","0.008","0.297","0.0192","0.261","0.336","530000","N/A","52000"
"4 - College graduate","NM","0.002","0.0002","0.001","0.002","0.006","0.0006","0.004","0.007","0.253","0.0227","0.211","0.3","451000","N/A","50000"
"5 - 12 to 17 year olds","NM","0.001","0.0001","0.001","0.001","0.007","0.0007","0.005","0.008","0.096","0.0087","0.08","0.115","172000","N/A","17000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2679000","N/A","210000"
"1 - Less high school","NV","0.001","0.0002","0.001","0.001","0.011","0.0018","0.008","0.015","0.107","0.0123","0.086","0.134","288000","N/A","47000"
"2 - High school grad","NV","0.003","0.0003","0.002","0.003","0.01","0.0013","0.008","0.013","0.266","0.0201","0.229","0.308","713000","N/A","91000"
"3 - Some coll/Assoc Dg","NV","0.003","0.0003","0.002","0.003","0.01","0.001","0.009","0.013","0.302","0.0216","0.261","0.346","809000","N/A","78000"
"4 - College graduate","NV","0.002","0.0002","0.002","0.003","0.008","0.0007","0.006","0.009","0.232","0.0194","0.196","0.272","622000","N/A","58000"
"5 - 12 to 17 year olds","NV","0.001","0.0001","0.001","0.001","0.01","0.001","0.008","0.012","0.092","0.0081","0.077","0.109","246000","N/A","25000"
"Overall","NY","0.06","0.0031","0.054","0.066","0.06","0.0031","0.054","0.066","1","0","N/A","N/A","16897000","N/A","892000"
"1 - Less high school","NY","0.006","0.0007","0.005","0.007","0.064","0.0069","0.052","0.079","0.099","0.01","0.081","0.121","1679000","N/A","186000"
"2 - High school grad","NY","0.014","0.001","0.012","0.016","0.057","0.0041","0.049","0.065","0.232","0.012","0.209","0.256","3920000","N/A","289000"
"3 - Some coll/Assoc Dg","NY","0.015","0.0009","0.013","0.016","0.053","0.0033","0.047","0.06","0.242","0.0103","0.222","0.262","4086000","N/A","264000"
"4 - College graduate","NY","0.021","0.0015","0.018","0.024","0.071","0.0051","0.062","0.082","0.345","0.0168","0.312","0.378","5822000","N/A","436000"
"5 - 12 to 17 year olds","NY","0.005","0.0004","0.004","0.006","0.054","0.0043","0.046","0.063","0.082","0.0051","0.073","0.093","1390000","N/A","115000"
"Overall","OH","0.035","0.0016","0.032","0.039","0.035","0.0016","0.032","0.039","1","0","N/A","N/A","9941000","N/A","457000"
"1 - Less high school","OH","0.003","0.0003","0.002","0.004","0.03","0.0036","0.023","0.038","0.079","0.0083","0.064","0.097","786000","N/A","98000"
"2 - High school grad","OH","0.011","0.0007","0.009","0.012","0.043","0.0028","0.038","0.049","0.301","0.0135","0.275","0.328","2989000","N/A","200000"
"3 - Some coll/Assoc Dg","OH","0.01","0.0006","0.009","0.011","0.035","0.0021","0.031","0.039","0.273","0.0121","0.25","0.297","2714000","N/A","163000"
"4 - College graduate","OH","0.009","0.0006","0.008","0.01","0.031","0.0021","0.027","0.035","0.255","0.0142","0.229","0.284","2539000","N/A","172000"
"5 - 12 to 17 year olds","OH","0.003","0.0002","0.003","0.004","0.035","0.0025","0.031","0.041","0.092","0.005","0.083","0.102","913000","N/A","65000"
"Overall","OK","0.012","0.0008","0.01","0.014","0.012","0.0008","0.01","0.014","1","0","N/A","N/A","3304000","N/A","234000"
"1 - Less high school","OK","0.001","0.0002","0.001","0.002","0.013","0.0024","0.009","0.019","0.105","0.0151","0.079","0.138","346000","N/A","62000"
"2 - High school grad","OK","0.003","0.0004","0.003","0.004","0.014","0.0016","0.011","0.017","0.287","0.0256","0.239","0.34","947000","N/A","111000"
"3 - Some coll/Assoc Dg","OK","0.003","0.0003","0.003","0.004","0.012","0.0012","0.01","0.015","0.281","0.0167","0.249","0.315","927000","N/A","94000"
"4 - College graduate","OK","0.003","0.0003","0.002","0.003","0.009","0.0009","0.008","0.011","0.227","0.0223","0.186","0.273","748000","N/A","73000"
"5 - 12 to 17 year olds","OK","0.001","0.0001","0.001","0.001","0.013","0.0015","0.01","0.016","0.101","0.0097","0.084","0.122","334000","N/A","38000"
"Overall","OR","0.013","0.0008","0.012","0.015","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","3664000","N/A","216000"
"1 - Less high school","OR","0.001","0.0002","0.001","0.001","0.011","0.0017","0.008","0.015","0.076","0.0119","0.056","0.103","280000","N/A","45000"
"2 - High school grad","OR","0.003","0.0003","0.002","0.003","0.011","0.0013","0.009","0.014","0.214","0.0178","0.181","0.251","785000","N/A","88000"
"3 - Some coll/Assoc Dg","OR","0.004","0.0004","0.003","0.005","0.015","0.0015","0.012","0.018","0.321","0.023","0.277","0.367","1175000","N/A","117000"
"4 - College graduate","OR","0.004","0.0003","0.003","0.005","0.014","0.0012","0.012","0.016","0.305","0.0231","0.262","0.352","1119000","N/A","96000"
"5 - 12 to 17 year olds","OR","0.001","0.0001","0.001","0.001","0.012","0.0011","0.01","0.014","0.083","0.0069","0.071","0.098","306000","N/A","28000"
"Overall","PA","0.039","0.002","0.036","0.044","0.039","0.002","0.036","0.044","1","0","N/A","N/A","11085000","N/A","589000"
"1 - Less high school","PA","0.003","0.0004","0.002","0.004","0.032","0.004","0.025","0.041","0.076","0.0078","0.062","0.093","840000","N/A","105000"
"2 - High school grad","PA","0.012","0.0008","0.011","0.014","0.049","0.0034","0.043","0.056","0.308","0.0128","0.283","0.334","3414000","N/A","241000"
"3 - Some coll/Assoc Dg","PA","0.009","0.0008","0.008","0.011","0.034","0.0028","0.029","0.04","0.239","0.0129","0.215","0.265","2651000","N/A","218000"
"4 - College graduate","PA","0.012","0.0007","0.01","0.013","0.039","0.0025","0.035","0.045","0.292","0.0162","0.261","0.325","3239000","N/A","209000"
"5 - 12 to 17 year olds","PA","0.003","0.0003","0.003","0.004","0.036","0.0028","0.031","0.042","0.085","0.0054","0.075","0.096","942000","N/A","75000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","947000","N/A","77000"
"1 - Less high school","RI","0","0.0001","0","0","0.003","0.0006","0.002","0.005","0.089","0.0178","0.06","0.131","84000","N/A","17000"
"2 - High school grad","RI","0.001","0.0001","0.001","0.001","0.004","0.0003","0.003","0.004","0.268","0.0244","0.223","0.319","254000","N/A","24000"
"3 - Some coll/Assoc Dg","RI","0.001","0.0001","0.001","0.001","0.003","0.0004","0.003","0.004","0.257","0.0182","0.223","0.294","243000","N/A","28000"
"4 - College graduate","RI","0.001","0.0002","0.001","0.001","0.004","0.0005","0.003","0.005","0.308","0.0275","0.257","0.365","292000","N/A","42000"
"5 - 12 to 17 year olds","RI","0","0","0","0","0.003","0.0004","0.002","0.004","0.078","0.0096","0.061","0.099","74000","N/A","10000"
"Overall","SC","0.016","0.0013","0.013","0.019","0.016","0.0013","0.013","0.019","1","0","N/A","N/A","4434000","N/A","364000"
"1 - Less high school","SC","0.002","0.0003","0.001","0.002","0.016","0.0027","0.012","0.022","0.096","0.0153","0.07","0.13","424000","N/A","71000"
"2 - High school grad","SC","0.004","0.0005","0.003","0.005","0.017","0.002","0.014","0.021","0.265","0.0221","0.224","0.311","1176000","N/A","137000"
"3 - Some coll/Assoc Dg","SC","0.005","0.0005","0.004","0.006","0.017","0.0017","0.013","0.02","0.289","0.0228","0.246","0.336","1280000","N/A","134000"
"4 - College graduate","SC","0.004","0.0006","0.003","0.005","0.014","0.002","0.011","0.018","0.26","0.0257","0.213","0.314","1154000","N/A","162000"
"5 - 12 to 17 year olds","SC","0.001","0.0002","0.001","0.002","0.015","0.0026","0.011","0.022","0.09","0.013","0.068","0.119","400000","N/A","69000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","741000","N/A","51000"
"1 - Less high school","SD","0","0","0","0","0.002","0.0004","0.001","0.003","0.067","0.0133","0.045","0.098","50000","N/A","12000"
"2 - High school grad","SD","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.004","0.267","0.025","0.22","0.318","197000","N/A","21000"
"3 - Some coll/Assoc Dg","SD","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.004","0.307","0.0236","0.263","0.355","228000","N/A","26000"
"4 - College graduate","SD","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.258","0.025","0.212","0.31","191000","N/A","20000"
"5 - 12 to 17 year olds","SD","0","0.0001","0","0","0.003","0.0008","0.002","0.005","0.101","0.0264","0.06","0.166","75000","N/A","20000"
"Overall","TN","0.021","0.0014","0.019","0.024","0.021","0.0014","0.019","0.024","1","0","N/A","N/A","5919000","N/A","383000"
"1 - Less high school","TN","0.002","0.0003","0.001","0.003","0.022","0.0035","0.016","0.03","0.097","0.0158","0.07","0.133","576000","N/A","93000"
"2 - High school grad","TN","0.006","0.0007","0.005","0.008","0.025","0.0027","0.02","0.031","0.289","0.0218","0.248","0.334","1711000","N/A","193000"
"3 - Some coll/Assoc Dg","TN","0.006","0.0005","0.005","0.007","0.021","0.0016","0.018","0.024","0.269","0.0179","0.235","0.305","1590000","N/A","126000"
"4 - College graduate","TN","0.005","0.0006","0.004","0.007","0.018","0.0021","0.015","0.023","0.253","0.0202","0.216","0.295","1500000","N/A","170000"
"5 - 12 to 17 year olds","TN","0.002","0.0002","0.002","0.002","0.021","0.0018","0.018","0.025","0.092","0.0073","0.078","0.107","542000","N/A","45000"
"Overall","TX","0.087","0.0037","0.08","0.095","0.087","0.0037","0.08","0.095","1","0","N/A","N/A","24492000","N/A","1109000"
"1 - Less high school","TX","0.011","0.001","0.009","0.013","0.112","0.0102","0.094","0.134","0.12","0.0094","0.103","0.14","2950000","N/A","294000"
"2 - High school grad","TX","0.02","0.0014","0.018","0.023","0.083","0.0054","0.073","0.094","0.235","0.0113","0.213","0.257","5745000","N/A","401000"
"3 - Some coll/Assoc Dg","TX","0.024","0.0012","0.021","0.026","0.086","0.0043","0.078","0.095","0.272","0.0094","0.254","0.291","6669000","N/A","356000"
"4 - College graduate","TX","0.023","0.0015","0.02","0.026","0.079","0.0048","0.07","0.089","0.265","0.0145","0.238","0.295","6501000","N/A","418000"
"5 - 12 to 17 year olds","TX","0.009","0.0006","0.008","0.011","0.102","0.0061","0.09","0.114","0.107","0.0049","0.098","0.117","2626000","N/A","169000"
"Overall","UT","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2735000","N/A","209000"
"1 - Less high school","UT","0.001","0.0001","0","0.001","0.006","0.0014","0.004","0.01","0.06","0.0124","0.04","0.089","164000","N/A","38000"
"2 - High school grad","UT","0.002","0.0002","0.002","0.003","0.008","0.0009","0.007","0.01","0.213","0.0135","0.187","0.24","582000","N/A","65000"
"3 - Some coll/Assoc Dg","UT","0.003","0.0003","0.003","0.004","0.012","0.001","0.01","0.014","0.327","0.0164","0.296","0.36","896000","N/A","77000"
"4 - College graduate","UT","0.003","0.0002","0.002","0.003","0.009","0.0008","0.008","0.011","0.277","0.016","0.247","0.309","757000","N/A","63000"
"5 - 12 to 17 year olds","UT","0.001","0.0001","0.001","0.001","0.013","0.0014","0.011","0.016","0.123","0.0083","0.108","0.14","337000","N/A","35000"
"Overall","VA","0.026","0.0014","0.023","0.029","0.026","0.0014","0.023","0.029","1","0","N/A","N/A","7254000","N/A","382000"
"1 - Less high school","VA","0.002","0.0002","0.002","0.003","0.022","0.0026","0.017","0.027","0.078","0.0086","0.063","0.097","567000","N/A","69000"
"2 - High school grad","VA","0.006","0.0004","0.005","0.007","0.024","0.0018","0.02","0.027","0.226","0.0126","0.202","0.252","1641000","N/A","123000"
"3 - Some coll/Assoc Dg","VA","0.007","0.0004","0.006","0.008","0.024","0.0015","0.021","0.027","0.258","0.0102","0.239","0.279","1875000","N/A","114000"
"4 - College graduate","VA","0.009","0.0007","0.008","0.01","0.031","0.0024","0.026","0.036","0.347","0.0183","0.312","0.383","2514000","N/A","198000"
"5 - 12 to 17 year olds","VA","0.002","0.0002","0.002","0.003","0.025","0.002","0.022","0.03","0.091","0.0049","0.081","0.101","657000","N/A","51000"
"Overall","VT","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","568000","N/A","45000"
"1 - Less high school","VT","0","0","0","0","0.001","0.0002","0.001","0.002","0.056","0.0079","0.042","0.074","32000","N/A","5000"
"2 - High school grad","VT","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.253","0.0196","0.216","0.293","144000","N/A","16000"
"3 - Some coll/Assoc Dg","VT","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.002","0.26","0.0171","0.228","0.295","148000","N/A","15000"
"4 - College graduate","VT","0.001","0.0001","0.001","0.001","0.002","0.0003","0.002","0.003","0.356","0.0198","0.318","0.396","202000","N/A","20000"
"5 - 12 to 17 year olds","VT","0","0","0","0","0.002","0.0002","0.001","0.002","0.075","0.0075","0.062","0.091","43000","N/A","5000"
"Overall","WA","0.023","0.0016","0.02","0.027","0.023","0.0016","0.02","0.027","1","0","N/A","N/A","6575000","N/A","455000"
"1 - Less high school","WA","0.002","0.0003","0.001","0.002","0.018","0.0033","0.012","0.025","0.071","0.0119","0.051","0.098","468000","N/A","87000"
"2 - High school grad","WA","0.005","0.0007","0.004","0.006","0.02","0.0027","0.015","0.026","0.212","0.0216","0.172","0.257","1392000","N/A","188000"
"3 - Some coll/Assoc Dg","WA","0.007","0.0007","0.006","0.009","0.026","0.0025","0.021","0.031","0.303","0.0176","0.269","0.338","1991000","N/A","194000"
"4 - College graduate","WA","0.008","0.0007","0.006","0.009","0.026","0.0022","0.022","0.031","0.327","0.0229","0.284","0.373","2149000","N/A","186000"
"5 - 12 to 17 year olds","WA","0.002","0.0002","0.002","0.003","0.022","0.0024","0.018","0.027","0.088","0.0096","0.07","0.108","575000","N/A","62000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5031000","N/A","296000"
"1 - Less high school","WI","0.001","0.0002","0.001","0.002","0.012","0.0022","0.008","0.017","0.062","0.0106","0.044","0.086","311000","N/A","59000"
"2 - High school grad","WI","0.005","0.0004","0.004","0.006","0.02","0.0018","0.017","0.024","0.278","0.0167","0.247","0.312","1399000","N/A","125000"
"3 - Some coll/Assoc Dg","WI","0.005","0.0004","0.005","0.006","0.019","0.0016","0.016","0.023","0.297","0.0139","0.271","0.325","1497000","N/A","120000"
"4 - College graduate","WI","0.005","0.0004","0.004","0.006","0.017","0.0013","0.014","0.019","0.272","0.0182","0.238","0.309","1368000","N/A","106000"
"5 - 12 to 17 year olds","WI","0.002","0.0001","0.001","0.002","0.018","0.0016","0.015","0.021","0.091","0.0071","0.078","0.106","457000","N/A","41000"
"Overall","WV","0.005","0.0005","0.005","0.006","0.005","0.0005","0.005","0.006","1","0","N/A","N/A","1525000","N/A","136000"
"1 - Less high school","WV","0.001","0.0001","0","0.001","0.006","0.0012","0.004","0.009","0.107","0.0166","0.078","0.144","163000","N/A","31000"
"2 - High school grad","WV","0.002","0.0002","0.002","0.002","0.008","0.0008","0.006","0.01","0.36","0.0215","0.319","0.403","549000","N/A","57000"
"3 - Some coll/Assoc Dg","WV","0.001","0.0002","0.001","0.002","0.005","0.0006","0.004","0.006","0.252","0.022","0.212","0.298","385000","N/A","47000"
"4 - College graduate","WV","0.001","0.0002","0.001","0.001","0.004","0.0005","0.003","0.005","0.197","0.0218","0.157","0.243","300000","N/A","44000"
"5 - 12 to 17 year olds","WV","0","0.0001","0","0.001","0.005","0.0006","0.004","0.006","0.084","0.0079","0.069","0.101","128000","N/A","15000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","488000","N/A","34000"
"1 - Less high school","WY","0","0","0","0","0.001","0.0003","0.001","0.002","0.056","0.0131","0.035","0.088","27000","N/A","7000"
"2 - High school grad","WY","0","0.0001","0","0.001","0.002","0.0002","0.001","0.002","0.255","0.0229","0.213","0.302","124000","N/A","14000"
"3 - Some coll/Assoc Dg","WY","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.346","0.0254","0.298","0.398","169000","N/A","14000"
"4 - College graduate","WY","0","0.0001","0","0.001","0.001","0.0002","0.001","0.002","0.245","0.025","0.199","0.297","119000","N/A","15000"
"5 - 12 to 17 year olds","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.098","0.0096","0.081","0.119","48000","N/A","5000"
