"RC-POVERTY LEVEL-NEW INC (% OF US CENSUS POVERTY THRESHOLD)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","TN","0.021","0.0014","0.019","0.024","0.021","0.0014","0.019","0.024","1","0","N/A","N/A","5919000","N/A","383000"
"1 - Living in Poverty","TN","0.004","0.0004","0.003","0.005","0.024","0.0026","0.02","0.03","0.176","0.0184","0.142","0.215","1039000","N/A","110000"
"2 - Income Up to 2X Fed Pov Thresh","TN","0.004","0.0006","0.003","0.006","0.021","0.0028","0.016","0.028","0.201","0.0223","0.161","0.248","1189000","N/A","161000"
"3 - Income More Than 2X Fed Pov Thresh","TN","0.013","0.0011","0.011","0.015","0.02","0.0017","0.017","0.024","0.624","0.0284","0.566","0.677","3691000","N/A","304000"
"Overall","TX","0.087","0.0037","0.08","0.095","0.087","0.0037","0.08","0.095","1","0","N/A","N/A","24492000","N/A","1109000"
"1 - Living in Poverty","TX","0.018","0.0015","0.015","0.021","0.117","0.0089","0.1","0.135","0.202","0.0126","0.178","0.228","4948000","N/A","419000"
"2 - Income Up to 2X Fed Pov Thresh","TX","0.02","0.0013","0.017","0.022","0.098","0.0062","0.086","0.111","0.225","0.0107","0.204","0.246","5499000","N/A","373000"
"3 - Income More Than 2X Fed Pov Thresh","TX","0.05","0.0024","0.046","0.055","0.077","0.0036","0.07","0.084","0.573","0.0177","0.538","0.608","14045000","N/A","699000"
"Overall","UT","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2735000","N/A","209000"
"1 - Living in Poverty","UT","0.001","0.0001","0.001","0.001","0.007","0.001","0.005","0.009","0.102","0.0129","0.079","0.13","278000","N/A","41000"
"2 - Income Up to 2X Fed Pov Thresh","UT","0.002","0.0002","0.001","0.002","0.009","0.0011","0.007","0.011","0.184","0.018","0.151","0.222","502000","N/A","60000"
"3 - Income More Than 2X Fed Pov Thresh","UT","0.007","0.0006","0.006","0.008","0.011","0.0009","0.009","0.013","0.715","0.0255","0.662","0.762","1955000","N/A","168000"
"Overall","VA","0.026","0.0014","0.023","0.029","0.026","0.0014","0.023","0.029","1","0","N/A","N/A","7254000","N/A","382000"
"1 - Living in Poverty","VA","0.003","0.0003","0.002","0.003","0.018","0.0019","0.015","0.022","0.105","0.0106","0.086","0.128","764000","N/A","82000"
"2 - Income Up to 2X Fed Pov Thresh","VA","0.005","0.0004","0.004","0.006","0.024","0.0019","0.021","0.028","0.187","0.0118","0.165","0.211","1354000","N/A","106000"
"3 - Income More Than 2X Fed Pov Thresh","VA","0.018","0.0011","0.016","0.021","0.028","0.0017","0.025","0.032","0.708","0.0168","0.674","0.74","5135000","N/A","313000"
"Overall","VT","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","568000","N/A","45000"
"1 - Living in Poverty","VT","0","0","0","0","0.001","0.0002","0.001","0.002","0.106","0.0154","0.08","0.14","60000","N/A","10000"
"2 - Income Up to 2X Fed Pov Thresh","VT","0","0","0","0","0.002","0.0002","0.001","0.002","0.178","0.0154","0.15","0.21","101000","N/A","12000"
"3 - Income More Than 2X Fed Pov Thresh","VT","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.003","0.716","0.0209","0.673","0.755","407000","N/A","34000"
"Overall","WA","0.023","0.0016","0.02","0.027","0.023","0.0016","0.02","0.027","1","0","N/A","N/A","6575000","N/A","455000"
"1 - Living in Poverty","WA","0.002","0.0004","0.002","0.003","0.016","0.0023","0.012","0.021","0.1","0.0131","0.077","0.129","660000","N/A","100000"
"2 - Income Up to 2X Fed Pov Thresh","WA","0.004","0.0005","0.003","0.005","0.02","0.0026","0.015","0.025","0.167","0.0164","0.137","0.202","1099000","N/A","146000"
"3 - Income More Than 2X Fed Pov Thresh","WA","0.017","0.0012","0.015","0.02","0.026","0.0018","0.023","0.03","0.732","0.0216","0.688","0.773","4816000","N/A","333000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5031000","N/A","296000"
"1 - Living in Poverty","WI","0.002","0.0002","0.001","0.002","0.011","0.0016","0.008","0.014","0.09","0.0123","0.069","0.117","453000","N/A","70000"
"2 - Income Up to 2X Fed Pov Thresh","WI","0.003","0.0004","0.002","0.004","0.015","0.0019","0.011","0.019","0.164","0.017","0.133","0.2","825000","N/A","105000"
"3 - Income More Than 2X Fed Pov Thresh","WI","0.013","0.0008","0.012","0.015","0.021","0.0012","0.018","0.023","0.746","0.0219","0.701","0.787","3753000","N/A","228000"
"Overall","WV","0.005","0.0005","0.005","0.006","0.005","0.0005","0.005","0.006","1","0","N/A","N/A","1525000","N/A","136000"
"1 - Living in Poverty","WV","0.001","0.0002","0.001","0.002","0.009","0.001","0.007","0.011","0.238","0.0201","0.201","0.28","364000","N/A","43000"
"2 - Income Up to 2X Fed Pov Thresh","WV","0.001","0.0002","0.001","0.002","0.007","0.0008","0.006","0.009","0.258","0.0232","0.216","0.306","394000","N/A","46000"
"3 - Income More Than 2X Fed Pov Thresh","WV","0.003","0.0003","0.002","0.003","0.004","0.0005","0.003","0.005","0.503","0.0313","0.442","0.564","767000","N/A","89000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","485000","N/A","34000"
"1 - Living in Poverty","WY","0","0","0","0","0.002","0.0003","0.001","0.002","0.167","0.0184","0.134","0.207","81000","N/A","11000"
"2 - Income Up to 2X Fed Pov Thresh","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.18","0.0229","0.14","0.23","88000","N/A","12000"
"3 - Income More Than 2X Fed Pov Thresh","WY","0.001","0.0001","0.001","0.001","0.002","0.0002","0.001","0.002","0.652","0.0303","0.59","0.709","316000","N/A","28000"
