"RC-EDUCATION CATEGORIES","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - Some coll/Assoc Dg","SC","0.005","0.0004","0.004","0.006","0.017","0.0016","0.014","0.02","0.287","0.0185","0.253","0.325","1297000","N/A","125000"
"4 - College graduate","SC","0.004","0.0005","0.003","0.005","0.014","0.0017","0.011","0.018","0.272","0.0228","0.229","0.318","1226000","N/A","144000"
"5 - 12 to 17 year olds","SC","0.001","0.0002","0.001","0.002","0.016","0.0022","0.012","0.021","0.09","0.0113","0.07","0.115","406000","N/A","59000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","751000","N/A","47000"
"1 - Less high school","SD","0","0","0","0","0.002","0.0003","0.001","0.003","0.064","0.0106","0.046","0.088","48000","N/A","8000"
"2 - High school grad","SD","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.004","0.263","0.0221","0.222","0.308","197000","N/A","21000"
"3 - Some coll/Assoc Dg","SD","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.004","0.308","0.0234","0.264","0.356","231000","N/A","24000"
"4 - College graduate","SD","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.265","0.0189","0.23","0.304","199000","N/A","17000"
"5 - 12 to 17 year olds","SD","0","0","0","0","0.003","0.0004","0.002","0.004","0.101","0.0099","0.083","0.122","76000","N/A","10000"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5988000","N/A","285000"
"1 - Less high school","TN","0.002","0.0003","0.001","0.003","0.021","0.0038","0.015","0.03","0.088","0.0157","0.061","0.124","524000","N/A","95000"
"2 - High school grad","TN","0.006","0.0005","0.005","0.007","0.025","0.002","0.022","0.029","0.292","0.0158","0.262","0.324","1746000","N/A","138000"
"3 - Some coll/Assoc Dg","TN","0.006","0.0004","0.005","0.007","0.021","0.0015","0.018","0.024","0.267","0.0139","0.241","0.295","1600000","N/A","114000"
"4 - College graduate","TN","0.006","0.0005","0.005","0.007","0.018","0.0016","0.015","0.022","0.263","0.0195","0.226","0.303","1572000","N/A","139000"
"5 - 12 to 17 year olds","TN","0.002","0.0001","0.002","0.002","0.021","0.0015","0.018","0.024","0.091","0.0065","0.079","0.105","546000","N/A","39000"
"Overall","TX","0.088","0.0033","0.082","0.095","0.088","0.0033","0.082","0.095","1","0","N/A","N/A","24946000","N/A","988000"
"1 - Less high school","TX","0.009","0.0008","0.008","0.011","0.109","0.0083","0.094","0.126","0.107","0.0077","0.092","0.123","2660000","N/A","223000"
"2 - High school grad","TX","0.021","0.0012","0.019","0.023","0.084","0.0046","0.076","0.094","0.234","0.0093","0.217","0.253","5849000","N/A","339000"
"3 - Some coll/Assoc Dg","TX","0.024","0.0012","0.022","0.027","0.088","0.0043","0.08","0.097","0.273","0.0085","0.256","0.29","6807000","N/A","357000"
"4 - College graduate","TX","0.025","0.0014","0.022","0.028","0.081","0.0045","0.073","0.091","0.28","0.0132","0.255","0.307","6986000","N/A","407000"
"5 - 12 to 17 year olds","TX","0.009","0.0005","0.008","0.01","0.102","0.0056","0.092","0.114","0.106","0.0048","0.097","0.116","2645000","N/A","156000"
"Overall","UT","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2783000","N/A","151000"
"1 - Less high school","UT","0.001","0.0001","0","0.001","0.007","0.0012","0.005","0.009","0.059","0.0096","0.043","0.081","165000","N/A","28000"
"2 - High school grad","UT","0.002","0.0002","0.002","0.002","0.009","0.0007","0.007","0.01","0.212","0.012","0.19","0.237","591000","N/A","50000"
"3 - Some coll/Assoc Dg","UT","0.003","0.0002","0.003","0.004","0.011","0.0009","0.01","0.013","0.316","0.0173","0.283","0.351","879000","N/A","69000"
"4 - College graduate","UT","0.003","0.0002","0.002","0.003","0.009","0.0007","0.008","0.011","0.291","0.0156","0.262","0.323","811000","N/A","58000"
"5 - 12 to 17 year olds","UT","0.001","0.0001","0.001","0.001","0.013","0.0011","0.011","0.015","0.121","0.0078","0.107","0.137","337000","N/A","27000"
"Overall","VA","0.026","0.0012","0.024","0.028","0.026","0.0012","0.024","0.028","1","0","N/A","N/A","7290000","N/A","338000"
"1 - Less high school","VA","0.002","0.0003","0.001","0.002","0.021","0.0029","0.016","0.028","0.072","0.0091","0.056","0.092","523000","N/A","71000"
"2 - High school grad","VA","0.006","0.0005","0.005","0.007","0.024","0.002","0.021","0.029","0.23","0.0169","0.199","0.265","1680000","N/A","140000"
"3 - Some coll/Assoc Dg","VA","0.007","0.0004","0.006","0.007","0.024","0.0015","0.021","0.027","0.253","0.013","0.228","0.279","1842000","N/A","119000"
"4 - College graduate","VA","0.009","0.0007","0.008","0.011","0.03","0.0022","0.026","0.035","0.355","0.0191","0.318","0.393","2588000","N/A","193000"
"5 - 12 to 17 year olds","VA","0.002","0.0002","0.002","0.003","0.025","0.002","0.022","0.03","0.09","0.0051","0.081","0.101","657000","N/A","53000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","570000","N/A","38000"
"1 - Less high school","VT","0","0","0","0","0.001","0.0002","0.001","0.002","0.053","0.0088","0.038","0.073","30000","N/A","6000"
"2 - High school grad","VT","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.251","0.0192","0.215","0.29","143000","N/A","16000"
"3 - Some coll/Assoc Dg","VT","0","0.0001","0","0.001","0.002","0.0002","0.001","0.002","0.246","0.0168","0.214","0.28","140000","N/A","14000"
"4 - College graduate","VT","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.377","0.019","0.34","0.415","215000","N/A","14000"
"5 - 12 to 17 year olds","VT","0","0","0","0","0.002","0.0001","0.001","0.002","0.074","0.0058","0.064","0.087","42000","N/A","4000"
"Overall","WA","0.023","0.0012","0.021","0.026","0.023","0.0012","0.021","0.026","1","0","N/A","N/A","6628000","N/A","334000"
"1 - Less high school","WA","0.002","0.0002","0.001","0.002","0.018","0.0026","0.013","0.024","0.066","0.0088","0.05","0.085","435000","N/A","63000"
"2 - High school grad","WA","0.005","0.0005","0.004","0.006","0.02","0.002","0.017","0.024","0.211","0.0188","0.177","0.251","1401000","N/A","137000"
"3 - Some coll/Assoc Dg","WA","0.007","0.0005","0.006","0.008","0.025","0.0018","0.022","0.029","0.297","0.0148","0.269","0.327","1972000","N/A","143000"
"4 - College graduate","WA","0.008","0.0007","0.007","0.009","0.026","0.0023","0.022","0.031","0.339","0.022","0.297","0.383","2244000","N/A","197000"
"5 - 12 to 17 year olds","WA","0.002","0.0002","0.002","0.002","0.022","0.0018","0.019","0.026","0.087","0.0071","0.074","0.102","575000","N/A","46000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5052000","N/A","297000"
"1 - Less high school","WI","0.001","0.0001","0.001","0.001","0.012","0.0016","0.009","0.015","0.057","0.0065","0.046","0.072","289000","N/A","38000"
"2 - High school grad","WI","0.005","0.0005","0.004","0.006","0.02","0.002","0.017","0.025","0.277","0.021","0.238","0.32","1400000","N/A","140000"
"3 - Some coll/Assoc Dg","WI","0.005","0.0005","0.004","0.006","0.019","0.0018","0.016","0.023","0.295","0.0171","0.262","0.329","1489000","N/A","142000"
"4 - College graduate","WI","0.005","0.0004","0.004","0.006","0.017","0.0013","0.014","0.019","0.281","0.0217","0.24","0.325","1420000","N/A","114000"
"5 - 12 to 17 year olds","WI","0.002","0.0001","0.001","0.002","0.018","0.0015","0.015","0.021","0.09","0.0064","0.078","0.103","454000","N/A","38000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1518000","N/A","122000"
"1 - Less high school","WV","0.001","0.0001","0","0.001","0.006","0.001","0.004","0.009","0.1","0.0152","0.074","0.134","151000","N/A","25000"
"2 - High school grad","WV","0.002","0.0002","0.002","0.002","0.008","0.0008","0.006","0.01","0.358","0.0277","0.305","0.414","543000","N/A","55000"
"3 - Some coll/Assoc Dg","WV","0.001","0.0002","0.001","0.002","0.005","0.0006","0.004","0.006","0.252","0.0188","0.216","0.29","382000","N/A","48000"
"4 - College graduate","WV","0.001","0.0002","0.001","0.001","0.004","0.0005","0.003","0.005","0.207","0.0233","0.165","0.257","315000","N/A","45000"
"5 - 12 to 17 year olds","WV","0","0","0","0.001","0.005","0.0005","0.004","0.006","0.084","0.0071","0.071","0.099","127000","N/A","14000"
"Overall","WY","0.002","0.0001","0.001","0.002","0.002","0.0001","0.001","0.002","1","0","N/A","N/A","492000","N/A","38000"
"1 - Less high school","WY","0","0","0","0","0.001","0.0002","0.001","0.002","0.061","0.0102","0.044","0.084","30000","N/A","6000"
"2 - High school grad","WY","0","0.0001","0","0.001","0.002","0.0002","0.001","0.002","0.25","0.0231","0.207","0.298","123000","N/A","14000"
"3 - Some coll/Assoc Dg","WY","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.346","0.0225","0.303","0.391","170000","N/A","18000"
"4 - College graduate","WY","0","0","0","0.001","0.001","0.0002","0.001","0.002","0.246","0.0214","0.207","0.291","121000","N/A","14000"
"5 - 12 to 17 year olds","WY","0","0","0","0","0.002","0.0002","0.002","0.002","0.097","0.0096","0.08","0.118","48000","N/A","5000"
