"COVERED BY MEDICAID/CHIP","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"94 - DON T KNOW","WI","0","0","0","0","0.03","0.0115","0.014","0.063","0.007","0.0027","0.003","0.015","35000","N/A","14000"
"97 - REFUSED","WI","0","0","0","0","0.004","0.0037","0.001","0.022","0","0.0002","0","0.001","1000","N/A","1000"
"98 - BLANK","WI","0","0.0001","0","0.001","0.014","0.004","0.008","0.024","0.019","0.0055","0.01","0.033","95000","N/A","27000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1516000","N/A","121000"
"1 - Yes","WV","0.001","0.0002","0.001","0.002","0.007","0.0008","0.006","0.009","0.279","0.0247","0.233","0.329","422000","N/A","45000"
"2 - No","WV","0.004","0.0003","0.003","0.004","0.005","0.0005","0.004","0.006","0.693","0.024","0.644","0.738","1051000","N/A","100000"
"85 - BAD DATA Logically assigned","WV","0","0","0","0","0.001","0.0007","0","0.005","0","0.0002","0","0.001","0","N/A","0"
"94 - DON T KNOW","WV","0","0","0","0","0.004","0.0017","0.001","0.009","0.003","0.0012","0.001","0.007","4000","N/A","2000"
"97 - REFUSED","WV","0","0","0","0","0.009","0.008","0.002","0.05","0.002","0.0014","0","0.009","2000","N/A","2000"
"98 - BLANK","WV","0","0","0","0","0.005","0.0014","0.003","0.009","0.024","0.0061","0.014","0.039","36000","N/A","9000"
"Overall","WY","0.002","0.0002","0.001","0.002","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","496000","N/A","43000"
"1 - Yes","WY","0","0","0","0","0.001","0.0002","0.001","0.001","0.113","0.018","0.082","0.153","56000","N/A","10000"
"2 - No","WY","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.002","0.839","0.0232","0.788","0.88","416000","N/A","40000"
"85 - BAD DATA Logically assigned","WY","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","WY","0","0","0","0","0.003","0.0026","0.001","0.016","0.007","0.0063","0.001","0.04","3000","N/A","3000"
"97 - REFUSED","WY","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","WY","0","0","0","0","0.003","0.0007","0.002","0.005","0.041","0.01","0.026","0.066","21000","N/A","5000"
