"RC-EDUCATION CATEGORIES","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"5 - 12 to 17 year olds","NE","0.001","0.0001","0","0.001","0.006","0.0007","0.005","0.008","0.102","0.008","0.087","0.119","168000","N/A","17000"
"Overall","NH","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1232000","N/A","111000"
"1 - Less high school","NH","0","0.0001","0","0","0.003","0.0008","0.002","0.005","0.055","0.0142","0.033","0.09","68000","N/A","19000"
"2 - High school grad","NH","0.001","0.0001","0.001","0.001","0.005","0.0006","0.004","0.006","0.258","0.0218","0.218","0.303","318000","N/A","39000"
"3 - Some coll/Assoc Dg","NH","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.262","0.0165","0.23","0.295","322000","N/A","33000"
"4 - College graduate","NH","0.002","0.0002","0.001","0.002","0.005","0.0005","0.004","0.006","0.35","0.0204","0.311","0.391","432000","N/A","47000"
"5 - 12 to 17 year olds","NH","0","0","0","0","0.004","0.0005","0.003","0.005","0.075","0.0097","0.058","0.096","92000","N/A","14000"
"Overall","NJ","0.028","0.0016","0.025","0.031","0.028","0.0016","0.025","0.031","1","0","N/A","N/A","8000000","N/A","473000"
"1 - Less high school","NJ","0.002","0.0003","0.002","0.003","0.024","0.0037","0.018","0.032","0.073","0.0104","0.055","0.096","582000","N/A","90000"
"2 - High school grad","NJ","0.007","0.0006","0.005","0.008","0.027","0.0026","0.022","0.033","0.237","0.018","0.203","0.274","1892000","N/A","186000"
"3 - Some coll/Assoc Dg","NJ","0.006","0.0005","0.005","0.007","0.022","0.0018","0.019","0.026","0.218","0.0115","0.196","0.241","1743000","N/A","138000"
"4 - College graduate","NJ","0.011","0.0008","0.009","0.013","0.035","0.0027","0.03","0.04","0.383","0.0204","0.344","0.424","3066000","N/A","243000"
"5 - 12 to 17 year olds","NJ","0.003","0.0002","0.002","0.003","0.028","0.0024","0.023","0.033","0.09","0.0061","0.078","0.102","716000","N/A","63000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1806000","N/A","114000"
"1 - Less high school","NM","0.001","0.0001","0","0.001","0.007","0.0009","0.006","0.009","0.097","0.0102","0.078","0.119","174000","N/A","22000"
"2 - High school grad","NM","0.002","0.0002","0.001","0.002","0.006","0.0006","0.005","0.008","0.244","0.0193","0.208","0.284","440000","N/A","45000"
"3 - Some coll/Assoc Dg","NM","0.002","0.0002","0.002","0.002","0.007","0.0006","0.006","0.008","0.292","0.0161","0.262","0.325","528000","N/A","45000"
"4 - College graduate","NM","0.002","0.0002","0.001","0.002","0.006","0.0006","0.005","0.007","0.275","0.0215","0.234","0.319","496000","N/A","50000"
"5 - 12 to 17 year olds","NM","0.001","0.0001","0","0.001","0.006","0.0007","0.005","0.008","0.093","0.0094","0.076","0.113","168000","N/A","18000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2754000","N/A","188000"
"1 - Less high school","NV","0.001","0.0001","0.001","0.001","0.011","0.0016","0.008","0.015","0.098","0.0116","0.077","0.123","269000","N/A","39000"
"2 - High school grad","NV","0.003","0.0003","0.002","0.003","0.01","0.0011","0.008","0.013","0.26","0.0174","0.228","0.296","717000","N/A","79000"
"3 - Some coll/Assoc Dg","NV","0.003","0.0002","0.003","0.004","0.011","0.0009","0.009","0.013","0.311","0.0175","0.278","0.346","857000","N/A","71000"
"4 - College graduate","NV","0.002","0.0002","0.002","0.003","0.008","0.0007","0.006","0.009","0.241","0.0199","0.205","0.282","665000","N/A","64000"
"5 - 12 to 17 year olds","NV","0.001","0.0001","0.001","0.001","0.009","0.0011","0.008","0.012","0.089","0.0085","0.074","0.108","246000","N/A","27000"
"Overall","NY","0.059","0.0023","0.055","0.064","0.059","0.0023","0.055","0.064","1","0","N/A","N/A","16932000","N/A","685000"
"1 - Less high school","NY","0.006","0.0005","0.005","0.007","0.066","0.0059","0.055","0.078","0.094","0.0083","0.079","0.111","1590000","N/A","148000"
"2 - High school grad","NY","0.014","0.0009","0.012","0.015","0.055","0.0037","0.048","0.063","0.228","0.0118","0.206","0.252","3863000","N/A","263000"
"3 - Some coll/Assoc Dg","NY","0.014","0.0008","0.013","0.016","0.052","0.0031","0.046","0.058","0.238","0.0101","0.218","0.258","4023000","N/A","243000"
"4 - College graduate","NY","0.021","0.0013","0.019","0.024","0.069","0.0041","0.061","0.077","0.359","0.0172","0.326","0.393","6080000","N/A","375000"
"5 - 12 to 17 year olds","NY","0.005","0.0003","0.004","0.005","0.053","0.0035","0.047","0.06","0.081","0.0044","0.073","0.09","1376000","N/A","93000"
"Overall","OH","0.035","0.0014","0.032","0.038","0.035","0.0014","0.032","0.038","1","0","N/A","N/A","10008000","N/A","410000"
"1 - Less high school","OH","0.003","0.0003","0.002","0.003","0.031","0.0034","0.025","0.038","0.074","0.0079","0.06","0.091","744000","N/A","86000"
"2 - High school grad","OH","0.01","0.0006","0.009","0.012","0.043","0.0025","0.038","0.048","0.299","0.0131","0.274","0.325","2989000","N/A","179000"
"3 - Some coll/Assoc Dg","OH","0.009","0.0006","0.008","0.01","0.034","0.0022","0.03","0.039","0.264","0.0116","0.242","0.287","2641000","N/A","170000"
"4 - College graduate","OH","0.01","0.0006","0.008","0.011","0.031","0.002","0.027","0.035","0.272","0.0145","0.245","0.302","2726000","N/A","175000"
"5 - 12 to 17 year olds","OH","0.003","0.0002","0.003","0.004","0.035","0.0023","0.031","0.04","0.091","0.0051","0.081","0.102","910000","N/A","59000"
"Overall","OK","0.012","0.0009","0.01","0.014","0.012","0.0009","0.01","0.014","1","0","N/A","N/A","3368000","N/A","254000"
"1 - Less high school","OK","0.001","0.0002","0.001","0.001","0.013","0.0019","0.01","0.017","0.094","0.013","0.071","0.123","316000","N/A","45000"
"2 - High school grad","OK","0.003","0.0004","0.003","0.004","0.014","0.0014","0.011","0.017","0.284","0.0155","0.254","0.315","956000","N/A","101000"
"3 - Some coll/Assoc Dg","OK","0.003","0.0003","0.003","0.004","0.012","0.0012","0.01","0.015","0.284","0.0174","0.251","0.319","955000","N/A","95000"
"4 - College graduate","OK","0.003","0.0003","0.002","0.003","0.009","0.001","0.007","0.011","0.237","0.021","0.199","0.281","800000","N/A","85000"
"5 - 12 to 17 year olds","OK","0.001","0.0001","0.001","0.001","0.013","0.0014","0.011","0.016","0.101","0.007","0.088","0.116","341000","N/A","37000"
"Overall","OR","0.013","0.0007","0.012","0.014","0.013","0.0007","0.012","0.014","1","0","N/A","N/A","3686000","N/A","187000"
"1 - Less high school","OR","0.001","0.0001","0.001","0.001","0.01","0.0016","0.007","0.014","0.066","0.0097","0.049","0.088","244000","N/A","38000"
"2 - High school grad","OR","0.003","0.0003","0.002","0.003","0.012","0.0011","0.009","0.014","0.218","0.02","0.181","0.26","804000","N/A","79000"
"3 - Some coll/Assoc Dg","OR","0.004","0.0004","0.003","0.005","0.015","0.0013","0.012","0.018","0.309","0.0204","0.27","0.35","1138000","N/A","104000"
"4 - College graduate","OR","0.004","0.0004","0.003","0.005","0.014","0.0013","0.011","0.016","0.325","0.0264","0.275","0.379","1198000","N/A","113000"
"5 - 12 to 17 year olds","OR","0.001","0.0001","0.001","0.001","0.012","0.0011","0.01","0.014","0.082","0.007","0.069","0.097","303000","N/A","29000"
"Overall","PA","0.039","0.0021","0.035","0.043","0.039","0.0021","0.035","0.043","1","0","N/A","N/A","11153000","N/A","600000"
"1 - Less high school","PA","0.003","0.0003","0.002","0.003","0.033","0.0037","0.026","0.041","0.071","0.0074","0.058","0.087","790000","N/A","92000"
"2 - High school grad","PA","0.012","0.0008","0.01","0.014","0.049","0.0033","0.042","0.056","0.305","0.0146","0.277","0.334","3398000","N/A","237000"
"3 - Some coll/Assoc Dg","PA","0.009","0.0007","0.008","0.011","0.034","0.0026","0.029","0.04","0.238","0.0125","0.214","0.263","2650000","N/A","206000"
"4 - College graduate","PA","0.012","0.0009","0.01","0.014","0.038","0.0028","0.033","0.044","0.303","0.0152","0.274","0.334","3378000","N/A","254000"
"5 - 12 to 17 year olds","PA","0.003","0.0002","0.003","0.004","0.036","0.0025","0.032","0.041","0.084","0.004","0.076","0.092","937000","N/A","65000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","957000","N/A","83000"
"1 - Less high school","RI","0","0.0001","0","0","0.003","0.0007","0.002","0.005","0.081","0.0156","0.055","0.117","77000","N/A","17000"
"2 - High school grad","RI","0.001","0.0001","0.001","0.001","0.003","0.0004","0.003","0.004","0.243","0.0194","0.207","0.283","233000","N/A","27000"
"3 - Some coll/Assoc Dg","RI","0.001","0.0001","0.001","0.001","0.003","0.0004","0.002","0.004","0.254","0.0213","0.215","0.298","243000","N/A","30000"
"4 - College graduate","RI","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.346","0.0268","0.296","0.401","332000","N/A","38000"
"5 - 12 to 17 year olds","RI","0","0","0","0","0.003","0.0004","0.002","0.004","0.076","0.0078","0.062","0.092","72000","N/A","10000"
"Overall","SC","0.016","0.001","0.014","0.018","0.016","0.001","0.014","0.018","1","0","N/A","N/A","4599000","N/A","292000"
"1 - Less high school","SC","0.001","0.0002","0.001","0.002","0.017","0.0029","0.012","0.023","0.088","0.015","0.062","0.122","403000","N/A","70000"
"2 - High school grad","SC","0.004","0.0004","0.004","0.005","0.017","0.0015","0.015","0.021","0.263","0.0208","0.224","0.305","1208000","N/A","109000"
"3 - Some coll/Assoc Dg","SC","0.005","0.0005","0.004","0.006","0.017","0.0017","0.014","0.02","0.284","0.02","0.246","0.324","1304000","N/A","132000"
"4 - College graduate","SC","0.004","0.0006","0.003","0.006","0.014","0.0019","0.011","0.019","0.277","0.0287","0.224","0.337","1273000","N/A","168000"
"5 - 12 to 17 year olds","SC","0.001","0.0001","0.001","0.002","0.016","0.0016","0.013","0.019","0.089","0.0083","0.074","0.107","411000","N/A","41000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","759000","N/A","57000"
"1 - Less high school","SD","0","0","0","0","0.002","0.0003","0.002","0.003","0.065","0.0093","0.048","0.085","49000","N/A","7000"
"2 - High school grad","SD","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.004","0.262","0.0206","0.224","0.305","199000","N/A","23000"
"3 - Some coll/Assoc Dg","SD","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.004","0.298","0.0194","0.261","0.337","226000","N/A","24000"
"4 - College graduate","SD","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.275","0.0178","0.242","0.312","209000","N/A","20000"
"5 - 12 to 17 year olds","SD","0","0","0","0","0.003","0.0003","0.002","0.004","0.1","0.0088","0.084","0.119","76000","N/A","8000"
"Overall","TN","0.021","0.0011","0.019","0.023","0.021","0.0011","0.019","0.023","1","0","N/A","N/A","6059000","N/A","317000"
"1 - Less high school","TN","0.002","0.0003","0.001","0.002","0.021","0.0033","0.015","0.029","0.084","0.0124","0.063","0.112","509000","N/A","82000"
"2 - High school grad","TN","0.006","0.0005","0.005","0.007","0.025","0.002","0.021","0.029","0.289","0.0158","0.259","0.322","1754000","N/A","142000"
"3 - Some coll/Assoc Dg","TN","0.006","0.0004","0.005","0.007","0.021","0.0016","0.018","0.024","0.265","0.0177","0.232","0.301","1605000","N/A","124000"
"4 - College graduate","TN","0.006","0.0006","0.005","0.007","0.019","0.0019","0.015","0.023","0.271","0.0235","0.227","0.319","1640000","N/A","173000"
"5 - 12 to 17 year olds","TN","0.002","0.0001","0.002","0.002","0.021","0.0014","0.019","0.024","0.091","0.0063","0.079","0.104","551000","N/A","38000"
"Overall","TX","0.089","0.0031","0.083","0.095","0.089","0.0031","0.083","0.095","1","0","N/A","N/A","25487000","N/A","939000"
"1 - Less high school","TX","0.009","0.0008","0.008","0.011","0.11","0.0082","0.095","0.127","0.105","0.0073","0.091","0.12","2671000","N/A","218000"
"2 - High school grad","TX","0.021","0.0011","0.019","0.023","0.085","0.0045","0.077","0.094","0.233","0.0099","0.214","0.253","5944000","N/A","329000"
"3 - Some coll/Assoc Dg","TX","0.024","0.0013","0.022","0.027","0.09","0.0047","0.081","0.099","0.272","0.0092","0.255","0.291","6944000","N/A","388000"
"4 - College graduate","TX","0.025","0.0012","0.023","0.028","0.082","0.004","0.075","0.09","0.285","0.012","0.262","0.309","7254000","N/A","355000"
"5 - 12 to 17 year olds","TX","0.009","0.0005","0.008","0.01","0.103","0.0056","0.093","0.115","0.105","0.0047","0.096","0.115","2673000","N/A","156000"
"Overall","UT","0.01","0.0006","0.009","0.011","0.01","0.0006","0.009","0.011","1","0","N/A","N/A","2844000","N/A","170000"
"1 - Less high school","UT","0.001","0.0001","0","0.001","0.007","0.001","0.006","0.01","0.062","0.0084","0.047","0.081","176000","N/A","24000"
"2 - High school grad","UT","0.002","0.0002","0.002","0.003","0.009","0.0009","0.007","0.01","0.211","0.0164","0.181","0.245","601000","N/A","60000"
"3 - Some coll/Assoc Dg","UT","0.003","0.0002","0.003","0.004","0.011","0.0009","0.01","0.013","0.308","0.0168","0.276","0.342","876000","N/A","68000"
"4 - College graduate","UT","0.003","0.0003","0.002","0.004","0.01","0.0009","0.008","0.012","0.299","0.0191","0.263","0.338","851000","N/A","77000"
"5 - 12 to 17 year olds","UT","0.001","0.0001","0.001","0.001","0.013","0.0013","0.011","0.016","0.119","0.008","0.104","0.136","339000","N/A","33000"
"Overall","VA","0.026","0.0017","0.023","0.029","0.026","0.0017","0.023","0.029","1","0","N/A","N/A","7346000","N/A","500000"
"1 - Less high school","VA","0.002","0.0003","0.001","0.002","0.022","0.0032","0.016","0.029","0.072","0.0093","0.056","0.093","532000","N/A","79000"
"2 - High school grad","VA","0.006","0.0006","0.005","0.007","0.024","0.0023","0.02","0.029","0.231","0.0173","0.199","0.267","1696000","N/A","165000"
"3 - Some coll/Assoc Dg","VA","0.006","0.0005","0.005","0.007","0.023","0.002","0.02","0.028","0.247","0.0143","0.22","0.276","1814000","N/A","155000"
"4 - College graduate","VA","0.009","0.0009","0.008","0.011","0.03","0.0027","0.025","0.036","0.36","0.0225","0.317","0.405","2644000","N/A","245000"
"5 - 12 to 17 year olds","VA","0.002","0.0003","0.002","0.003","0.025","0.0027","0.021","0.031","0.09","0.0059","0.079","0.102","661000","N/A","72000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","571000","N/A","36000"
"1 - Less high school","VT","0","0","0","0","0.001","0.0002","0.001","0.002","0.046","0.0087","0.032","0.067","26000","N/A","6000"
"2 - High school grad","VT","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.265","0.0206","0.226","0.307","151000","N/A","16000"
"3 - Some coll/Assoc Dg","VT","0","0.0001","0","0.001","0.002","0.0002","0.001","0.002","0.246","0.0204","0.209","0.289","141000","N/A","16000"
"4 - College graduate","VT","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.369","0.0193","0.332","0.407","211000","N/A","14000"
"5 - 12 to 17 year olds","VT","0","0","0","0","0.002","0.0002","0.001","0.002","0.074","0.0058","0.063","0.086","42000","N/A","4000"
"Overall","WA","0.023","0.0015","0.021","0.027","0.023","0.0015","0.021","0.027","1","0","N/A","N/A","6713000","N/A","450000"
"1 - Less high school","WA","0.002","0.0002","0.001","0.002","0.018","0.0025","0.014","0.024","0.067","0.0096","0.05","0.088","447000","N/A","62000"
"2 - High school grad","WA","0.005","0.0006","0.004","0.006","0.02","0.0023","0.016","0.025","0.211","0.019","0.176","0.25","1413000","N/A","161000"
"3 - Some coll/Assoc Dg","WA","0.007","0.0005","0.006","0.008","0.025","0.002","0.021","0.029","0.29","0.0155","0.26","0.321","1944000","N/A","156000"
"4 - College graduate","WA","0.008","0.0008","0.007","0.01","0.026","0.0027","0.022","0.032","0.347","0.0222","0.305","0.392","2329000","N/A","243000"
"5 - 12 to 17 year olds","WA","0.002","0.0002","0.002","0.002","0.022","0.0018","0.019","0.026","0.086","0.006","0.075","0.099","579000","N/A","47000"
"Overall","WI","0.018","0.0012","0.016","0.02","0.018","0.0012","0.016","0.02","1","0","N/A","N/A","5086000","N/A","344000"
"1 - Less high school","WI","0.001","0.0002","0.001","0.001","0.012","0.0019","0.009","0.016","0.056","0.0088","0.041","0.077","287000","N/A","46000"
"2 - High school grad","WI","0.005","0.0005","0.004","0.006","0.02","0.0019","0.016","0.024","0.272","0.02","0.235","0.313","1384000","N/A","132000"
"3 - Some coll/Assoc Dg","WI","0.005","0.0005","0.004","0.006","0.019","0.0018","0.016","0.023","0.295","0.0203","0.257","0.336","1500000","N/A","143000"
"4 - College graduate","WI","0.005","0.0006","0.004","0.007","0.017","0.002","0.013","0.021","0.287","0.0266","0.238","0.342","1462000","N/A","181000"
"5 - 12 to 17 year olds","WI","0.002","0.0001","0.001","0.002","0.017","0.0016","0.015","0.021","0.089","0.0066","0.077","0.103","453000","N/A","43000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1516000","N/A","121000"
"1 - Less high school","WV","0.001","0.0001","0","0.001","0.006","0.0009","0.005","0.008","0.099","0.0123","0.077","0.126","150000","N/A","22000"
"2 - High school grad","WV","0.002","0.0002","0.002","0.002","0.008","0.0009","0.006","0.01","0.357","0.0232","0.313","0.404","542000","N/A","63000"
"3 - Some coll/Assoc Dg","WV","0.001","0.0001","0.001","0.002","0.005","0.0005","0.004","0.006","0.249","0.0172","0.217","0.284","378000","N/A","38000"
"4 - College graduate","WV","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.211","0.0213","0.172","0.255","319000","N/A","38000"
"5 - 12 to 17 year olds","WV","0","0","0","0.001","0.005","0.0005","0.004","0.006","0.084","0.0072","0.071","0.099","127000","N/A","13000"
"Overall","WY","0.002","0.0002","0.001","0.002","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","496000","N/A","43000"
"1 - Less high school","WY","0","0","0","0","0.001","0.0002","0.001","0.002","0.066","0.0089","0.05","0.086","33000","N/A","6000"
"2 - High school grad","WY","0","0","0","0.001","0.002","0.0002","0.002","0.002","0.259","0.0178","0.226","0.296","129000","N/A","13000"
"3 - Some coll/Assoc Dg","WY","0.001","0.0001","0","0.001","0.002","0.0002","0.002","0.003","0.326","0.0225","0.284","0.372","162000","N/A","16000"
"4 - College graduate","WY","0","0.0001","0","0.001","0.001","0.0002","0.001","0.002","0.252","0.0218","0.212","0.297","125000","N/A","16000"
"5 - 12 to 17 year olds","WY","0","0","0","0","0.002","0.0003","0.001","0.002","0.096","0.0104","0.078","0.119","48000","N/A","7000"
