"RC-RACE RECODE (4 LEVELS)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - Black, Not Hispanic","OH","0.004","0.0005","0.003","0.005","0.035","0.0044","0.028","0.045","0.122","0.014","0.097","0.152","1209000","N/A","151000"
"3 - Other or Multiple, Not Hispanic","OH","0.002","0.0002","0.001","0.002","0.019","0.0023","0.015","0.024","0.048","0.005","0.039","0.058","474000","N/A","56000"
"4 - Hispanic","OH","0.001","0.0002","0.001","0.002","0.008","0.0012","0.006","0.01","0.039","0.0055","0.03","0.052","392000","N/A","57000"
"Overall","OK","0.012","0.0008","0.01","0.014","0.012","0.0008","0.01","0.014","1","0","N/A","N/A","3304000","N/A","234000"
"1 - White, Not Hispanic","OK","0.008","0.0006","0.007","0.009","0.013","0.001","0.011","0.015","0.663","0.0238","0.614","0.707","2189000","N/A","176000"
"2 - Black, Not Hispanic","OK","0.001","0.0002","0.001","0.001","0.007","0.0014","0.004","0.01","0.071","0.0149","0.046","0.106","233000","N/A","49000"
"3 - Other or Multiple, Not Hispanic","OK","0.002","0.0002","0.002","0.002","0.021","0.0025","0.017","0.027","0.161","0.0136","0.136","0.19","533000","N/A","63000"
"4 - Hispanic","OK","0.001","0.0002","0.001","0.002","0.007","0.0012","0.005","0.01","0.105","0.0168","0.077","0.143","348000","N/A","60000"
"Overall","OR","0.013","0.0008","0.012","0.015","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","3664000","N/A","216000"
"1 - White, Not Hispanic","OR","0.01","0.0007","0.009","0.011","0.016","0.0011","0.014","0.018","0.757","0.0192","0.717","0.792","2773000","N/A","184000"
"2 - Black, Not Hispanic","OR","0","0.0001","0","0","0.002","0.0005","0.001","0.003","0.019","0.0049","0.012","0.032","70000","N/A","17000"
"3 - Other or Multiple, Not Hispanic","OR","0.001","0.0002","0.001","0.002","0.014","0.0021","0.01","0.018","0.095","0.0129","0.073","0.124","349000","N/A","52000"
"4 - Hispanic","OR","0.002","0.0002","0.001","0.002","0.009","0.0013","0.007","0.012","0.129","0.0164","0.1","0.165","472000","N/A","65000"
"Overall","PA","0.039","0.002","0.036","0.044","0.039","0.002","0.036","0.044","1","0","N/A","N/A","11085000","N/A","589000"
"1 - White, Not Hispanic","PA","0.03","0.0018","0.027","0.034","0.05","0.003","0.044","0.056","0.766","0.0182","0.728","0.799","8487000","N/A","523000"
"2 - Black, Not Hispanic","PA","0.004","0.0005","0.003","0.005","0.033","0.0039","0.026","0.042","0.103","0.0119","0.082","0.129","1141000","N/A","136000"
"3 - Other or Multiple, Not Hispanic","PA","0.002","0.0004","0.002","0.003","0.024","0.0044","0.017","0.035","0.056","0.0099","0.039","0.079","618000","N/A","111000"
"4 - Hispanic","PA","0.003","0.0004","0.002","0.004","0.017","0.0024","0.013","0.022","0.076","0.01","0.058","0.098","839000","N/A","119000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","947000","N/A","77000"
"1 - White, Not Hispanic","RI","0.002","0.0003","0.002","0.003","0.004","0.0004","0.003","0.005","0.725","0.0271","0.668","0.775","687000","N/A","71000"
"2 - Black, Not Hispanic","RI","0","0","0","0","0.002","0.0003","0.001","0.002","0.06","0.0103","0.043","0.084","57000","N/A","10000"
"3 - Other or Multiple, Not Hispanic","RI","0","0","0","0","0.002","0.0005","0.001","0.004","0.058","0.0152","0.035","0.097","55000","N/A","14000"
"4 - Hispanic","RI","0.001","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.156","0.02","0.121","0.2","148000","N/A","19000"
"Overall","SC","0.016","0.0013","0.013","0.019","0.016","0.0013","0.013","0.019","1","0","N/A","N/A","4434000","N/A","364000"
"1 - White, Not Hispanic","SC","0.01","0.0009","0.009","0.012","0.017","0.0015","0.014","0.02","0.652","0.0308","0.589","0.71","2892000","N/A","261000"
"2 - Black, Not Hispanic","SC","0.004","0.0006","0.003","0.005","0.033","0.0052","0.024","0.044","0.252","0.033","0.193","0.322","1119000","N/A","181000"
"3 - Other or Multiple, Not Hispanic","SC","0.001","0.0001","0","0.001","0.007","0.0015","0.004","0.011","0.038","0.0082","0.025","0.058","170000","N/A","39000"
"4 - Hispanic","SC","0.001","0.0002","0.001","0.001","0.005","0.001","0.003","0.008","0.057","0.011","0.039","0.083","254000","N/A","52000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","741000","N/A","51000"
"1 - White, Not Hispanic","SD","0.002","0.0001","0.002","0.002","0.004","0.0002","0.003","0.004","0.833","0.0238","0.781","0.875","617000","N/A","39000"
"2 - Black, Not Hispanic","SD","0","0","0","0","0","0.0001","0","0.001","0.019","0.0053","0.011","0.032","14000","N/A","4000"
"3 - Other or Multiple, Not Hispanic","SD","0","0.0001","0","0","0.003","0.0008","0.002","0.005","0.109","0.0244","0.069","0.167","81000","N/A","21000"
"4 - Hispanic","SD","0","0","0","0","0.001","0.0002","0","0.001","0.039","0.0115","0.022","0.069","29000","N/A","9000"
"Overall","TN","0.021","0.0014","0.019","0.024","0.021","0.0014","0.019","0.024","1","0","N/A","N/A","5919000","N/A","383000"
"1 - White, Not Hispanic","TN","0.016","0.0012","0.014","0.018","0.026","0.002","0.022","0.03","0.748","0.0209","0.705","0.787","4426000","N/A","334000"
"2 - Black, Not Hispanic","TN","0.003","0.0004","0.003","0.004","0.027","0.0035","0.021","0.035","0.158","0.0198","0.123","0.201","937000","N/A","121000"
"3 - Other or Multiple, Not Hispanic","TN","0.001","0.0001","0.001","0.001","0.009","0.0014","0.007","0.013","0.04","0.0059","0.03","0.053","236000","N/A","35000"
"4 - Hispanic","TN","0.001","0.0002","0.001","0.002","0.006","0.0012","0.004","0.009","0.054","0.0088","0.039","0.074","320000","N/A","58000"
"Overall","TX","0.087","0.0037","0.08","0.095","0.087","0.0037","0.08","0.095","1","0","N/A","N/A","24492000","N/A","1109000"
"1 - White, Not Hispanic","TX","0.036","0.0022","0.032","0.041","0.06","0.0036","0.053","0.067","0.418","0.0181","0.383","0.454","10249000","N/A","635000"
"2 - Black, Not Hispanic","TX","0.011","0.0011","0.009","0.013","0.087","0.0087","0.071","0.105","0.121","0.0116","0.1","0.146","2969000","N/A","318000"
"3 - Other or Multiple, Not Hispanic","TX","0.006","0.0006","0.005","0.008","0.071","0.0066","0.059","0.085","0.073","0.0069","0.061","0.088","1796000","N/A","170000"
"4 - Hispanic","TX","0.034","0.0021","0.03","0.038","0.188","0.0106","0.168","0.21","0.387","0.0166","0.355","0.42","9479000","N/A","617000"
"Overall","UT","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2735000","N/A","209000"
"1 - White, Not Hispanic","UT","0.008","0.0006","0.007","0.009","0.013","0.0009","0.011","0.015","0.783","0.0169","0.748","0.814","2142000","N/A","161000"
"2 - Black, Not Hispanic","UT","0","0","0","0","0.001","0.0002","0.001","0.002","0.012","0.0026","0.008","0.018","33000","N/A","8000"
"3 - Other or Multiple, Not Hispanic","UT","0.001","0.0001","0","0.001","0.007","0.0012","0.005","0.01","0.065","0.0099","0.048","0.087","178000","N/A","29000"
"4 - Hispanic","UT","0.001","0.0002","0.001","0.002","0.008","0.0011","0.006","0.01","0.14","0.0157","0.112","0.174","382000","N/A","57000"
"Overall","VA","0.026","0.0014","0.023","0.029","0.026","0.0014","0.023","0.029","1","0","N/A","N/A","7254000","N/A","382000"
"1 - White, Not Hispanic","VA","0.016","0.001","0.014","0.018","0.026","0.0016","0.023","0.03","0.617","0.0181","0.581","0.652","4478000","N/A","279000"
"2 - Black, Not Hispanic","VA","0.005","0.0005","0.004","0.006","0.04","0.0041","0.032","0.049","0.187","0.0158","0.158","0.22","1359000","N/A","143000"
"3 - Other or Multiple, Not Hispanic","VA","0.003","0.0002","0.002","0.003","0.029","0.0024","0.024","0.034","0.1","0.0071","0.087","0.115","725000","N/A","59000"
"4 - Hispanic","VA","0.002","0.0002","0.002","0.003","0.014","0.0012","0.012","0.016","0.095","0.0083","0.08","0.113","692000","N/A","61000"
"Overall","VT","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","568000","N/A","45000"
"1 - White, Not Hispanic","VT","0.002","0.0002","0.002","0.002","0.003","0.0003","0.003","0.004","0.927","0.0104","0.904","0.945","527000","N/A","43000"
"2 - Black, Not Hispanic","VT","0","0","0","0","0","0.0001","0","0","0.014","0.0041","0.008","0.025","8000","N/A","2000"
"3 - Other or Multiple, Not Hispanic","VT","0","0","0","0","0.001","0.0002","0.001","0.001","0.037","0.0081","0.024","0.057","21000","N/A","5000"
"4 - Hispanic","VT","0","0","0","0","0","0.0001","0","0","0.021","0.0057","0.013","0.036","12000","N/A","3000"
"Overall","WA","0.023","0.0016","0.02","0.027","0.023","0.0016","0.02","0.027","1","0","N/A","N/A","6575000","N/A","455000"
"1 - White, Not Hispanic","WA","0.016","0.0014","0.013","0.019","0.026","0.0022","0.022","0.031","0.678","0.0266","0.624","0.728","4457000","N/A","388000"
"2 - Black, Not Hispanic","WA","0.001","0.0002","0.001","0.001","0.008","0.0016","0.005","0.011","0.04","0.0081","0.026","0.059","260000","N/A","54000"
"3 - Other or Multiple, Not Hispanic","WA","0.004","0.0005","0.003","0.005","0.041","0.0055","0.032","0.053","0.159","0.0207","0.122","0.204","1044000","N/A","139000"
"4 - Hispanic","WA","0.003","0.0004","0.002","0.004","0.016","0.0022","0.012","0.021","0.124","0.014","0.099","0.154","814000","N/A","107000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5031000","N/A","296000"
"1 - White, Not Hispanic","WI","0.015","0.0009","0.013","0.017","0.024","0.0015","0.021","0.027","0.822","0.0172","0.786","0.854","4138000","N/A","260000"
"2 - Black, Not Hispanic","WI","0.001","0.0002","0.001","0.001","0.008","0.0017","0.005","0.012","0.055","0.0111","0.037","0.082","278000","N/A","57000"
"3 - Other or Multiple, Not Hispanic","WI","0.001","0.0001","0.001","0.001","0.011","0.0014","0.009","0.014","0.055","0.0068","0.043","0.07","278000","N/A","36000"
"4 - Hispanic","WI","0.001","0.0002","0.001","0.002","0.007","0.0013","0.005","0.01","0.067","0.0121","0.047","0.095","338000","N/A","66000"
"Overall","WV","0.005","0.0005","0.005","0.006","0.005","0.0005","0.005","0.006","1","0","N/A","N/A","1525000","N/A","136000"
"1 - White, Not Hispanic","WV","0.005","0.0004","0.004","0.006","0.008","0.0007","0.007","0.01","0.922","0.0116","0.896","0.942","1406000","N/A","123000"
"2 - Black, Not Hispanic","WV","0","0","0","0","0.001","0.0004","0.001","0.002","0.033","0.0074","0.021","0.051","51000","N/A","12000"
"3 - Other or Multiple, Not Hispanic","WV","0","0","0","0","0.002","0.0004","0.001","0.003","0.027","0.0055","0.018","0.04","41000","N/A","10000"
"4 - Hispanic","WV","0","0","0","0","0.001","0.0002","0","0.001","0.018","0.0053","0.01","0.032","27000","N/A","9000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","488000","N/A","34000"
"1 - White, Not Hispanic","WY","0.001","0.0001","0.001","0.002","0.002","0.0002","0.002","0.003","0.848","0.0174","0.81","0.879","414000","N/A","32000"
"2 - Black, Not Hispanic","WY","0","0","0","0","0","0.0001","0","0","0.009","0.0045","0.003","0.024","4000","N/A","2000"
"3 - Other or Multiple, Not Hispanic","WY","0","0","0","0","0.001","0.0001","0.001","0.001","0.047","0.0084","0.033","0.067","23000","N/A","4000"
"4 - Hispanic","WY","0","0","0","0","0.001","0.0002","0.001","0.001","0.096","0.0144","0.071","0.128","47000","N/A","8000"
