"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"1 - 18-25 Years Old","NE","0.001","0.0001","0.001","0.001","0.006","0.0005","0.005","0.007","0.132","0.0105","0.113","0.154","215000","N/A","18000"
"2 - 26-34 Years Old","NE","0.001","0.0001","0.001","0.001","0.006","0.0005","0.005","0.007","0.137","0.0104","0.117","0.158","222000","N/A","19000"
"3 - 35-49 Years Old","NE","0.001","0.0001","0.001","0.002","0.006","0.0005","0.005","0.007","0.221","0.0133","0.196","0.249","360000","N/A","31000"
"4 - 50 or Older","NE","0.002","0.0002","0.002","0.003","0.006","0.0005","0.005","0.007","0.408","0.0198","0.369","0.447","663000","N/A","59000"
"5 - 12-17 Years Old","NE","0.001","0","0.001","0.001","0.006","0.0005","0.005","0.008","0.102","0.0072","0.089","0.117","166000","N/A","13000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1218000","N/A","82000"
"1 - 18-25 Years Old","NH","0","0","0","0.001","0.004","0.0004","0.003","0.005","0.113","0.0096","0.095","0.133","137000","N/A","13000"
"2 - 26-34 Years Old","NH","0.001","0.0001","0","0.001","0.004","0.0004","0.003","0.005","0.132","0.0132","0.108","0.16","160000","N/A","16000"
"3 - 35-49 Years Old","NH","0.001","0.0001","0.001","0.001","0.004","0.0005","0.003","0.005","0.203","0.0155","0.174","0.235","247000","N/A","29000"
"4 - 50 or Older","NH","0.002","0.0002","0.002","0.002","0.005","0.0004","0.004","0.006","0.475","0.0188","0.438","0.512","579000","N/A","46000"
"5 - 12-17 Years Old","NH","0","0","0","0","0.004","0.0004","0.003","0.004","0.077","0.0061","0.066","0.09","94000","N/A","10000"
"Overall","NJ","0.028","0.0021","0.024","0.033","0.028","0.0021","0.024","0.033","1","0","N/A","N/A","7881000","N/A","605000"
"1 - 18-25 Years Old","NJ","0.003","0.0003","0.003","0.004","0.026","0.0026","0.021","0.032","0.112","0.0088","0.096","0.131","886000","N/A","92000"
"2 - 26-34 Years Old","NJ","0.004","0.0004","0.003","0.005","0.026","0.0028","0.021","0.032","0.135","0.0108","0.115","0.157","1062000","N/A","113000"
"3 - 35-49 Years Old","NJ","0.006","0.0008","0.005","0.008","0.029","0.0035","0.022","0.036","0.226","0.0175","0.193","0.262","1778000","N/A","220000"
"4 - 50 or Older","NJ","0.012","0.0011","0.01","0.015","0.029","0.0025","0.025","0.034","0.437","0.0226","0.393","0.481","3441000","N/A","302000"
"5 - 12-17 Years Old","NJ","0.003","0.0003","0.002","0.003","0.028","0.0029","0.022","0.034","0.091","0.0074","0.077","0.106","714000","N/A","77000"
"Overall","NM","0.006","0.0005","0.006","0.007","0.006","0.0005","0.006","0.007","1","0","N/A","N/A","1786000","N/A","128000"
"1 - 18-25 Years Old","NM","0.001","0.0001","0.001","0.001","0.006","0.0007","0.005","0.008","0.123","0.0112","0.103","0.147","220000","N/A","25000"
"2 - 26-34 Years Old","NM","0.001","0.0001","0.001","0.001","0.006","0.0007","0.005","0.007","0.136","0.0126","0.113","0.163","242000","N/A","27000"
"3 - 35-49 Years Old","NM","0.001","0.0001","0.001","0.002","0.006","0.0005","0.005","0.007","0.211","0.0173","0.179","0.247","377000","N/A","32000"
"4 - 50 or Older","NM","0.003","0.0003","0.002","0.003","0.007","0.0007","0.005","0.008","0.434","0.0259","0.384","0.485","775000","N/A","86000"
"5 - 12-17 Years Old","NM","0.001","0.0001","0.001","0.001","0.007","0.0007","0.005","0.008","0.096","0.0087","0.08","0.115","172000","N/A","17000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2679000","N/A","210000"
"1 - 18-25 Years Old","NV","0.001","0.0001","0.001","0.001","0.009","0.001","0.007","0.011","0.109","0.0083","0.094","0.126","292000","N/A","34000"
"2 - 26-34 Years Old","NV","0.001","0.0002","0.001","0.002","0.01","0.0012","0.008","0.013","0.151","0.0136","0.126","0.18","405000","N/A","49000"
"3 - 35-49 Years Old","NV","0.002","0.0002","0.002","0.003","0.01","0.001","0.008","0.012","0.231","0.0152","0.203","0.262","619000","N/A","60000"
"4 - 50 or Older","NV","0.004","0.0004","0.003","0.005","0.009","0.001","0.008","0.012","0.417","0.0252","0.368","0.467","1117000","N/A","115000"
"5 - 12-17 Years Old","NV","0.001","0.0001","0.001","0.001","0.01","0.001","0.008","0.012","0.092","0.0081","0.077","0.109","246000","N/A","25000"
"Overall","NY","0.06","0.0031","0.054","0.066","0.06","0.0031","0.054","0.066","1","0","N/A","N/A","16897000","N/A","892000"
"1 - 18-25 Years Old","NY","0.007","0.0005","0.006","0.008","0.059","0.004","0.051","0.067","0.119","0.006","0.108","0.131","2008000","N/A","143000"
"2 - 26-34 Years Old","NY","0.009","0.0007","0.008","0.01","0.062","0.0046","0.054","0.072","0.148","0.0082","0.132","0.165","2496000","N/A","190000"
"3 - 35-49 Years Old","NY","0.013","0.0009","0.011","0.015","0.059","0.0041","0.051","0.067","0.217","0.0095","0.199","0.236","3660000","N/A","266000"
"4 - 50 or Older","NY","0.026","0.0016","0.023","0.029","0.062","0.0037","0.055","0.07","0.435","0.0159","0.404","0.466","7342000","N/A","458000"
"5 - 12-17 Years Old","NY","0.005","0.0004","0.004","0.006","0.054","0.0043","0.046","0.063","0.082","0.0051","0.073","0.093","1390000","N/A","115000"
"Overall","OH","0.035","0.0016","0.032","0.039","0.035","0.0016","0.032","0.039","1","0","N/A","N/A","9941000","N/A","457000"
"1 - 18-25 Years Old","OH","0.004","0.0005","0.003","0.005","0.035","0.0038","0.028","0.043","0.12","0.0115","0.099","0.144","1191000","N/A","131000"
"2 - 26-34 Years Old","OH","0.005","0.0003","0.004","0.006","0.034","0.0023","0.03","0.039","0.139","0.0075","0.125","0.154","1379000","N/A","94000"
"3 - 35-49 Years Old","OH","0.007","0.0004","0.007","0.008","0.034","0.002","0.03","0.038","0.212","0.0094","0.194","0.231","2103000","N/A","125000"
"4 - 50 or Older","OH","0.016","0.0009","0.014","0.017","0.037","0.0022","0.033","0.041","0.438","0.0165","0.406","0.471","4355000","N/A","267000"
"5 - 12-17 Years Old","OH","0.003","0.0002","0.003","0.004","0.035","0.0025","0.031","0.041","0.092","0.005","0.083","0.102","913000","N/A","65000"
"Overall","OK","0.012","0.0008","0.01","0.014","0.012","0.0008","0.01","0.014","1","0","N/A","N/A","3304000","N/A","234000"
"1 - 18-25 Years Old","OK","0.002","0.0002","0.001","0.002","0.013","0.0015","0.01","0.016","0.131","0.0124","0.108","0.157","432000","N/A","52000"
"2 - 26-34 Years Old","OK","0.002","0.0002","0.001","0.002","0.012","0.0011","0.01","0.014","0.142","0.0115","0.12","0.166","468000","N/A","42000"
"3 - 35-49 Years Old","OK","0.003","0.0002","0.002","0.003","0.012","0.0011","0.01","0.014","0.221","0.0147","0.194","0.251","730000","N/A","66000"
"4 - 50 or Older","OK","0.005","0.0005","0.004","0.006","0.011","0.0012","0.009","0.014","0.405","0.0239","0.359","0.453","1339000","N/A","137000"
"5 - 12-17 Years Old","OK","0.001","0.0001","0.001","0.001","0.013","0.0015","0.01","0.016","0.101","0.0097","0.084","0.122","334000","N/A","38000"
"Overall","OR","0.013","0.0008","0.012","0.015","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","3664000","N/A","216000"
"1 - 18-25 Years Old","OR","0.001","0.0001","0.001","0.002","0.012","0.0012","0.01","0.015","0.113","0.0097","0.095","0.134","414000","N/A","41000"
"2 - 26-34 Years Old","OR","0.002","0.0002","0.002","0.002","0.013","0.0011","0.011","0.016","0.146","0.0115","0.124","0.17","533000","N/A","46000"
"3 - 35-49 Years Old","OR","0.003","0.0003","0.002","0.004","0.014","0.0014","0.011","0.017","0.23","0.018","0.196","0.267","842000","N/A","88000"
"4 - 50 or Older","OR","0.006","0.0005","0.005","0.007","0.013","0.0012","0.011","0.016","0.428","0.0243","0.381","0.476","1569000","N/A","136000"
"5 - 12-17 Years Old","OR","0.001","0.0001","0.001","0.001","0.012","0.0011","0.01","0.014","0.083","0.0069","0.071","0.098","306000","N/A","28000"
"Overall","PA","0.039","0.002","0.036","0.044","0.039","0.002","0.036","0.044","1","0","N/A","N/A","11085000","N/A","589000"
"1 - 18-25 Years Old","PA","0.005","0.0004","0.004","0.005","0.038","0.0031","0.033","0.045","0.118","0.0073","0.104","0.133","1303000","N/A","109000"
"2 - 26-34 Years Old","PA","0.005","0.0004","0.005","0.006","0.038","0.003","0.032","0.044","0.136","0.0088","0.12","0.154","1508000","N/A","123000"
"3 - 35-49 Years Old","PA","0.008","0.0005","0.007","0.009","0.037","0.0024","0.033","0.042","0.208","0.0085","0.192","0.225","2309000","N/A","150000"
"4 - 50 or Older","PA","0.018","0.0012","0.016","0.02","0.042","0.0027","0.037","0.048","0.453","0.0162","0.422","0.485","5024000","N/A","331000"
"5 - 12-17 Years Old","PA","0.003","0.0003","0.003","0.004","0.036","0.0028","0.031","0.042","0.085","0.0054","0.075","0.096","942000","N/A","75000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","947000","N/A","77000"
"1 - 18-25 Years Old","RI","0","0.0001","0","0.001","0.004","0.0005","0.003","0.005","0.13","0.014","0.105","0.16","124000","N/A","18000"
"2 - 26-34 Years Old","RI","0","0.0001","0","0.001","0.003","0.0005","0.003","0.004","0.143","0.0152","0.116","0.176","136000","N/A","19000"
"3 - 35-49 Years Old","RI","0.001","0.0001","0.001","0.001","0.003","0.0004","0.002","0.004","0.207","0.0192","0.171","0.247","196000","N/A","25000"
"4 - 50 or Older","RI","0.001","0.0001","0.001","0.002","0.004","0.0004","0.003","0.004","0.442","0.0304","0.383","0.502","419000","N/A","41000"
"5 - 12-17 Years Old","RI","0","0","0","0","0.003","0.0004","0.002","0.004","0.078","0.0096","0.061","0.099","74000","N/A","10000"
"Overall","SC","0.016","0.0013","0.013","0.019","0.016","0.0013","0.013","0.019","1","0","N/A","N/A","4434000","N/A","364000"
"1 - 18-25 Years Old","SC","0.002","0.0002","0.002","0.002","0.015","0.0014","0.013","0.018","0.117","0.009","0.1","0.136","519000","N/A","49000"
"2 - 26-34 Years Old","SC","0.002","0.0003","0.002","0.003","0.015","0.002","0.011","0.019","0.133","0.0135","0.109","0.162","591000","N/A","80000"
"3 - 35-49 Years Old","SC","0.003","0.0003","0.003","0.004","0.015","0.0015","0.012","0.018","0.21","0.0168","0.179","0.245","932000","N/A","96000"
"4 - 50 or Older","SC","0.007","0.0008","0.006","0.009","0.017","0.002","0.013","0.021","0.449","0.0344","0.383","0.517","1992000","N/A","235000"
"5 - 12-17 Years Old","SC","0.001","0.0002","0.001","0.002","0.015","0.0026","0.011","0.022","0.09","0.013","0.068","0.119","400000","N/A","69000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","741000","N/A","51000"
"1 - 18-25 Years Old","SD","0","0.0001","0","0.001","0.003","0.0006","0.002","0.004","0.126","0.0278","0.081","0.191","93000","N/A","22000"
"2 - 26-34 Years Old","SD","0","0","0","0","0.002","0.0003","0.002","0.003","0.134","0.0128","0.111","0.161","99000","N/A","12000"
"3 - 35-49 Years Old","SD","0.001","0.0001","0","0.001","0.003","0.0002","0.002","0.003","0.212","0.015","0.184","0.243","157000","N/A","14000"
"4 - 50 or Older","SD","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.427","0.0216","0.385","0.47","316000","N/A","27000"
"5 - 12-17 Years Old","SD","0","0.0001","0","0","0.003","0.0008","0.002","0.005","0.101","0.0264","0.06","0.166","75000","N/A","20000"
"Overall","TN","0.021","0.0014","0.019","0.024","0.021","0.0014","0.019","0.024","1","0","N/A","N/A","5919000","N/A","383000"
"1 - 18-25 Years Old","TN","0.003","0.0003","0.002","0.003","0.021","0.0023","0.017","0.026","0.119","0.0123","0.097","0.145","705000","N/A","80000"
"2 - 26-34 Years Old","TN","0.003","0.0004","0.002","0.004","0.021","0.0025","0.017","0.027","0.144","0.014","0.119","0.174","853000","N/A","100000"
"3 - 35-49 Years Old","TN","0.005","0.0004","0.004","0.005","0.021","0.0018","0.017","0.024","0.218","0.0154","0.189","0.249","1288000","N/A","111000"
"4 - 50 or Older","TN","0.009","0.0009","0.007","0.011","0.021","0.002","0.018","0.026","0.428","0.0224","0.384","0.472","2532000","N/A","241000"
"5 - 12-17 Years Old","TN","0.002","0.0002","0.002","0.002","0.021","0.0018","0.018","0.025","0.092","0.0073","0.078","0.107","542000","N/A","45000"
"Overall","TX","0.087","0.0037","0.08","0.095","0.087","0.0037","0.08","0.095","1","0","N/A","N/A","24492000","N/A","1109000"
"1 - 18-25 Years Old","TX","0.012","0.0007","0.01","0.013","0.095","0.0058","0.084","0.107","0.133","0.0067","0.12","0.146","3248000","N/A","213000"
"2 - 26-34 Years Old","TX","0.013","0.0009","0.012","0.015","0.094","0.0059","0.083","0.106","0.154","0.0078","0.139","0.17","3772000","N/A","252000"
"3 - 35-49 Years Old","TX","0.021","0.001","0.019","0.023","0.095","0.0045","0.086","0.104","0.241","0.0078","0.226","0.256","5895000","N/A","299000"
"4 - 50 or Older","TX","0.032","0.0019","0.028","0.036","0.076","0.0043","0.067","0.085","0.365","0.0127","0.341","0.391","8950000","N/A","548000"
"5 - 12-17 Years Old","TX","0.009","0.0006","0.008","0.011","0.102","0.0061","0.09","0.114","0.107","0.0049","0.098","0.117","2626000","N/A","169000"
"Overall","UT","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2735000","N/A","209000"
"1 - 18-25 Years Old","UT","0.002","0.0002","0.001","0.002","0.013","0.0015","0.01","0.016","0.161","0.014","0.136","0.191","442000","N/A","51000"
"2 - 26-34 Years Old","UT","0.002","0.0002","0.001","0.002","0.011","0.0014","0.008","0.014","0.159","0.0146","0.132","0.19","434000","N/A","54000"
"3 - 35-49 Years Old","UT","0.002","0.0002","0.002","0.003","0.01","0.001","0.009","0.013","0.239","0.0133","0.214","0.266","653000","N/A","60000"
"4 - 50 or Older","UT","0.003","0.0003","0.003","0.004","0.007","0.0007","0.006","0.009","0.318","0.02","0.28","0.358","870000","N/A","84000"
"5 - 12-17 Years Old","UT","0.001","0.0001","0.001","0.001","0.013","0.0014","0.011","0.016","0.123","0.0083","0.108","0.14","337000","N/A","35000"
"Overall","VA","0.026","0.0014","0.023","0.029","0.026","0.0014","0.023","0.029","1","0","N/A","N/A","7254000","N/A","382000"
"1 - 18-25 Years Old","VA","0.003","0.0003","0.003","0.004","0.026","0.0023","0.022","0.031","0.122","0.0087","0.106","0.14","883000","N/A","79000"
"2 - 26-34 Years Old","VA","0.004","0.0003","0.003","0.004","0.025","0.0023","0.021","0.03","0.139","0.0096","0.121","0.159","1009000","N/A","94000"
"3 - 35-49 Years Old","VA","0.006","0.0004","0.005","0.007","0.026","0.0017","0.023","0.03","0.225","0.0082","0.209","0.242","1633000","N/A","104000"
"4 - 50 or Older","VA","0.011","0.0007","0.01","0.012","0.026","0.0016","0.023","0.029","0.423","0.0159","0.392","0.455","3071000","N/A","188000"
"5 - 12-17 Years Old","VA","0.002","0.0002","0.002","0.003","0.025","0.002","0.022","0.03","0.091","0.0049","0.081","0.101","657000","N/A","51000"
"Overall","VT","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","568000","N/A","45000"
"1 - 18-25 Years Old","VT","0","0","0","0","0.002","0.0002","0.002","0.003","0.128","0.0108","0.109","0.151","73000","N/A","8000"
"2 - 26-34 Years Old","VT","0","0","0","0","0.002","0.0002","0.001","0.002","0.123","0.0099","0.104","0.143","70000","N/A","8000"
"3 - 35-49 Years Old","VT","0","0","0","0","0.002","0.0002","0.001","0.002","0.2","0.014","0.174","0.229","114000","N/A","12000"
"4 - 50 or Older","VT","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.474","0.0235","0.428","0.52","269000","N/A","26000"
"5 - 12-17 Years Old","VT","0","0","0","0","0.002","0.0002","0.001","0.002","0.075","0.0075","0.062","0.091","43000","N/A","5000"
"Overall","WA","0.023","0.0016","0.02","0.027","0.023","0.0016","0.02","0.027","1","0","N/A","N/A","6575000","N/A","455000"
"1 - 18-25 Years Old","WA","0.003","0.0003","0.002","0.003","0.022","0.0023","0.018","0.027","0.113","0.0106","0.094","0.136","743000","N/A","77000"
"2 - 26-34 Years Old","WA","0.004","0.0004","0.003","0.005","0.026","0.0025","0.021","0.031","0.159","0.0138","0.134","0.188","1044000","N/A","103000"
"3 - 35-49 Years Old","WA","0.005","0.0005","0.005","0.007","0.025","0.0022","0.021","0.029","0.234","0.0148","0.206","0.264","1539000","N/A","140000"
"4 - 50 or Older","WA","0.01","0.001","0.008","0.012","0.023","0.0024","0.018","0.028","0.407","0.0246","0.359","0.456","2674000","N/A","288000"
"5 - 12-17 Years Old","WA","0.002","0.0002","0.002","0.003","0.022","0.0024","0.018","0.027","0.088","0.0096","0.07","0.108","575000","N/A","62000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5031000","N/A","296000"
"1 - 18-25 Years Old","WI","0.002","0.0002","0.002","0.003","0.018","0.0019","0.015","0.022","0.124","0.0094","0.106","0.143","622000","N/A","64000"
"2 - 26-34 Years Old","WI","0.002","0.0002","0.002","0.003","0.016","0.0017","0.013","0.02","0.13","0.0113","0.109","0.153","652000","N/A","67000"
"3 - 35-49 Years Old","WI","0.004","0.0003","0.003","0.004","0.017","0.0015","0.014","0.02","0.211","0.0132","0.186","0.238","1063000","N/A","93000"
"4 - 50 or Older","WI","0.008","0.0006","0.007","0.009","0.019","0.0014","0.016","0.022","0.445","0.0221","0.402","0.488","2238000","N/A","171000"
"5 - 12-17 Years Old","WI","0.002","0.0001","0.001","0.002","0.018","0.0016","0.015","0.021","0.091","0.0071","0.078","0.106","457000","N/A","41000"
"Overall","WV","0.005","0.0005","0.005","0.006","0.005","0.0005","0.005","0.006","1","0","N/A","N/A","1525000","N/A","136000"
"1 - 18-25 Years Old","WV","0.001","0.0001","0.001","0.001","0.005","0.0005","0.004","0.006","0.115","0.0087","0.098","0.133","175000","N/A","17000"
"2 - 26-34 Years Old","WV","0.001","0.0001","0.001","0.001","0.005","0.0006","0.004","0.006","0.122","0.0146","0.096","0.154","186000","N/A","26000"
"3 - 35-49 Years Old","WV","0.001","0.0001","0.001","0.001","0.005","0.0005","0.004","0.006","0.206","0.0132","0.181","0.233","314000","N/A","30000"
"4 - 50 or Older","WV","0.003","0.0003","0.002","0.003","0.006","0.0007","0.005","0.008","0.474","0.0251","0.425","0.523","722000","N/A","88000"
"5 - 12-17 Years Old","WV","0","0.0001","0","0.001","0.005","0.0006","0.004","0.006","0.084","0.0079","0.069","0.101","128000","N/A","15000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","488000","N/A","34000"
"1 - 18-25 Years Old","WY","0","0","0","0","0.002","0.0003","0.001","0.002","0.119","0.0191","0.086","0.162","58000","N/A","9000"
"2 - 26-34 Years Old","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.132","0.0099","0.114","0.153","64000","N/A","6000"
"3 - 35-49 Years Old","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.221","0.0207","0.183","0.264","108000","N/A","14000"
"4 - 50 or Older","WY","0.001","0.0001","0.001","0.001","0.002","0.0002","0.001","0.002","0.43","0.0228","0.386","0.475","210000","N/A","20000"
"5 - 12-17 Years Old","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.098","0.0096","0.081","0.119","48000","N/A","5000"
