"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"4 - Other","NH","0.002","0.0002","0.001","0.002","0.004","0.0005","0.003","0.005","0.354","0.0218","0.312","0.398","436000","N/A","51000"
"99 - 12-14 year olds","NH","0","0","0","0","0.003","0.0006","0.002","0.004","0.03","0.0055","0.021","0.043","38000","N/A","7000"
"Overall","NJ","0.028","0.0016","0.025","0.031","0.028","0.0016","0.025","0.031","1","0","N/A","N/A","8000000","N/A","473000"
"1 - Employed full time","NJ","0.013","0.0009","0.011","0.015","0.031","0.0021","0.027","0.035","0.465","0.0169","0.432","0.498","3721000","N/A","260000"
"2 - Employed part time","NJ","0.003","0.0003","0.003","0.004","0.028","0.0027","0.023","0.033","0.122","0.0093","0.105","0.142","978000","N/A","97000"
"3 - Unemployed","NJ","0.002","0.0002","0.001","0.002","0.033","0.0041","0.026","0.042","0.057","0.0071","0.045","0.073","457000","N/A","57000"
"4 - Other","NJ","0.009","0.0007","0.007","0.01","0.024","0.002","0.021","0.028","0.31","0.0175","0.277","0.345","2480000","N/A","209000"
"99 - 12-14 year olds","NJ","0.001","0.0001","0.001","0.002","0.029","0.003","0.024","0.036","0.045","0.0039","0.038","0.054","363000","N/A","38000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1806000","N/A","114000"
"1 - Employed full time","NM","0.002","0.0002","0.002","0.003","0.006","0.0005","0.005","0.007","0.374","0.0189","0.338","0.412","676000","N/A","55000"
"2 - Employed part time","NM","0.001","0.0001","0.001","0.001","0.007","0.0006","0.005","0.008","0.129","0.0101","0.11","0.15","232000","N/A","22000"
"3 - Unemployed","NM","0","0.0001","0","0","0.007","0.0011","0.005","0.009","0.05","0.008","0.037","0.069","91000","N/A","15000"
"4 - Other","NM","0.003","0.0002","0.002","0.003","0.007","0.0006","0.006","0.009","0.408","0.0219","0.366","0.452","736000","N/A","64000"
"99 - 12-14 year olds","NM","0","0","0","0","0.006","0.0007","0.004","0.007","0.039","0.0044","0.031","0.048","70000","N/A","9000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2754000","N/A","188000"
"1 - Employed full time","NV","0.004","0.0003","0.003","0.005","0.009","0.0008","0.008","0.011","0.412","0.0196","0.374","0.45","1133000","N/A","93000"
"2 - Employed part time","NV","0.001","0.0001","0.001","0.001","0.009","0.001","0.007","0.011","0.111","0.0104","0.092","0.133","305000","N/A","34000"
"3 - Unemployed","NV","0.001","0.0001","0","0.001","0.011","0.0025","0.007","0.017","0.057","0.0116","0.038","0.085","157000","N/A","35000"
"4 - Other","NV","0.004","0.0003","0.003","0.004","0.01","0.0009","0.008","0.012","0.376","0.0216","0.334","0.419","1035000","N/A","93000"
"99 - 12-14 year olds","NV","0","0.0001","0","0.001","0.01","0.0014","0.008","0.013","0.045","0.0054","0.035","0.057","123000","N/A","17000"
"Overall","NY","0.059","0.0023","0.055","0.064","0.059","0.0023","0.055","0.064","1","0","N/A","N/A","16932000","N/A","685000"
"1 - Employed full time","NY","0.025","0.0012","0.022","0.027","0.058","0.0027","0.053","0.063","0.416","0.0118","0.393","0.439","7038000","N/A","342000"
"2 - Employed part time","NY","0.007","0.0005","0.006","0.008","0.058","0.0036","0.051","0.065","0.121","0.0066","0.109","0.134","2046000","N/A","132000"
"3 - Unemployed","NY","0.003","0.0003","0.003","0.004","0.068","0.0062","0.057","0.082","0.056","0.0046","0.047","0.066","947000","N/A","89000"
"4 - Other","NY","0.022","0.0012","0.02","0.024","0.061","0.0032","0.055","0.067","0.368","0.012","0.345","0.392","6235000","N/A","338000"
"99 - 12-14 year olds","NY","0.002","0.0002","0.002","0.003","0.054","0.0041","0.046","0.062","0.039","0.0027","0.034","0.045","666000","N/A","52000"
"Overall","OH","0.035","0.0014","0.032","0.038","0.035","0.0014","0.032","0.038","1","0","N/A","N/A","10008000","N/A","410000"
"1 - Employed full time","OH","0.014","0.0007","0.013","0.016","0.034","0.0017","0.031","0.037","0.411","0.0121","0.387","0.435","4109000","N/A","202000"
"2 - Employed part time","OH","0.004","0.0003","0.004","0.005","0.034","0.0022","0.03","0.039","0.121","0.0066","0.108","0.134","1208000","N/A","79000"
"3 - Unemployed","OH","0.001","0.0001","0.001","0.002","0.03","0.0031","0.024","0.037","0.041","0.0041","0.034","0.05","415000","N/A","42000"
"4 - Other","OH","0.013","0.0007","0.012","0.015","0.037","0.0021","0.033","0.041","0.38","0.0121","0.356","0.404","3798000","N/A","213000"
"99 - 12-14 year olds","OH","0.002","0.0001","0.001","0.002","0.039","0.0029","0.033","0.045","0.048","0.0034","0.042","0.055","478000","N/A","37000"
"Overall","OK","0.012","0.0009","0.01","0.014","0.012","0.0009","0.01","0.014","1","0","N/A","N/A","3368000","N/A","254000"
"1 - Employed full time","OK","0.005","0.0004","0.004","0.006","0.012","0.0011","0.01","0.014","0.424","0.0205","0.385","0.465","1430000","N/A","130000"
"2 - Employed part time","OK","0.001","0.0002","0.001","0.002","0.011","0.0012","0.009","0.014","0.119","0.0121","0.098","0.145","402000","N/A","44000"
"3 - Unemployed","OK","0","0.0001","0","0.001","0.01","0.0014","0.007","0.013","0.039","0.0051","0.03","0.05","132000","N/A","19000"
"4 - Other","OK","0.004","0.0004","0.004","0.005","0.012","0.0012","0.01","0.014","0.365","0.0178","0.33","0.4","1228000","N/A","119000"
"99 - 12-14 year olds","OK","0.001","0.0001","0","0.001","0.014","0.0017","0.011","0.018","0.052","0.0052","0.043","0.064","177000","N/A","22000"
"Overall","OR","0.013","0.0007","0.012","0.014","0.013","0.0007","0.012","0.014","1","0","N/A","N/A","3686000","N/A","187000"
"1 - Employed full time","OR","0.005","0.0004","0.005","0.006","0.013","0.0009","0.011","0.014","0.416","0.0179","0.382","0.452","1535000","N/A","107000"
"2 - Employed part time","OR","0.002","0.0002","0.002","0.002","0.015","0.0015","0.012","0.018","0.143","0.0148","0.117","0.175","528000","N/A","54000"
"3 - Unemployed","OR","0.001","0.0001","0","0.001","0.011","0.0016","0.009","0.015","0.043","0.0062","0.033","0.057","159000","N/A","23000"
"4 - Other","OR","0.005","0.0004","0.004","0.005","0.013","0.001","0.011","0.015","0.357","0.0208","0.317","0.399","1316000","N/A","109000"
"99 - 12-14 year olds","OR","0.001","0.0001","0","0.001","0.012","0.0013","0.01","0.015","0.04","0.004","0.033","0.049","147000","N/A","16000"
"Overall","PA","0.039","0.0021","0.035","0.043","0.039","0.0021","0.035","0.043","1","0","N/A","N/A","11153000","N/A","600000"
"1 - Employed full time","PA","0.017","0.001","0.015","0.019","0.04","0.0025","0.035","0.045","0.434","0.0142","0.406","0.462","4836000","N/A","304000"
"2 - Employed part time","PA","0.005","0.0004","0.004","0.006","0.038","0.0031","0.033","0.045","0.122","0.008","0.107","0.138","1356000","N/A","114000"
"3 - Unemployed","PA","0.002","0.0002","0.001","0.002","0.037","0.0041","0.03","0.046","0.046","0.0047","0.037","0.056","510000","N/A","59000"
"4 - Other","PA","0.014","0.001","0.012","0.016","0.039","0.0027","0.034","0.045","0.36","0.016","0.329","0.392","4013000","N/A","283000"
"99 - 12-14 year olds","PA","0.002","0.0001","0.001","0.002","0.035","0.0029","0.03","0.042","0.039","0.0025","0.035","0.044","439000","N/A","36000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","957000","N/A","83000"
"1 - Employed full time","RI","0.002","0.0001","0.001","0.002","0.004","0.0003","0.003","0.004","0.465","0.0226","0.421","0.51","445000","N/A","40000"
"2 - Employed part time","RI","0","0.0001","0","0.001","0.004","0.0007","0.003","0.005","0.145","0.0169","0.115","0.182","139000","N/A","23000"
"3 - Unemployed","RI","0","0","0","0","0.004","0.0009","0.002","0.006","0.053","0.0125","0.034","0.084","51000","N/A","12000"
"4 - Other","RI","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.004","0.302","0.0216","0.261","0.345","289000","N/A","33000"
"99 - 12-14 year olds","RI","0","0","0","0","0.003","0.0005","0.002","0.004","0.035","0.0052","0.026","0.046","33000","N/A","6000"
"Overall","SC","0.016","0.001","0.014","0.018","0.016","0.001","0.014","0.018","1","0","N/A","N/A","4599000","N/A","292000"
"1 - Employed full time","SC","0.007","0.0006","0.006","0.008","0.016","0.0014","0.013","0.019","0.416","0.0256","0.367","0.467","1913000","N/A","168000"
"2 - Employed part time","SC","0.002","0.0002","0.002","0.002","0.016","0.0019","0.012","0.02","0.12","0.0118","0.098","0.145","551000","N/A","67000"
"3 - Unemployed","SC","0.001","0.0001","0","0.001","0.013","0.0026","0.009","0.019","0.039","0.0078","0.027","0.058","181000","N/A","37000"
"4 - Other","SC","0.006","0.0006","0.005","0.007","0.017","0.0016","0.014","0.02","0.38","0.0242","0.334","0.428","1747000","N/A","160000"
"99 - 12-14 year olds","SC","0.001","0.0001","0.001","0.001","0.017","0.002","0.013","0.021","0.045","0.0051","0.036","0.056","206000","N/A","25000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","759000","N/A","57000"
"1 - Employed full time","SD","0.001","0.0001","0.001","0.001","0.003","0.0002","0.003","0.003","0.477","0.0175","0.442","0.511","362000","N/A","28000"
"2 - Employed part time","SD","0","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.149","0.0147","0.122","0.18","113000","N/A","15000"
"3 - Unemployed","SD","0","0","0","0","0.001","0.0002","0.001","0.002","0.023","0.004","0.016","0.032","17000","N/A","3000"
"4 - Other","SD","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.297","0.0189","0.261","0.336","225000","N/A","23000"
"99 - 12-14 year olds","SD","0","0","0","0","0.003","0.0004","0.003","0.004","0.054","0.0056","0.044","0.067","41000","N/A","5000"
"Overall","TN","0.021","0.0011","0.019","0.023","0.021","0.0011","0.019","0.023","1","0","N/A","N/A","6059000","N/A","317000"
"1 - Employed full time","TN","0.009","0.0006","0.008","0.01","0.021","0.0015","0.018","0.024","0.423","0.0178","0.389","0.459","2565000","N/A","184000"
"2 - Employed part time","TN","0.002","0.0002","0.002","0.003","0.018","0.0016","0.015","0.022","0.105","0.0094","0.088","0.125","638000","N/A","58000"
"3 - Unemployed","TN","0.001","0.0001","0.001","0.001","0.018","0.0029","0.013","0.025","0.042","0.0064","0.031","0.056","254000","N/A","41000"
"4 - Other","TN","0.008","0.0006","0.007","0.009","0.023","0.0016","0.02","0.026","0.383","0.0169","0.351","0.417","2322000","N/A","161000"
"99 - 12-14 year olds","TN","0.001","0.0001","0.001","0.001","0.023","0.0018","0.019","0.026","0.046","0.0034","0.04","0.053","279000","N/A","22000"
"Overall","TX","0.089","0.0031","0.083","0.095","0.089","0.0031","0.083","0.095","1","0","N/A","N/A","25487000","N/A","939000"
"1 - Employed full time","TX","0.039","0.0016","0.036","0.043","0.092","0.0038","0.085","0.1","0.439","0.0097","0.42","0.459","11197000","N/A","487000"
"2 - Employed part time","TX","0.01","0.0006","0.009","0.011","0.081","0.0048","0.072","0.091","0.113","0.0054","0.103","0.124","2875000","N/A","175000"
"3 - Unemployed","TX","0.005","0.0004","0.004","0.006","0.104","0.0083","0.089","0.121","0.056","0.0045","0.048","0.066","1437000","N/A","124000"
"4 - Other","TX","0.031","0.0013","0.028","0.033","0.086","0.0036","0.079","0.093","0.345","0.0091","0.327","0.363","8790000","N/A","392000"
"99 - 12-14 year olds","TX","0.004","0.0003","0.004","0.005","0.096","0.0063","0.084","0.109","0.047","0.0028","0.041","0.052","1187000","N/A","84000"
"Overall","UT","0.01","0.0006","0.009","0.011","0.01","0.0006","0.009","0.011","1","0","N/A","N/A","2844000","N/A","170000"
"1 - Employed full time","UT","0.004","0.0003","0.004","0.005","0.01","0.0007","0.009","0.012","0.444","0.0157","0.413","0.475","1262000","N/A","83000"
"2 - Employed part time","UT","0.002","0.0002","0.002","0.002","0.015","0.0013","0.013","0.018","0.186","0.0122","0.164","0.212","530000","N/A","45000"
"3 - Unemployed","UT","0","0.0001","0","0.001","0.008","0.0012","0.006","0.011","0.041","0.0051","0.032","0.052","116000","N/A","16000"
"4 - Other","UT","0.003","0.0002","0.002","0.003","0.008","0.0007","0.006","0.009","0.272","0.0144","0.244","0.301","773000","N/A","66000"
"99 - 12-14 year olds","UT","0.001","0.0001","0","0.001","0.013","0.0015","0.01","0.016","0.057","0.0054","0.047","0.069","162000","N/A","19000"
"Overall","VA","0.026","0.0017","0.023","0.029","0.026","0.0017","0.023","0.029","1","0","N/A","N/A","7346000","N/A","500000"
"1 - Employed full time","VA","0.012","0.0009","0.011","0.014","0.029","0.002","0.025","0.033","0.478","0.0149","0.449","0.507","3512000","N/A","253000"
"2 - Employed part time","VA","0.003","0.0003","0.003","0.004","0.026","0.0026","0.021","0.031","0.124","0.0096","0.107","0.144","912000","N/A","93000"
"3 - Unemployed","VA","0.001","0.0001","0.001","0.001","0.016","0.0022","0.012","0.021","0.031","0.0039","0.024","0.039","225000","N/A","31000"
"4 - Other","VA","0.008","0.0007","0.007","0.01","0.023","0.0019","0.02","0.027","0.321","0.0145","0.293","0.35","2357000","N/A","198000"
"99 - 12-14 year olds","VA","0.001","0.0002","0.001","0.002","0.027","0.0035","0.021","0.035","0.046","0.0043","0.039","0.056","340000","N/A","45000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","571000","N/A","36000"
"1 - Employed full time","VT","0.001","0.0001","0.001","0.001","0.002","0.0001","0.002","0.002","0.404","0.0217","0.362","0.447","231000","N/A","16000"
"2 - Employed part time","VT","0","0","0","0","0.003","0.0003","0.002","0.003","0.165","0.0172","0.134","0.201","94000","N/A","12000"
"3 - Unemployed","VT","0","0","0","0","0.001","0.0002","0.001","0.001","0.022","0.0043","0.015","0.032","13000","N/A","3000"
"4 - Other","VT","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.367","0.0226","0.324","0.413","210000","N/A","20000"
"99 - 12-14 year olds","VT","0","0","0","0","0.002","0.0003","0.002","0.003","0.043","0.0047","0.034","0.053","24000","N/A","3000"
"Overall","WA","0.023","0.0015","0.021","0.027","0.023","0.0015","0.021","0.027","1","0","N/A","N/A","6713000","N/A","450000"
"1 - Employed full time","WA","0.01","0.0008","0.008","0.012","0.023","0.0018","0.02","0.027","0.421","0.0194","0.384","0.46","2827000","N/A","227000"
"2 - Employed part time","WA","0.003","0.0004","0.003","0.004","0.026","0.0032","0.021","0.033","0.138","0.0152","0.111","0.171","926000","N/A","115000"
"3 - Unemployed","WA","0.001","0.0001","0.001","0.001","0.018","0.003","0.013","0.025","0.037","0.0059","0.027","0.05","248000","N/A","43000"
"4 - Other","WA","0.008","0.0008","0.007","0.01","0.024","0.0022","0.02","0.028","0.361","0.0205","0.322","0.402","2424000","N/A","227000"
"99 - 12-14 year olds","WA","0.001","0.0001","0.001","0.001","0.023","0.0024","0.019","0.028","0.043","0.0042","0.035","0.052","288000","N/A","30000"
"Overall","WI","0.018","0.0012","0.016","0.02","0.018","0.0012","0.016","0.02","1","0","N/A","N/A","5086000","N/A","344000"
"1 - Employed full time","WI","0.007","0.0006","0.006","0.009","0.017","0.0013","0.015","0.02","0.416","0.0207","0.376","0.457","2117000","N/A","165000"
"2 - Employed part time","WI","0.003","0.0002","0.002","0.003","0.022","0.0019","0.018","0.026","0.151","0.0104","0.132","0.173","769000","N/A","66000"
"3 - Unemployed","WI","0.001","0.0002","0","0.001","0.016","0.0047","0.009","0.029","0.044","0.0126","0.025","0.077","225000","N/A","66000"
"4 - Other","WI","0.006","0.0006","0.005","0.007","0.017","0.0017","0.014","0.02","0.338","0.0215","0.297","0.382","1720000","N/A","176000"
"99 - 12-14 year olds","WI","0.001","0.0001","0.001","0.001","0.021","0.0023","0.016","0.026","0.05","0.0043","0.042","0.059","255000","N/A","29000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1516000","N/A","121000"
"1 - Employed full time","WV","0.002","0.0002","0.002","0.002","0.004","0.0005","0.004","0.005","0.36","0.0216","0.319","0.403","546000","N/A","56000"
"2 - Employed part time","WV","0.001","0.0001","0","0.001","0.004","0.0006","0.003","0.006","0.103","0.0099","0.085","0.124","156000","N/A","21000"
"3 - Unemployed","WV","0","0","0","0","0.005","0.0008","0.004","0.007","0.048","0.0068","0.036","0.063","72000","N/A","11000"
"4 - Other","WV","0.002","0.0002","0.002","0.003","0.007","0.0006","0.005","0.008","0.449","0.0247","0.401","0.498","681000","N/A","66000"
"99 - 12-14 year olds","WV","0","0","0","0","0.005","0.0005","0.004","0.006","0.04","0.0042","0.033","0.049","61000","N/A","6000"
"Overall","WY","0.002","0.0002","0.001","0.002","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","496000","N/A","43000"
"1 - Employed full time","WY","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.453","0.02","0.414","0.492","225000","N/A","21000"
"2 - Employed part time","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.126","0.013","0.103","0.154","63000","N/A","8000"
"3 - Unemployed","WY","0","0","0","0","0.001","0.0002","0.001","0.001","0.026","0.0054","0.018","0.039","13000","N/A","3000"
"4 - Other","WY","0.001","0.0001","0","0.001","0.002","0.0002","0.001","0.002","0.353","0.0221","0.311","0.397","175000","N/A","20000"
"99 - 12-14 year olds","WY","0","0","0","0","0.002","0.0003","0.001","0.002","0.042","0.0056","0.032","0.055","21000","N/A","4000"
