"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - 26-34 Years Old","NE","0.001","0.0001","0.001","0.001","0.006","0.0004","0.005","0.006","0.141","0.0096","0.123","0.161","224000","N/A","15000"
"3 - 35-49 Years Old","NE","0.001","0.0001","0.001","0.001","0.006","0.0004","0.005","0.007","0.218","0.0144","0.191","0.247","345000","N/A","26000"
"4 - 50 or Older","NE","0.002","0.0002","0.002","0.003","0.006","0.0004","0.005","0.006","0.408","0.0179","0.373","0.444","646000","N/A","44000"
"5 - 12-17 Years Old","NE","0.001","0","0.001","0.001","0.006","0.0004","0.006","0.007","0.099","0.0062","0.088","0.112","157000","N/A","10000"
"Overall","NH","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1180000","N/A","47000"
"1 - 18-25 Years Old","NH","0.001","0.0001","0","0.001","0.004","0.0008","0.003","0.006","0.119","0.0201","0.085","0.164","140000","N/A","25000"
"2 - 26-34 Years Old","NH","0.001","0","0","0.001","0.004","0.0003","0.003","0.004","0.129","0.0102","0.11","0.15","152000","N/A","12000"
"3 - 35-49 Years Old","NH","0.001","0.0001","0.001","0.001","0.004","0.0003","0.003","0.005","0.205","0.0128","0.181","0.231","241000","N/A","16000"
"4 - 50 or Older","NH","0.002","0.0001","0.002","0.002","0.005","0.0003","0.004","0.005","0.468","0.0217","0.426","0.511","552000","N/A","36000"
"5 - 12-17 Years Old","NH","0","0","0","0","0.004","0.0002","0.003","0.004","0.08","0.0056","0.07","0.092","94000","N/A","6000"
"Overall","NJ","0.027","0.001","0.026","0.029","0.027","0.001","0.026","0.029","1","0","N/A","N/A","7526000","N/A","278000"
"1 - 18-25 Years Old","NJ","0.003","0.0002","0.003","0.003","0.025","0.0014","0.023","0.028","0.114","0.0059","0.103","0.126","861000","N/A","47000"
"2 - 26-34 Years Old","NJ","0.004","0.0003","0.003","0.004","0.025","0.0021","0.022","0.03","0.136","0.0099","0.118","0.157","1023000","N/A","85000"
"3 - 35-49 Years Old","NJ","0.006","0.0003","0.006","0.007","0.028","0.0015","0.025","0.031","0.228","0.0107","0.207","0.249","1712000","N/A","91000"
"4 - 50 or Older","NJ","0.012","0.0008","0.01","0.013","0.028","0.0018","0.025","0.032","0.432","0.0184","0.397","0.469","3254000","N/A","208000"
"5 - 12-17 Years Old","NJ","0.002","0.0001","0.002","0.003","0.027","0.0015","0.024","0.03","0.09","0.0053","0.08","0.101","676000","N/A","39000"
"Overall","NM","0.006","0.0003","0.006","0.007","0.006","0.0003","0.006","0.007","1","0","N/A","N/A","1747000","N/A","87000"
"1 - 18-25 Years Old","NM","0.001","0.0001","0.001","0.001","0.006","0.0005","0.005","0.007","0.124","0.0102","0.105","0.145","217000","N/A","17000"
"2 - 26-34 Years Old","NM","0.001","0.0001","0.001","0.001","0.006","0.0005","0.005","0.007","0.14","0.0104","0.121","0.162","244000","N/A","21000"
"3 - 35-49 Years Old","NM","0.001","0.0001","0.001","0.002","0.006","0.0004","0.005","0.007","0.207","0.0115","0.186","0.231","362000","N/A","26000"
"4 - 50 or Older","NM","0.003","0.0002","0.002","0.003","0.007","0.0005","0.006","0.008","0.434","0.0198","0.396","0.473","758000","N/A","58000"
"5 - 12-17 Years Old","NM","0.001","0.0001","0.001","0.001","0.007","0.0006","0.006","0.008","0.095","0.0068","0.082","0.109","166000","N/A","15000"
"Overall","NV","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2561000","N/A","126000"
"1 - 18-25 Years Old","NV","0.001","0.0001","0.001","0.001","0.008","0.0005","0.007","0.01","0.111","0.0071","0.097","0.125","283000","N/A","18000"
"2 - 26-34 Years Old","NV","0.001","0.0001","0.001","0.002","0.01","0.0007","0.008","0.011","0.155","0.0112","0.134","0.178","396000","N/A","30000"
"3 - 35-49 Years Old","NV","0.002","0.0002","0.002","0.003","0.01","0.0008","0.008","0.011","0.233","0.0165","0.203","0.267","598000","N/A","49000"
"4 - 50 or Older","NV","0.004","0.0004","0.003","0.005","0.009","0.001","0.007","0.011","0.411","0.0304","0.353","0.472","1053000","N/A","109000"
"5 - 12-17 Years Old","NV","0.001","0.0001","0.001","0.001","0.009","0.0007","0.008","0.011","0.09","0.0077","0.077","0.107","232000","N/A","17000"
"Overall","NY","0.06","0.0015","0.058","0.063","0.06","0.0015","0.058","0.063","1","0","N/A","N/A","16572000","N/A","424000"
"1 - 18-25 Years Old","NY","0.007","0.0003","0.007","0.008","0.06","0.0025","0.055","0.065","0.123","0.0048","0.113","0.132","2031000","N/A","87000"
"2 - 26-34 Years Old","NY","0.009","0.0005","0.008","0.01","0.064","0.0031","0.058","0.07","0.154","0.0071","0.141","0.168","2553000","N/A","130000"
"3 - 35-49 Years Old","NY","0.013","0.0005","0.012","0.014","0.059","0.0021","0.055","0.064","0.218","0.0065","0.205","0.231","3609000","N/A","132000"
"4 - 50 or Older","NY","0.026","0.0011","0.024","0.028","0.061","0.0025","0.057","0.066","0.424","0.012","0.401","0.448","7030000","N/A","297000"
"5 - 12-17 Years Old","NY","0.005","0.0002","0.005","0.005","0.054","0.0022","0.05","0.059","0.081","0.0032","0.075","0.088","1348000","N/A","58000"
"Overall","OH","0.036","0.0009","0.034","0.038","0.036","0.0009","0.034","0.038","1","0","N/A","N/A","9825000","N/A","260000"
"1 - 18-25 Years Old","OH","0.004","0.0003","0.004","0.005","0.035","0.002","0.032","0.04","0.122","0.0076","0.108","0.138","1200000","N/A","70000"
"2 - 26-34 Years Old","OH","0.005","0.0002","0.005","0.005","0.034","0.0016","0.031","0.037","0.139","0.0062","0.127","0.152","1366000","N/A","63000"
"3 - 35-49 Years Old","OH","0.008","0.0003","0.007","0.008","0.034","0.0014","0.032","0.037","0.212","0.008","0.197","0.228","2086000","N/A","86000"
"4 - 50 or Older","OH","0.016","0.0008","0.014","0.017","0.037","0.0018","0.034","0.041","0.436","0.0131","0.41","0.462","4283000","N/A","210000"
"5 - 12-17 Years Old","OH","0.003","0.0001","0.003","0.004","0.036","0.0016","0.033","0.039","0.091","0.0038","0.083","0.098","890000","N/A","40000"
"Overall","OK","0.012","0.0006","0.011","0.013","0.012","0.0006","0.011","0.013","1","0","N/A","N/A","3234000","N/A","152000"
"1 - 18-25 Years Old","OK","0.002","0.0001","0.001","0.002","0.012","0.0008","0.011","0.014","0.129","0.0092","0.112","0.148","418000","N/A","29000"
"2 - 26-34 Years Old","OK","0.002","0.0001","0.001","0.002","0.012","0.0009","0.01","0.014","0.145","0.0115","0.124","0.169","470000","N/A","37000"
"3 - 35-49 Years Old","OK","0.003","0.0002","0.002","0.003","0.012","0.001","0.01","0.014","0.219","0.0135","0.193","0.246","707000","N/A","59000"
"4 - 50 or Older","OK","0.005","0.0004","0.004","0.006","0.012","0.0009","0.01","0.013","0.408","0.0213","0.367","0.451","1321000","N/A","104000"
"5 - 12-17 Years Old","OK","0.001","0.0001","0.001","0.001","0.013","0.0009","0.011","0.015","0.098","0.0056","0.088","0.11","318000","N/A","24000"
"Overall","OR","0.013","0.0004","0.012","0.014","0.013","0.0004","0.012","0.014","1","0","N/A","N/A","3591000","N/A","108000"
"1 - 18-25 Years Old","OR","0.002","0.0001","0.001","0.002","0.012","0.0009","0.011","0.014","0.116","0.0081","0.101","0.133","415000","N/A","29000"
"2 - 26-34 Years Old","OR","0.002","0.0002","0.002","0.002","0.013","0.0011","0.011","0.016","0.149","0.0119","0.127","0.174","535000","N/A","45000"
"3 - 35-49 Years Old","OR","0.003","0.0001","0.003","0.003","0.013","0.0007","0.012","0.015","0.228","0.0104","0.208","0.249","817000","N/A","40000"
"4 - 50 or Older","OR","0.006","0.0003","0.005","0.006","0.013","0.0008","0.012","0.015","0.426","0.0189","0.389","0.463","1528000","N/A","94000"
"5 - 12-17 Years Old","OR","0.001","0.0001","0.001","0.001","0.012","0.0007","0.011","0.013","0.082","0.0053","0.072","0.093","295000","N/A","18000"
"Overall","PA","0.04","0.0011","0.037","0.042","0.04","0.0011","0.037","0.042","1","0","N/A","N/A","10878000","N/A","319000"
"1 - 18-25 Years Old","PA","0.005","0.0002","0.004","0.005","0.038","0.0016","0.035","0.041","0.119","0.0049","0.11","0.129","1293000","N/A","53000"
"2 - 26-34 Years Old","PA","0.005","0.0003","0.005","0.006","0.037","0.0019","0.034","0.041","0.138","0.0068","0.126","0.152","1506000","N/A","79000"
"3 - 35-49 Years Old","PA","0.008","0.0004","0.007","0.009","0.037","0.0019","0.033","0.041","0.207","0.0089","0.19","0.225","2253000","N/A","116000"
"4 - 50 or Older","PA","0.018","0.0009","0.016","0.02","0.043","0.002","0.039","0.047","0.452","0.0145","0.424","0.481","4917000","N/A","237000"
"5 - 12-17 Years Old","PA","0.003","0.0002","0.003","0.004","0.037","0.0017","0.033","0.04","0.084","0.0032","0.078","0.09","910000","N/A","43000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","910000","N/A","43000"
"1 - 18-25 Years Old","RI","0","0.0001","0","0.001","0.004","0.0004","0.003","0.005","0.135","0.0155","0.107","0.168","123000","N/A","15000"
"2 - 26-34 Years Old","RI","0","0","0","0.001","0.003","0.0002","0.003","0.004","0.143","0.0103","0.124","0.164","130000","N/A","10000"
"3 - 35-49 Years Old","RI","0.001","0","0.001","0.001","0.003","0.0002","0.003","0.004","0.205","0.0127","0.182","0.232","187000","N/A","13000"
"4 - 50 or Older","RI","0.001","0.0001","0.001","0.002","0.003","0.0003","0.003","0.004","0.437","0.0203","0.398","0.477","398000","N/A","31000"
"5 - 12-17 Years Old","RI","0","0","0","0","0.003","0.0002","0.003","0.003","0.08","0.0048","0.071","0.09","72000","N/A","5000"
"Overall","SC","0.016","0.0008","0.014","0.017","0.016","0.0008","0.014","0.017","1","0","N/A","N/A","4289000","N/A","210000"
"1 - 18-25 Years Old","SC","0.002","0.0001","0.002","0.002","0.015","0.0012","0.013","0.017","0.118","0.009","0.101","0.136","505000","N/A","41000"
"2 - 26-34 Years Old","SC","0.002","0.0002","0.002","0.003","0.015","0.0012","0.012","0.017","0.137","0.0111","0.117","0.16","587000","N/A","50000"
"3 - 35-49 Years Old","SC","0.003","0.0002","0.003","0.004","0.015","0.0009","0.013","0.017","0.213","0.0126","0.19","0.239","916000","N/A","53000"
"4 - 50 or Older","SC","0.007","0.0006","0.006","0.008","0.017","0.0014","0.014","0.02","0.444","0.0221","0.401","0.488","1904000","N/A","165000"
"5 - 12-17 Years Old","SC","0.001","0.0001","0.001","0.002","0.015","0.0009","0.014","0.017","0.088","0.0045","0.08","0.097","377000","N/A","21000"
"Overall","SD","0.003","0.0001","0.002","0.003","0.003","0.0001","0.002","0.003","1","0","N/A","N/A","718000","N/A","41000"
"1 - 18-25 Years Old","SD","0","0","0","0","0.003","0.0003","0.002","0.003","0.128","0.0131","0.104","0.156","92000","N/A","10000"
"2 - 26-34 Years Old","SD","0","0","0","0","0.003","0.0002","0.002","0.003","0.14","0.0101","0.121","0.161","100000","N/A","9000"
"3 - 35-49 Years Old","SD","0.001","0","0","0.001","0.002","0.0002","0.002","0.003","0.207","0.0121","0.184","0.232","149000","N/A","11000"
"4 - 50 or Older","SD","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.429","0.0189","0.392","0.466","308000","N/A","25000"
"5 - 12-17 Years Old","SD","0","0","0","0","0.003","0.0002","0.002","0.003","0.097","0.0059","0.086","0.109","69000","N/A","5000"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5699000","N/A","267000"
"1 - 18-25 Years Old","TN","0.003","0.0002","0.002","0.003","0.02","0.0016","0.017","0.024","0.121","0.0084","0.105","0.138","688000","N/A","53000"
"2 - 26-34 Years Old","TN","0.003","0.0002","0.003","0.003","0.02","0.0015","0.018","0.024","0.144","0.0103","0.125","0.165","820000","N/A","61000"
"3 - 35-49 Years Old","TN","0.005","0.0003","0.004","0.005","0.021","0.0012","0.018","0.023","0.221","0.0111","0.2","0.244","1261000","N/A","73000"
"4 - 50 or Older","TN","0.009","0.0007","0.008","0.01","0.021","0.0017","0.018","0.025","0.424","0.0199","0.385","0.464","2417000","N/A","195000"
"5 - 12-17 Years Old","TN","0.002","0.0001","0.002","0.002","0.021","0.0015","0.018","0.024","0.09","0.0065","0.078","0.104","513000","N/A","37000"
"Overall","TX","0.085","0.0022","0.081","0.09","0.085","0.0022","0.081","0.09","1","0","N/A","N/A","23465000","N/A","649000"
"1 - 18-25 Years Old","TX","0.011","0.0007","0.01","0.013","0.092","0.0053","0.082","0.103","0.133","0.0076","0.119","0.149","3117000","N/A","193000"
"2 - 26-34 Years Old","TX","0.014","0.0006","0.012","0.015","0.093","0.0041","0.085","0.101","0.159","0.0064","0.146","0.171","3721000","N/A","175000"
"3 - 35-49 Years Old","TX","0.021","0.0008","0.019","0.022","0.093","0.0033","0.086","0.099","0.24","0.0061","0.229","0.253","5641000","N/A","214000"
"4 - 50 or Older","TX","0.031","0.0014","0.028","0.034","0.074","0.0032","0.068","0.081","0.362","0.0113","0.34","0.385","8500000","N/A","382000"
"5 - 12-17 Years Old","TX","0.009","0.0004","0.008","0.01","0.1","0.0039","0.092","0.108","0.106","0.0042","0.098","0.114","2486000","N/A","108000"
"Overall","UT","0.009","0.0003","0.009","0.01","0.009","0.0003","0.009","0.01","1","0","N/A","N/A","2540000","N/A","93000"
"1 - 18-25 Years Old","UT","0.001","0.0001","0.001","0.002","0.012","0.0009","0.01","0.014","0.16","0.0114","0.139","0.183","406000","N/A","30000"
"2 - 26-34 Years Old","UT","0.001","0.0001","0.001","0.002","0.01","0.0007","0.009","0.012","0.162","0.0114","0.141","0.185","411000","N/A","29000"
"3 - 35-49 Years Old","UT","0.002","0.0001","0.002","0.003","0.01","0.0006","0.009","0.011","0.239","0.0121","0.216","0.264","607000","N/A","38000"
"4 - 50 or Older","UT","0.003","0.0002","0.003","0.003","0.007","0.0005","0.006","0.008","0.316","0.0173","0.284","0.351","804000","N/A","58000"
"5 - 12-17 Years Old","UT","0.001","0.0001","0.001","0.001","0.013","0.001","0.011","0.015","0.123","0.0079","0.108","0.139","312000","N/A","24000"
"Overall","VA","0.026","0.001","0.024","0.028","0.026","0.001","0.024","0.028","1","0","N/A","N/A","7081000","N/A","284000"
"1 - 18-25 Years Old","VA","0.003","0.0002","0.003","0.004","0.026","0.0016","0.023","0.029","0.123","0.0078","0.108","0.139","869000","N/A","53000"
"2 - 26-34 Years Old","VA","0.004","0.0003","0.003","0.004","0.025","0.0021","0.021","0.03","0.143","0.0101","0.124","0.164","1011000","N/A","86000"
"3 - 35-49 Years Old","VA","0.006","0.0005","0.005","0.007","0.026","0.0021","0.022","0.031","0.226","0.0145","0.199","0.256","1603000","N/A","133000"
"4 - 50 or Older","VA","0.011","0.0006","0.01","0.012","0.026","0.0015","0.023","0.029","0.419","0.0196","0.381","0.458","2968000","N/A","177000"
"5 - 12-17 Years Old","VA","0.002","0.0001","0.002","0.003","0.025","0.0015","0.022","0.028","0.089","0.0045","0.08","0.098","630000","N/A","38000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","546000","N/A","25000"
"1 - 18-25 Years Old","VT","0","0","0","0","0.002","0.0004","0.002","0.003","0.135","0.0206","0.1","0.181","74000","N/A","12000"
"2 - 26-34 Years Old","VT","0","0","0","0","0.002","0.0001","0.001","0.002","0.121","0.0101","0.102","0.142","66000","N/A","5000"
"3 - 35-49 Years Old","VT","0","0","0","0","0.002","0.0001","0.002","0.002","0.198","0.0099","0.179","0.218","108000","N/A","7000"
"4 - 50 or Older","VT","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.471","0.0209","0.43","0.512","257000","N/A","18000"
"5 - 12-17 Years Old","VT","0","0","0","0","0.002","0.0001","0.001","0.002","0.075","0.0045","0.067","0.084","41000","N/A","2000"
"Overall","WA","0.023","0.0009","0.021","0.025","0.023","0.0009","0.021","0.025","1","0","N/A","N/A","6350000","N/A","262000"
"1 - 18-25 Years Old","WA","0.003","0.0002","0.002","0.003","0.022","0.0016","0.019","0.025","0.116","0.0096","0.099","0.136","738000","N/A","54000"
"2 - 26-34 Years Old","WA","0.004","0.0003","0.003","0.004","0.025","0.0024","0.021","0.031","0.161","0.0146","0.134","0.192","1022000","N/A","96000"
"3 - 35-49 Years Old","WA","0.005","0.0004","0.005","0.006","0.024","0.0019","0.021","0.028","0.23","0.0166","0.199","0.265","1463000","N/A","117000"
"4 - 50 or Older","WA","0.009","0.0009","0.008","0.011","0.023","0.0021","0.019","0.027","0.406","0.0291","0.351","0.465","2580000","N/A","244000"
"5 - 12-17 Years Old","WA","0.002","0.0001","0.002","0.002","0.022","0.0014","0.019","0.025","0.086","0.0062","0.075","0.099","546000","N/A","36000"
"Overall","WI","0.018","0.0008","0.016","0.02","0.018","0.0008","0.016","0.02","1","0","N/A","N/A","4920000","N/A","226000"
"1 - 18-25 Years Old","WI","0.002","0.0002","0.002","0.003","0.018","0.0013","0.016","0.021","0.125","0.0093","0.108","0.145","616000","N/A","45000"
"2 - 26-34 Years Old","WI","0.002","0.0002","0.002","0.003","0.016","0.0015","0.014","0.019","0.132","0.0111","0.112","0.155","649000","N/A","59000"
"3 - 35-49 Years Old","WI","0.004","0.0003","0.003","0.004","0.017","0.0011","0.015","0.019","0.212","0.0117","0.19","0.236","1042000","N/A","69000"
"4 - 50 or Older","WI","0.008","0.0006","0.007","0.009","0.019","0.0015","0.016","0.022","0.441","0.0221","0.398","0.485","2171000","N/A","173000"
"5 - 12-17 Years Old","WI","0.002","0.0001","0.001","0.002","0.018","0.001","0.016","0.02","0.09","0.005","0.081","0.1","443000","N/A","24000"
"Overall","WV","0.006","0.0003","0.005","0.006","0.006","0.0003","0.005","0.006","1","0","N/A","N/A","1534000","N/A","74000"
"1 - 18-25 Years Old","WV","0.001","0.0001","0.001","0.001","0.005","0.0004","0.004","0.006","0.114","0.0095","0.096","0.134","174000","N/A","14000"
"2 - 26-34 Years Old","WV","0.001","0","0.001","0.001","0.005","0.0003","0.004","0.005","0.122","0.0086","0.106","0.14","187000","N/A","12000"
"3 - 35-49 Years Old","WV","0.001","0.0001","0.001","0.001","0.005","0.0004","0.005","0.006","0.211","0.0135","0.186","0.239","324000","N/A","22000"
"4 - 50 or Older","WV","0.003","0.0002","0.002","0.003","0.006","0.0005","0.005","0.007","0.472","0.0198","0.434","0.511","724000","N/A","59000"
"5 - 12-17 Years Old","WV","0","0","0","0.001","0.005","0.0003","0.004","0.006","0.081","0.0048","0.072","0.091","125000","N/A","8000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","479000","N/A","19000"
"1 - 18-25 Years Old","WY","0","0","0","0","0.002","0.0001","0.001","0.002","0.12","0.0087","0.104","0.138","57000","N/A","4000"
"2 - 26-34 Years Old","WY","0","0","0","0","0.002","0.0001","0.001","0.002","0.141","0.0096","0.123","0.161","68000","N/A","5000"
"3 - 35-49 Years Old","WY","0","0","0","0","0.002","0.0001","0.001","0.002","0.217","0.0136","0.192","0.245","104000","N/A","7000"
"4 - 50 or Older","WY","0.001","0.0001","0.001","0.001","0.002","0.0001","0.002","0.002","0.428","0.02","0.39","0.468","205000","N/A","15000"
"5 - 12-17 Years Old","WY","0","0","0","0","0.002","0.0001","0.002","0.002","0.094","0.0053","0.084","0.105","45000","N/A","3000"
