"RC-EDUCATION CATEGORIES","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - High school grad","TN","0.006","0.0005","0.005","0.007","0.025","0.0021","0.022","0.03","0.273","0.0194","0.237","0.313","1556000","N/A","133000"
"3 - Some coll/Assoc Dg","TN","0.006","0.0004","0.005","0.007","0.021","0.0012","0.018","0.023","0.28","0.0139","0.253","0.308","1593000","N/A","97000"
"4 - College graduate","TN","0.005","0.0005","0.004","0.006","0.018","0.0016","0.015","0.021","0.248","0.0174","0.216","0.284","1415000","N/A","130000"
"5 - 12 to 17 year olds","TN","0.002","0.0001","0.002","0.002","0.021","0.0015","0.018","0.024","0.09","0.0065","0.078","0.104","513000","N/A","37000"
"Overall","TX","0.085","0.0022","0.081","0.09","0.085","0.0022","0.081","0.09","1","0","N/A","N/A","23465000","N/A","649000"
"1 - Less high school","TX","0.013","0.0008","0.012","0.015","0.12","0.0069","0.107","0.134","0.156","0.0095","0.138","0.175","3656000","N/A","224000"
"2 - High school grad","TX","0.018","0.0008","0.017","0.02","0.081","0.0033","0.075","0.088","0.212","0.0076","0.197","0.227","4968000","N/A","210000"
"3 - Some coll/Assoc Dg","TX","0.024","0.001","0.022","0.026","0.087","0.0036","0.08","0.094","0.285","0.0087","0.268","0.302","6679000","N/A","293000"
"4 - College graduate","TX","0.021","0.0013","0.018","0.023","0.07","0.0043","0.062","0.079","0.242","0.0126","0.218","0.267","5677000","N/A","363000"
"5 - 12 to 17 year olds","TX","0.009","0.0004","0.008","0.01","0.1","0.0039","0.092","0.108","0.106","0.0042","0.098","0.114","2486000","N/A","108000"
"Overall","UT","0.009","0.0003","0.009","0.01","0.009","0.0003","0.009","0.01","1","0","N/A","N/A","2540000","N/A","93000"
"1 - Less high school","UT","0.001","0.0001","0.001","0.001","0.006","0.0007","0.005","0.007","0.071","0.0085","0.056","0.089","179000","N/A","22000"
"2 - High school grad","UT","0.002","0.0001","0.002","0.002","0.009","0.0006","0.008","0.01","0.212","0.0109","0.191","0.234","538000","N/A","34000"
"3 - Some coll/Assoc Dg","UT","0.003","0.0002","0.003","0.003","0.011","0.0007","0.009","0.012","0.323","0.0128","0.299","0.349","822000","N/A","50000"
"4 - College graduate","UT","0.003","0.0002","0.002","0.003","0.009","0.0005","0.008","0.01","0.271","0.0152","0.242","0.302","689000","N/A","42000"
"5 - 12 to 17 year olds","UT","0.001","0.0001","0.001","0.001","0.013","0.001","0.011","0.015","0.123","0.0079","0.108","0.139","312000","N/A","24000"
"Overall","VA","0.026","0.001","0.024","0.028","0.026","0.001","0.024","0.028","1","0","N/A","N/A","7081000","N/A","284000"
"1 - Less high school","VA","0.002","0.0003","0.002","0.003","0.02","0.0025","0.016","0.026","0.087","0.0105","0.068","0.11","615000","N/A","76000"
"2 - High school grad","VA","0.006","0.0003","0.005","0.006","0.026","0.0015","0.023","0.029","0.222","0.0119","0.199","0.246","1570000","N/A","94000"
"3 - Some coll/Assoc Dg","VA","0.006","0.0004","0.005","0.007","0.022","0.0013","0.019","0.025","0.238","0.0126","0.214","0.264","1685000","N/A","105000"
"4 - College graduate","VA","0.009","0.0008","0.008","0.011","0.032","0.0025","0.027","0.037","0.365","0.0217","0.323","0.408","2581000","N/A","207000"
"5 - 12 to 17 year olds","VA","0.002","0.0001","0.002","0.003","0.025","0.0015","0.022","0.028","0.089","0.0045","0.08","0.098","630000","N/A","38000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","546000","N/A","25000"
"1 - Less high school","VT","0","0","0","0","0.001","0.0002","0.001","0.002","0.075","0.0088","0.059","0.094","41000","N/A","5000"
"2 - High school grad","VT","0","0","0","0.001","0.002","0.0002","0.002","0.003","0.244","0.0166","0.213","0.278","133000","N/A","11000"
"3 - Some coll/Assoc Dg","VT","0.001","0.0001","0","0.001","0.002","0.0002","0.001","0.002","0.257","0.0221","0.216","0.302","140000","N/A","15000"
"4 - College graduate","VT","0.001","0","0.001","0.001","0.002","0.0001","0.002","0.003","0.349","0.0189","0.313","0.387","191000","N/A","11000"
"5 - 12 to 17 year olds","VT","0","0","0","0","0.002","0.0001","0.001","0.002","0.075","0.0045","0.067","0.084","41000","N/A","2000"
"Overall","WA","0.023","0.0009","0.021","0.025","0.023","0.0009","0.021","0.025","1","0","N/A","N/A","6350000","N/A","262000"
"1 - Less high school","WA","0.002","0.0003","0.002","0.003","0.02","0.0028","0.015","0.026","0.097","0.0126","0.075","0.125","616000","N/A","85000"
"2 - High school grad","WA","0.005","0.0004","0.004","0.006","0.022","0.0017","0.019","0.026","0.215","0.0135","0.19","0.243","1365000","N/A","105000"
"3 - Some coll/Assoc Dg","WA","0.007","0.0004","0.006","0.008","0.025","0.0015","0.022","0.028","0.303","0.0139","0.277","0.331","1926000","N/A","115000"
"4 - College graduate","WA","0.007","0.0006","0.006","0.008","0.023","0.0019","0.02","0.028","0.299","0.0198","0.261","0.339","1897000","N/A","156000"
"5 - 12 to 17 year olds","WA","0.002","0.0001","0.002","0.002","0.022","0.0014","0.019","0.025","0.086","0.0062","0.075","0.099","546000","N/A","36000"
"Overall","WI","0.018","0.0008","0.016","0.02","0.018","0.0008","0.016","0.02","1","0","N/A","N/A","4920000","N/A","226000"
"1 - Less high school","WI","0.001","0.0002","0.001","0.002","0.011","0.0017","0.008","0.015","0.07","0.0099","0.053","0.092","342000","N/A","51000"
"2 - High school grad","WI","0.005","0.0004","0.004","0.006","0.022","0.0017","0.019","0.025","0.273","0.0179","0.239","0.309","1342000","N/A","104000"
"3 - Some coll/Assoc Dg","WI","0.005","0.0004","0.004","0.006","0.018","0.0013","0.016","0.021","0.285","0.0174","0.252","0.32","1401000","N/A","103000"
"4 - College graduate","WI","0.005","0.0005","0.004","0.006","0.017","0.0017","0.014","0.021","0.283","0.0226","0.241","0.33","1393000","N/A","140000"
"5 - 12 to 17 year olds","WI","0.002","0.0001","0.001","0.002","0.018","0.001","0.016","0.02","0.09","0.005","0.081","0.1","443000","N/A","24000"
"Overall","WV","0.006","0.0003","0.005","0.006","0.006","0.0003","0.005","0.006","1","0","N/A","N/A","1534000","N/A","74000"
"1 - Less high school","WV","0.001","0.0001","0.001","0.001","0.006","0.0008","0.005","0.008","0.128","0.0145","0.103","0.16","197000","N/A","26000"
"2 - High school grad","WV","0.002","0.0002","0.002","0.002","0.009","0.0007","0.008","0.011","0.367","0.02","0.329","0.408","564000","N/A","42000"
"3 - Some coll/Assoc Dg","WV","0.002","0.0001","0.001","0.002","0.005","0.0004","0.005","0.006","0.269","0.0154","0.24","0.3","412000","N/A","32000"
"4 - College graduate","WV","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.004","0.154","0.0149","0.127","0.186","237000","N/A","23000"
"5 - 12 to 17 year olds","WV","0","0","0","0.001","0.005","0.0003","0.004","0.006","0.081","0.0048","0.072","0.091","125000","N/A","8000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","479000","N/A","19000"
"1 - Less high school","WY","0","0","0","0","0.001","0.0001","0.001","0.001","0.064","0.0072","0.051","0.08","31000","N/A","4000"
"2 - High school grad","WY","0","0","0","0","0.002","0.0001","0.002","0.002","0.225","0.0157","0.195","0.257","108000","N/A","8000"
"3 - Some coll/Assoc Dg","WY","0.001","0","0.001","0.001","0.002","0.0001","0.002","0.003","0.383","0.0154","0.353","0.414","184000","N/A","11000"
"4 - College graduate","WY","0","0","0","0","0.001","0.0001","0.001","0.002","0.235","0.0167","0.204","0.269","113000","N/A","9000"
"5 - 12 to 17 year olds","WY","0","0","0","0","0.002","0.0001","0.002","0.002","0.094","0.0053","0.084","0.105","45000","N/A","3000"
