"COVERED BY MEDICAID/CHIP","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"97 - REFUSED","RI","0","0","0","0","0.006","0.0054","0.001","0.035","0.001","0.001","0","0.007","1000","N/A","1000"
"98 - BLANK","RI","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","SC","0.016","0.0008","0.014","0.017","0.016","0.0008","0.014","0.017","1","0","N/A","N/A","4289000","N/A","210000"
"1 - Yes","SC","0.002","0.0002","0.002","0.003","0.014","0.0013","0.012","0.017","0.147","0.0125","0.124","0.174","632000","N/A","58000"
"2 - No","SC","0.013","0.0007","0.012","0.015","0.016","0.0008","0.014","0.018","0.841","0.0119","0.817","0.863","3609000","N/A","193000"
"85 - BAD DATA Logically assigned","SC","0","0","0","0","0.148","0.0546","0.069","0.289","0.008","0.0031","0.004","0.017","33000","N/A","13000"
"94 - DON T KNOW","SC","0","0","0","0","0.004","0.0021","0.002","0.011","0.001","0.0006","0","0.003","5000","N/A","3000"
"97 - REFUSED","SC","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","SC","0","0","0","0","0.067","0.0635","0.009","0.347","0.002","0.0022","0","0.015","9000","N/A","9000"
"Overall","SD","0.003","0.0001","0.002","0.003","0.003","0.0001","0.002","0.003","1","0","N/A","N/A","718000","N/A","41000"
"1 - Yes","SD","0","0","0","0","0.002","0.0002","0.001","0.002","0.098","0.0127","0.076","0.126","70000","N/A","10000"
"2 - No","SD","0.002","0.0001","0.002","0.003","0.003","0.0002","0.003","0.003","0.897","0.0124","0.87","0.919","644000","N/A","39000"
"85 - BAD DATA Logically assigned","SD","0","0","0","0","0.016","0.0093","0.005","0.049","0.005","0.0029","0.002","0.016","4000","N/A","2000"
"94 - DON T KNOW","SD","0","0","0","0","0","0.0001","0","0.001","0","0.0002","0","0.001","0","N/A","0"
"97 - REFUSED","SD","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","SD","0","0","0","0","0.002","0.0016","0","0.012","0","0.0003","0","0.002","0","N/A","0"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5699000","N/A","267000"
"1 - Yes","TN","0.003","0.0002","0.002","0.003","0.017","0.0015","0.014","0.02","0.135","0.0127","0.112","0.162","768000","N/A","68000"
"2 - No","TN","0.018","0.001","0.016","0.02","0.022","0.0012","0.019","0.024","0.861","0.0132","0.833","0.885","4906000","N/A","267000"
"85 - BAD DATA Logically assigned","TN","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","TN","0","0","0","0","0.017","0.0082","0.007","0.043","0.004","0.0019","0.001","0.01","22000","N/A","11000"
"97 - REFUSED","TN","0","0","0","0","0.015","0.0153","0.002","0.103","0","0.0005","0","0.004","3000","N/A","3000"
"98 - BLANK","TN","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","TX","0.085","0.0022","0.081","0.09","0.085","0.0022","0.081","0.09","1","0","N/A","N/A","23465000","N/A","649000"
"1 - Yes","TX","0.008","0.0005","0.007","0.009","0.05","0.003","0.045","0.057","0.097","0.0058","0.086","0.109","2277000","N/A","138000"
"2 - No","TX","0.077","0.0022","0.073","0.081","0.093","0.0026","0.088","0.098","0.899","0.0058","0.886","0.909","21084000","N/A","624000"
"85 - BAD DATA Logically assigned","TX","0","0","0","0","0.081","0.0391","0.03","0.198","0.001","0.0004","0","0.002","18000","N/A","9000"
"94 - DON T KNOW","TX","0","0.0001","0","0","0.062","0.0137","0.04","0.095","0.003","0.0007","0.002","0.005","77000","N/A","17000"
"97 - REFUSED","TX","0","0","0","0","0.048","0.0332","0.012","0.174","0","0.0003","0","0.001","9000","N/A","6000"
"98 - BLANK","TX","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","UT","0.009","0.0003","0.009","0.01","0.009","0.0003","0.009","0.01","1","0","N/A","N/A","2540000","N/A","93000"
"1 - Yes","UT","0","0.0001","0","0.001","0.003","0.0004","0.002","0.004","0.05","0.0072","0.037","0.066","126000","N/A","19000"
"2 - No","UT","0.009","0.0003","0.008","0.009","0.011","0.0004","0.01","0.011","0.949","0.0073","0.933","0.962","2411000","N/A","90000"
"85 - BAD DATA Logically assigned","UT","0","0","0","0","0.005","0.0046","0.001","0.033","0","0.0004","0","0.003","1000","N/A","1000"
"94 - DON T KNOW","UT","0","0","0","0","0.002","0.0014","0","0.008","0.001","0.0007","0","0.004","2000","N/A","2000"
"97 - REFUSED","UT","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","UT","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","VA","0.026","0.001","0.024","0.028","0.026","0.001","0.024","0.028","1","0","N/A","N/A","7081000","N/A","284000"
"1 - Yes","VA","0.002","0.0003","0.002","0.003","0.015","0.0018","0.012","0.019","0.094","0.0112","0.074","0.118","664000","N/A","82000"
"2 - No","VA","0.023","0.001","0.022","0.025","0.028","0.0012","0.026","0.031","0.906","0.0112","0.881","0.925","6413000","N/A","274000"
"85 - BAD DATA Logically assigned","VA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","VA","0","0","0","0","0.002","0.0013","0.001","0.007","0","0.0002","0","0.001","3000","N/A","2000"
"97 - REFUSED","VA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","VA","0","0","0","0","0","0.0003","0","0.002","0","0","0","0","0","N/A","0"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","546000","N/A","25000"
"1 - Yes","VT","0","0","0","0","0.002","0.0002","0.002","0.003","0.205","0.0162","0.175","0.239","112000","N/A","11000"
"2 - No","VT","0.002","0.0001","0.001","0.002","0.002","0.0001","0.002","0.002","0.79","0.0162","0.756","0.82","431000","N/A","21000"
"85 - BAD DATA Logically assigned","VT","0","0","0","0","0","0.0004","0","0.003","0","0.0001","0","0.001","0","N/A","0"
"94 - DON T KNOW","VT","0","0","0","0","0.001","0.0003","0.001","0.002","0.002","0.0006","0.001","0.003","1000","N/A","0"
"97 - REFUSED","VT","0","0","0","0","0.001","0.0007","0","0.004","0","0.0002","0","0.001","0","N/A","0"
"98 - BLANK","VT","0","0","0","0","0.009","0.0074","0.002","0.043","0.002","0.0019","0.001","0.011","1000","N/A","1000"
"Overall","WA","0.023","0.0009","0.021","0.025","0.023","0.0009","0.021","0.025","1","0","N/A","N/A","6350000","N/A","262000"
"1 - Yes","WA","0.004","0.0004","0.003","0.005","0.025","0.0025","0.021","0.031","0.181","0.0162","0.151","0.215","1149000","N/A","115000"
"2 - No","WA","0.019","0.0008","0.017","0.02","0.023","0.001","0.021","0.025","0.81","0.0163","0.776","0.84","5142000","N/A","232000"
"85 - BAD DATA Logically assigned","WA","0","0","0","0","0.078","0.0432","0.026","0.216","0.003","0.0016","0.001","0.009","18000","N/A","10000"
"94 - DON T KNOW","WA","0","0","0","0","0.03","0.0105","0.015","0.059","0.006","0.0021","0.003","0.012","38000","N/A","13000"
"97 - REFUSED","WA","0","0","0","0","0.015","0.0107","0.004","0.06","0","0.0003","0","0.002","3000","N/A","2000"
"98 - BLANK","WA","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","WI","0.018","0.0008","0.016","0.02","0.018","0.0008","0.016","0.02","1","0","N/A","N/A","4920000","N/A","226000"
"1 - Yes","WI","0.002","0.0002","0.002","0.002","0.011","0.0012","0.009","0.014","0.105","0.0105","0.086","0.127","517000","N/A","53000"
"2 - No","WI","0.016","0.0008","0.014","0.018","0.019","0.0009","0.017","0.021","0.888","0.0109","0.865","0.908","4371000","N/A","215000"
"85 - BAD DATA Logically assigned","WI","0","0","0","0","0.03","0.0226","0.007","0.124","0.001","0.001","0","0.006","7000","N/A","5000"
"94 - DON T KNOW","WI","0","0","0","0","0.019","0.0071","0.009","0.039","0.005","0.0018","0.002","0.01","24000","N/A","9000"
"97 - REFUSED","WI","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","WI","0","0","0","0","0.01","0.0097","0.001","0.067","0","0.0003","0","0.002","1000","N/A","1000"
"Overall","WV","0.006","0.0003","0.005","0.006","0.006","0.0003","0.005","0.006","1","0","N/A","N/A","1534000","N/A","74000"
"1 - Yes","WV","0.001","0.0001","0.001","0.002","0.009","0.0007","0.007","0.01","0.256","0.016","0.226","0.289","393000","N/A","30000"
"2 - No","WV","0.004","0.0002","0.004","0.005","0.005","0.0003","0.004","0.005","0.731","0.0158","0.699","0.761","1122000","N/A","61000"
"85 - BAD DATA Logically assigned","WV","0","0","0","0","0.044","0.0216","0.016","0.112","0.006","0.0031","0.002","0.017","10000","N/A","5000"
"94 - DON T KNOW","WV","0","0","0","0","0.007","0.0033","0.003","0.018","0.006","0.0026","0.002","0.014","8000","N/A","4000"
"97 - REFUSED","WV","0","0","0","0","0.004","0.0028","0.001","0.016","0","0.0003","0","0.002","1000","N/A","0"
"98 - BLANK","WV","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","479000","N/A","19000"
"1 - Yes","WY","0","0","0","0","0.001","0.0001","0.001","0.001","0.084","0.0089","0.068","0.103","40000","N/A","5000"
"2 - No","WY","0.002","0.0001","0.001","0.002","0.002","0.0001","0.002","0.002","0.916","0.0091","0.896","0.932","439000","N/A","17000"
"85 - BAD DATA Logically assigned","WY","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","WY","0","0","0","0","0","0.0001","0","0.001","0","0.0002","0","0.001","0","N/A","0"
"97 - REFUSED","WY","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","WY","0","0","0","0","0.002","0.0018","0","0.013","0.001","0.0005","0","0.004","0","N/A","0"
