"RC-POVERTY LEVEL-NEW INC (% OF US CENSUS POVERTY THRESHOLD)","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5699000","N/A","267000"
"1 - Living in Poverty","TN","0.003","0.0003","0.003","0.004","0.022","0.0021","0.019","0.027","0.151","0.0152","0.124","0.184","863000","N/A","80000"
"2 - Income Up to 2X Fed Pov Thresh","TN","0.005","0.0005","0.004","0.006","0.026","0.0023","0.022","0.031","0.249","0.0185","0.214","0.287","1418000","N/A","126000"
"3 - Income More Than 2X Fed Pov Thresh","TN","0.012","0.0009","0.011","0.014","0.019","0.0013","0.016","0.022","0.6","0.0268","0.546","0.651","3418000","N/A","243000"
"Overall","TX","0.085","0.0023","0.081","0.09","0.085","0.0023","0.081","0.09","1","0","N/A","N/A","23304000","N/A","651000"
"1 - Living in Poverty","TX","0.015","0.0008","0.014","0.017","0.108","0.0053","0.098","0.119","0.179","0.0092","0.162","0.198","4172000","N/A","221000"
"2 - Income Up to 2X Fed Pov Thresh","TX","0.018","0.0008","0.017","0.02","0.094","0.0039","0.087","0.102","0.217","0.0091","0.2","0.235","5054000","N/A","222000"
"3 - Income More Than 2X Fed Pov Thresh","TX","0.051","0.0021","0.047","0.056","0.078","0.0032","0.072","0.084","0.604","0.0154","0.574","0.634","14078000","N/A","603000"
"Overall","UT","0.009","0.0003","0.009","0.01","0.009","0.0003","0.009","0.01","1","0","N/A","N/A","2540000","N/A","93000"
"1 - Living in Poverty","UT","0.001","0.0001","0.001","0.001","0.005","0.0007","0.004","0.007","0.082","0.01","0.064","0.104","207000","N/A","27000"
"2 - Income Up to 2X Fed Pov Thresh","UT","0.002","0.0001","0.002","0.002","0.009","0.0006","0.008","0.01","0.193","0.0127","0.169","0.219","489000","N/A","34000"
"3 - Income More Than 2X Fed Pov Thresh","UT","0.007","0.0003","0.006","0.007","0.01","0.0005","0.009","0.011","0.726","0.0171","0.691","0.758","1843000","N/A","85000"
"Overall","VA","0.026","0.001","0.024","0.028","0.026","0.001","0.024","0.028","1","0","N/A","N/A","7080000","N/A","284000"
"1 - Living in Poverty","VA","0.002","0.0003","0.002","0.003","0.017","0.0024","0.013","0.023","0.095","0.0128","0.072","0.123","670000","N/A","93000"
"2 - Income Up to 2X Fed Pov Thresh","VA","0.004","0.0003","0.004","0.005","0.021","0.0017","0.018","0.025","0.159","0.0133","0.135","0.187","1129000","N/A","91000"
"3 - Income More Than 2X Fed Pov Thresh","VA","0.019","0.001","0.017","0.021","0.029","0.0015","0.026","0.032","0.746","0.0198","0.705","0.783","5282000","N/A","283000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","535000","N/A","23000"
"1 - Living in Poverty","VT","0","0","0","0","0.001","0.0002","0.001","0.002","0.105","0.0131","0.082","0.134","56000","N/A","8000"
"2 - Income Up to 2X Fed Pov Thresh","VT","0","0","0","0","0.002","0.0002","0.002","0.002","0.187","0.0161","0.158","0.221","100000","N/A","10000"
"3 - Income More Than 2X Fed Pov Thresh","VT","0.001","0.0001","0.001","0.002","0.002","0.0001","0.002","0.002","0.707","0.021","0.665","0.747","378000","N/A","18000"
"Overall","WA","0.023","0.001","0.021","0.025","0.023","0.001","0.021","0.025","1","0","N/A","N/A","6318000","N/A","267000"
"1 - Living in Poverty","WA","0.003","0.0003","0.002","0.003","0.018","0.0021","0.015","0.023","0.112","0.0127","0.089","0.139","706000","N/A","82000"
"2 - Income Up to 2X Fed Pov Thresh","WA","0.004","0.0004","0.003","0.005","0.021","0.0021","0.017","0.026","0.179","0.016","0.15","0.213","1133000","N/A","113000"
"3 - Income More Than 2X Fed Pov Thresh","WA","0.016","0.0008","0.015","0.018","0.025","0.0013","0.022","0.027","0.709","0.0195","0.669","0.746","4478000","N/A","232000"
"Overall","WI","0.018","0.0008","0.016","0.02","0.018","0.0008","0.016","0.02","1","0","N/A","N/A","4919000","N/A","226000"
"1 - Living in Poverty","WI","0.001","0.0002","0.001","0.002","0.009","0.0013","0.007","0.012","0.074","0.0096","0.058","0.096","366000","N/A","50000"
"2 - Income Up to 2X Fed Pov Thresh","WI","0.003","0.0003","0.002","0.004","0.015","0.0016","0.012","0.019","0.167","0.0157","0.139","0.2","823000","N/A","86000"
"3 - Income More Than 2X Fed Pov Thresh","WI","0.014","0.0007","0.012","0.015","0.021","0.0011","0.019","0.023","0.758","0.0206","0.716","0.796","3731000","N/A","199000"
"Overall","WV","0.006","0.0003","0.005","0.006","0.006","0.0003","0.005","0.006","1","0","N/A","N/A","1531000","N/A","74000"
"1 - Living in Poverty","WV","0.001","0.0001","0.001","0.001","0.009","0.0007","0.007","0.01","0.216","0.0149","0.188","0.246","330000","N/A","27000"
"2 - Income Up to 2X Fed Pov Thresh","WV","0.001","0.0001","0.001","0.002","0.007","0.0005","0.006","0.008","0.242","0.0135","0.217","0.27","371000","N/A","28000"
"3 - Income More Than 2X Fed Pov Thresh","WV","0.003","0.0002","0.003","0.003","0.005","0.0003","0.004","0.005","0.542","0.0174","0.508","0.576","830000","N/A","49000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","477000","N/A","19000"
"1 - Living in Poverty","WY","0","0","0","0","0.001","0.0002","0.001","0.002","0.105","0.0133","0.082","0.134","50000","N/A","7000"
"2 - Income Up to 2X Fed Pov Thresh","WY","0","0","0","0","0.002","0.0001","0.002","0.002","0.207","0.0136","0.181","0.235","99000","N/A","7000"
"3 - Income More Than 2X Fed Pov Thresh","WY","0.001","0.0001","0.001","0.001","0.002","0.0001","0.002","0.002","0.688","0.0201","0.647","0.726","328000","N/A","17000"
