"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"0 - Did not misuse in the past year","FL","0.066","0.0028","0.061","0.072","0.068","0.0028","0.063","0.074","0.978","0.0032","0.971","0.983","18525000","N/A","808000"
"1 - Misused within the past year","FL","0.001","0.0002","0.001","0.002","0.049","0.0071","0.037","0.065","0.022","0.0032","0.017","0.029","419000","N/A","62000"
"Overall","GA","0.032","0.0019","0.029","0.036","0.032","0.0019","0.029","0.036","1","0","N/A","N/A","9064000","N/A","548000"
"0 - Did not misuse in the past year","GA","0.031","0.0019","0.028","0.035","0.032","0.0019","0.029","0.036","0.972","0.0041","0.963","0.979","8808000","N/A","534000"
"1 - Misused within the past year","GA","0.001","0.0001","0.001","0.001","0.03","0.0046","0.022","0.04","0.028","0.0041","0.021","0.037","256000","N/A","40000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1186000","N/A","91000"
"0 - Did not misuse in the past year","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","0.967","0.0082","0.947","0.98","1147000","N/A","89000"
"1 - Misused within the past year","HI","0","0","0","0","0.005","0.0012","0.003","0.008","0.033","0.0082","0.02","0.053","39000","N/A","10000"
"Overall","IA","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2687000","N/A","146000"
"0 - Did not misuse in the past year","IA","0.009","0.0005","0.008","0.01","0.01","0.0005","0.009","0.011","0.972","0.0083","0.95","0.984","2612000","N/A","145000"
"1 - Misused within the past year","IA","0","0.0001","0","0","0.009","0.0026","0.005","0.016","0.028","0.0083","0.016","0.05","75000","N/A","22000"
"Overall","ID","0.006","0.0005","0.005","0.007","0.006","0.0005","0.005","0.007","1","0","N/A","N/A","1602000","N/A","153000"
"0 - Did not misuse in the past year","ID","0.006","0.0005","0.005","0.007","0.006","0.0005","0.005","0.007","0.965","0.0075","0.946","0.977","1546000","N/A","148000"
"1 - Misused within the past year","ID","0","0","0","0","0.007","0.0016","0.004","0.011","0.035","0.0075","0.023","0.054","57000","N/A","13000"
"Overall","IL","0.038","0.002","0.034","0.042","0.038","0.002","0.034","0.042","1","0","N/A","N/A","10700000","N/A","591000"
"0 - Did not misuse in the past year","IL","0.037","0.002","0.033","0.041","0.038","0.0021","0.034","0.043","0.973","0.0043","0.964","0.981","10416000","N/A","577000"
"1 - Misused within the past year","IL","0.001","0.0002","0.001","0.001","0.033","0.0056","0.024","0.046","0.027","0.0043","0.019","0.036","284000","N/A","49000"
"Overall","IN","0.02","0.0015","0.018","0.023","0.02","0.0015","0.018","0.023","1","0","N/A","N/A","5711000","N/A","414000"
"0 - Did not misuse in the past year","IN","0.02","0.0014","0.017","0.023","0.02","0.0015","0.018","0.023","0.969","0.0054","0.956","0.978","5532000","N/A","400000"
"1 - Misused within the past year","IN","0.001","0.0001","0","0.001","0.021","0.004","0.014","0.03","0.031","0.0054","0.022","0.044","179000","N/A","35000"
"Overall","KS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2428000","N/A","144000"
"0 - Did not misuse in the past year","KS","0.008","0.0005","0.007","0.009","0.009","0.0005","0.008","0.01","0.968","0.0057","0.955","0.978","2351000","N/A","144000"
"1 - Misused within the past year","KS","0","0","0","0","0.009","0.0016","0.006","0.013","0.032","0.0057","0.022","0.045","77000","N/A","13000"
"Overall","KY","0.013","0.0009","0.012","0.015","0.013","0.0009","0.012","0.015","1","0","N/A","N/A","3775000","N/A","253000"
"0 - Did not misuse in the past year","KY","0.013","0.0009","0.011","0.015","0.013","0.0009","0.012","0.015","0.961","0.0046","0.951","0.97","3629000","N/A","248000"
"1 - Misused within the past year","KY","0.001","0.0001","0","0.001","0.017","0.0021","0.013","0.022","0.039","0.0046","0.03","0.049","145000","N/A","18000"
"Overall","LA","0.014","0.0012","0.011","0.016","0.014","0.0012","0.011","0.016","1","0","N/A","N/A","3815000","N/A","333000"
"0 - Did not misuse in the past year","LA","0.013","0.0011","0.011","0.015","0.013","0.0012","0.011","0.016","0.953","0.0057","0.941","0.963","3636000","N/A","327000"
"1 - Misused within the past year","LA","0.001","0.0001","0.001","0.001","0.021","0.0025","0.016","0.026","0.047","0.0057","0.037","0.059","179000","N/A","21000"
"Overall","MA","0.022","0.0014","0.019","0.025","0.022","0.0014","0.019","0.025","1","0","N/A","N/A","6059000","N/A","401000"
"0 - Did not misuse in the past year","MA","0.021","0.0014","0.018","0.024","0.022","0.0015","0.019","0.025","0.975","0.0064","0.959","0.985","5905000","N/A","400000"
"1 - Misused within the past year","MA","0.001","0.0001","0","0.001","0.018","0.0044","0.011","0.029","0.025","0.0064","0.015","0.041","154000","N/A","38000"
"Overall","MD","0.018","0.001","0.017","0.021","0.018","0.001","0.017","0.021","1","0","N/A","N/A","5196000","N/A","293000"
"0 - Did not misuse in the past year","MD","0.018","0.001","0.016","0.02","0.018","0.001","0.016","0.02","0.955","0.0077","0.937","0.967","4960000","N/A","287000"
"1 - Misused within the past year","MD","0.001","0.0001","0.001","0.001","0.028","0.0047","0.02","0.038","0.045","0.0077","0.033","0.063","236000","N/A","40000"
"Overall","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","1","0","N/A","N/A","1207000","N/A","111000"
"0 - Did not misuse in the past year","ME","0.004","0.0004","0.004","0.005","0.004","0.0004","0.004","0.005","0.987","0.0036","0.978","0.993","1191000","N/A","111000"
"1 - Misused within the past year","ME","0","0","0","0","0.002","0.0005","0.001","0.003","0.013","0.0036","0.007","0.022","15000","N/A","4000"
"Overall","MI","0.031","0.0014","0.028","0.033","0.031","0.0014","0.028","0.033","1","0","N/A","N/A","8578000","N/A","398000"
"0 - Did not misuse in the past year","MI","0.03","0.0014","0.027","0.033","0.031","0.0014","0.028","0.034","0.977","0.0028","0.97","0.982","8379000","N/A","393000"
"1 - Misused within the past year","MI","0.001","0.0001","0.001","0.001","0.023","0.0029","0.018","0.03","0.023","0.0028","0.018","0.03","200000","N/A","25000"
"Overall","MN","0.017","0.0012","0.015","0.02","0.017","0.0012","0.015","0.02","1","0","N/A","N/A","4815000","N/A","330000"
"0 - Did not misuse in the past year","MN","0.017","0.0011","0.015","0.019","0.017","0.0012","0.015","0.02","0.978","0.0051","0.965","0.986","4708000","N/A","324000"
"1 - Misused within the past year","MN","0","0.0001","0","0.001","0.012","0.003","0.008","0.02","0.022","0.0051","0.014","0.035","106000","N/A","26000"
"Overall","MO","0.018","0.0018","0.015","0.022","0.018","0.0018","0.015","0.022","1","0","N/A","N/A","5193000","N/A","521000"
"0 - Did not misuse in the past year","MO","0.018","0.0017","0.015","0.021","0.018","0.0018","0.015","0.022","0.956","0.009","0.935","0.971","4965000","N/A","500000"
"1 - Misused within the past year","MO","0.001","0.0002","0.001","0.001","0.027","0.006","0.017","0.041","0.044","0.009","0.029","0.065","228000","N/A","52000"
"Overall","MS","0.009","0.0005","0.008","0.01","0.009","0.0005","0.008","0.01","1","0","N/A","N/A","2447000","N/A","153000"
"0 - Did not misuse in the past year","MS","0.008","0.0005","0.007","0.01","0.009","0.0006","0.008","0.01","0.964","0.0077","0.945","0.976","2358000","N/A","151000"
"1 - Misused within the past year","MS","0","0.0001","0","0","0.01","0.0022","0.007","0.016","0.036","0.0077","0.024","0.055","89000","N/A","19000"
"Overall","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","948000","N/A","91000"
"0 - Did not misuse in the past year","MT","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","0.974","0.0059","0.959","0.983","923000","N/A","88000"
"1 - Misused within the past year","MT","0","0","0","0","0.003","0.0007","0.002","0.005","0.026","0.0059","0.017","0.041","25000","N/A","6000"
"Overall","NC","0.032","0.0017","0.029","0.035","0.032","0.0017","0.029","0.035","1","0","N/A","N/A","8950000","N/A","481000"
"0 - Did not misuse in the past year","NC","0.031","0.0017","0.028","0.035","0.032","0.0018","0.029","0.036","0.973","0.0044","0.963","0.981","8712000","N/A","483000"
"1 - Misused within the past year","NC","0.001","0.0001","0.001","0.001","0.028","0.0043","0.02","0.038","0.027","0.0044","0.019","0.037","238000","N/A","37000"
"Overall","ND","0.002","0.0003","0.002","0.003","0.002","0.0003","0.002","0.003","1","0","N/A","N/A","637000","N/A","74000"
"0 - Did not misuse in the past year","ND","0.002","0.0003","0.002","0.003","0.002","0.0003","0.002","0.003","0.977","0.0118","0.938","0.992","622000","N/A","70000"
"1 - Misused within the past year","ND","0","0","0","0","0.002","0.001","0.001","0.005","0.023","0.0118","0.008","0.062","14000","N/A","8000"
"Overall","NE","0.006","0.0003","0.005","0.007","0.006","0.0003","0.005","0.007","1","0","N/A","N/A","1627000","N/A","96000"
"0 - Did not misuse in the past year","NE","0.006","0.0003","0.005","0.006","0.006","0.0003","0.005","0.007","0.981","0.0056","0.966","0.989","1595000","N/A","94000"
"1 - Misused within the past year","NE","0","0","0","0","0.004","0.0011","0.002","0.007","0.019","0.0056","0.011","0.034","31000","N/A","9000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1218000","N/A","82000"
"0 - Did not misuse in the past year","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","0.982","0.0049","0.969","0.99","1196000","N/A","82000"
"1 - Misused within the past year","NH","0","0","0","0","0.003","0.0007","0.002","0.004","0.018","0.0049","0.01","0.031","22000","N/A","6000"
"Overall","NJ","0.028","0.0021","0.024","0.033","0.028","0.0021","0.024","0.033","1","0","N/A","N/A","7881000","N/A","605000"
"0 - Did not misuse in the past year","NJ","0.027","0.002","0.024","0.032","0.028","0.0021","0.024","0.033","0.974","0.0052","0.961","0.982","7673000","N/A","582000"
"1 - Misused within the past year","NJ","0.001","0.0002","0","0.001","0.024","0.0054","0.016","0.038","0.026","0.0052","0.018","0.039","208000","N/A","47000"
"Overall","NM","0.006","0.0005","0.006","0.007","0.006","0.0005","0.006","0.007","1","0","N/A","N/A","1786000","N/A","128000"
"0 - Did not misuse in the past year","NM","0.006","0.0004","0.005","0.007","0.006","0.0005","0.005","0.007","0.955","0.0085","0.935","0.97","1706000","N/A","124000"
"1 - Misused within the past year","NM","0","0.0001","0","0","0.009","0.0019","0.006","0.014","0.045","0.0085","0.03","0.065","79000","N/A","16000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2679000","N/A","210000"
"0 - Did not misuse in the past year","NV","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","0.948","0.0086","0.928","0.962","2539000","N/A","197000"
"1 - Misused within the past year","NV","0","0.0001","0","0.001","0.016","0.0031","0.011","0.024","0.052","0.0086","0.038","0.072","140000","N/A","27000"
"Overall","NY","0.06","0.0031","0.054","0.066","0.06","0.0031","0.054","0.066","1","0","N/A","N/A","16897000","N/A","892000"
"0 - Did not misuse in the past year","NY","0.058","0.003","0.053","0.065","0.06","0.0031","0.054","0.067","0.971","0.004","0.962","0.978","16410000","N/A","874000"
"1 - Misused within the past year","NY","0.002","0.0002","0.001","0.002","0.057","0.0079","0.043","0.074","0.029","0.004","0.022","0.038","487000","N/A","70000"
"Overall","OH","0.035","0.0016","0.032","0.039","0.035","0.0016","0.032","0.039","1","0","N/A","N/A","9941000","N/A","457000"
"0 - Did not misuse in the past year","OH","0.034","0.0016","0.031","0.037","0.035","0.0016","0.032","0.039","0.968","0.0039","0.959","0.975","9621000","N/A","441000"
"1 - Misused within the past year","OH","0.001","0.0001","0.001","0.001","0.037","0.0049","0.029","0.048","0.032","0.0039","0.025","0.041","320000","N/A","42000"
"Overall","OK","0.012","0.0008","0.01","0.014","0.012","0.0008","0.01","0.014","1","0","N/A","N/A","3304000","N/A","234000"
"0 - Did not misuse in the past year","OK","0.011","0.0008","0.01","0.013","0.012","0.0009","0.01","0.013","0.96","0.0078","0.941","0.973","3171000","N/A","232000"
"1 - Misused within the past year","OK","0","0.0001","0","0.001","0.016","0.003","0.011","0.023","0.04","0.0078","0.027","0.059","133000","N/A","26000"
"Overall","OR","0.013","0.0008","0.012","0.015","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","3664000","N/A","216000"
"0 - Did not misuse in the past year","OR","0.013","0.0007","0.011","0.014","0.013","0.0008","0.012","0.014","0.96","0.0076","0.942","0.973","3518000","N/A","204000"
"1 - Misused within the past year","OR","0.001","0.0001","0","0.001","0.017","0.0035","0.011","0.026","0.04","0.0076","0.027","0.058","146000","N/A","31000"
"Overall","PA","0.039","0.002","0.036","0.044","0.039","0.002","0.036","0.044","1","0","N/A","N/A","11085000","N/A","589000"
"0 - Did not misuse in the past year","PA","0.038","0.002","0.035","0.042","0.039","0.002","0.036","0.044","0.97","0.0042","0.96","0.977","10747000","N/A","565000"
"1 - Misused within the past year","PA","0.001","0.0002","0.001","0.002","0.039","0.0059","0.029","0.053","0.03","0.0042","0.023","0.04","338000","N/A","52000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","947000","N/A","77000"
"0 - Did not misuse in the past year","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","0.963","0.0107","0.935","0.979","912000","N/A","76000"
"1 - Misused within the past year","RI","0","0","0","0","0.004","0.0012","0.002","0.007","0.037","0.0107","0.021","0.065","35000","N/A","10000"
"Overall","SC","0.016","0.0013","0.013","0.019","0.016","0.0013","0.013","0.019","1","0","N/A","N/A","4434000","N/A","364000"
"0 - Did not misuse in the past year","SC","0.015","0.0012","0.013","0.018","0.016","0.0013","0.013","0.019","0.971","0.0061","0.956","0.981","4307000","N/A","352000"
"1 - Misused within the past year","SC","0","0.0001","0","0.001","0.015","0.0035","0.009","0.024","0.029","0.0061","0.019","0.044","128000","N/A","30000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","741000","N/A","51000"
"0 - Did not misuse in the past year","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","0.979","0.0065","0.962","0.989","726000","N/A","50000"
"1 - Misused within the past year","SD","0","0","0","0","0.002","0.0006","0.001","0.003","0.021","0.0065","0.011","0.038","15000","N/A","5000"
"Overall","TN","0.021","0.0014","0.019","0.024","0.021","0.0014","0.019","0.024","1","0","N/A","N/A","5919000","N/A","383000"
"0 - Did not misuse in the past year","TN","0.02","0.0013","0.018","0.023","0.021","0.0014","0.018","0.024","0.958","0.0091","0.936","0.973","5670000","N/A","373000"
"1 - Misused within the past year","TN","0.001","0.0002","0.001","0.001","0.029","0.0063","0.019","0.044","0.042","0.0091","0.027","0.064","249000","N/A","55000"
"Overall","TX","0.087","0.0037","0.08","0.095","0.087","0.0037","0.08","0.095","1","0","N/A","N/A","24492000","N/A","1109000"
"0 - Did not misuse in the past year","TX","0.085","0.0036","0.078","0.092","0.087","0.0037","0.08","0.095","0.969","0.0033","0.962","0.975","23739000","N/A","1091000"
"1 - Misused within the past year","TX","0.003","0.0003","0.002","0.003","0.088","0.0092","0.071","0.108","0.031","0.0033","0.025","0.038","752000","N/A","82000"
"Overall","UT","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2735000","N/A","209000"
"0 - Did not misuse in the past year","UT","0.009","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","0.964","0.0061","0.95","0.974","2636000","N/A","201000"
"1 - Misused within the past year","UT","0","0.0001","0","0.001","0.012","0.0022","0.008","0.017","0.036","0.0061","0.026","0.05","99000","N/A","19000"
"Overall","VA","0.026","0.0014","0.023","0.029","0.026","0.0014","0.023","0.029","1","0","N/A","N/A","7254000","N/A","382000"
"0 - Did not misuse in the past year","VA","0.025","0.0013","0.023","0.028","0.026","0.0013","0.023","0.029","0.973","0.0051","0.961","0.982","7059000","N/A","367000"
"1 - Misused within the past year","VA","0.001","0.0001","0","0.001","0.023","0.0047","0.015","0.034","0.027","0.0051","0.018","0.039","195000","N/A","40000"
"Overall","VT","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","568000","N/A","45000"
"0 - Did not misuse in the past year","VT","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","0.975","0.0062","0.959","0.984","554000","N/A","43000"
"1 - Misused within the past year","VT","0","0","0","0","0.002","0.0004","0.001","0.003","0.025","0.0062","0.016","0.041","14000","N/A","4000"
"Overall","WA","0.023","0.0016","0.02","0.027","0.023","0.0016","0.02","0.027","1","0","N/A","N/A","6575000","N/A","455000"
"0 - Did not misuse in the past year","WA","0.023","0.0016","0.02","0.026","0.024","0.0016","0.021","0.027","0.976","0.0045","0.965","0.984","6419000","N/A","447000"
"1 - Misused within the past year","WA","0.001","0.0001","0","0.001","0.018","0.0036","0.012","0.027","0.024","0.0045","0.016","0.035","157000","N/A","31000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5031000","N/A","296000"
"0 - Did not misuse in the past year","WI","0.017","0.001","0.016","0.02","0.018","0.0011","0.016","0.02","0.977","0.0043","0.967","0.984","4916000","N/A","288000"
"1 - Misused within the past year","WI","0","0.0001","0","0.001","0.014","0.0027","0.009","0.02","0.023","0.0043","0.016","0.033","116000","N/A","23000"
"Overall","WV","0.005","0.0005","0.005","0.006","0.005","0.0005","0.005","0.006","1","0","N/A","N/A","1525000","N/A","136000"
"0 - Did not misuse in the past year","WV","0.005","0.0005","0.004","0.006","0.005","0.0005","0.005","0.006","0.964","0.0081","0.945","0.977","1470000","N/A","133000"
"1 - Misused within the past year","WV","0","0","0","0","0.006","0.0015","0.004","0.01","0.036","0.0081","0.023","0.055","55000","N/A","13000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","488000","N/A","34000"
"0 - Did not misuse in the past year","WY","0.002","0.0001","0.001","0.002","0.002","0.0001","0.002","0.002","0.967","0.0056","0.954","0.977","472000","N/A","34000"
"1 - Misused within the past year","WY","0","0","0","0","0.002","0.0003","0.001","0.003","0.033","0.0056","0.023","0.046","16000","N/A","3000"
