"COVERED BY MEDICAID/CHIP","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"94 - DON T KNOW","NC","0","0.0001","0","0.001","0.048","0.0244","0.017","0.126","0.006","0.0031","0.002","0.017","55000","N/A","29000"
"97 - REFUSED","NC","0","0","0","0","0.072","0.0466","0.019","0.234","0.002","0.0013","0.001","0.007","17000","N/A","12000"
"98 - BLANK","NC","0.001","0.0002","0.001","0.001","0.039","0.0055","0.029","0.051","0.034","0.0048","0.026","0.045","304000","N/A","44000"
"Overall","ND","0.002","0.0003","0.002","0.003","0.002","0.0003","0.002","0.003","1","0","N/A","N/A","637000","N/A","74000"
"1 - Yes","ND","0","0.0001","0","0","0.001","0.0003","0.001","0.002","0.117","0.0171","0.087","0.155","74000","N/A","14000"
"2 - No","ND","0.002","0.0002","0.002","0.002","0.002","0.0003","0.002","0.003","0.842","0.0164","0.807","0.872","536000","N/A","65000"
"85 - BAD DATA Logically assigned","ND","0","0","0","0","0.003","0.0023","0.001","0.014","0.001","0.0012","0","0.008","1000","N/A","1000"
"94 - DON T KNOW","ND","0","0","0","0","0.001","0.0005","0","0.003","0.002","0.0009","0","0.005","1000","N/A","1000"
"97 - REFUSED","ND","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","ND","0","0","0","0","0.003","0.0007","0.002","0.005","0.038","0.0093","0.023","0.061","24000","N/A","5000"
"Overall","NE","0.006","0.0003","0.005","0.007","0.006","0.0003","0.005","0.007","1","0","N/A","N/A","1627000","N/A","96000"
"1 - Yes","NE","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.121","0.011","0.101","0.144","197000","N/A","19000"
"2 - No","NE","0.005","0.0003","0.004","0.006","0.007","0.0004","0.006","0.007","0.862","0.0119","0.837","0.884","1402000","N/A","90000"
"85 - BAD DATA Logically assigned","NE","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","NE","0","0","0","0","0.004","0.0012","0.002","0.007","0.003","0.0008","0.002","0.005","5000","N/A","1000"
"97 - REFUSED","NE","0","0","0","0","0.005","0.0052","0.001","0.036","0.001","0.0008","0","0.005","1000","N/A","1000"
"98 - BLANK","NE","0","0","0","0","0.003","0.0005","0.002","0.004","0.014","0.0024","0.01","0.019","22000","N/A","4000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1218000","N/A","82000"
"1 - Yes","NH","0.001","0.0001","0","0.001","0.003","0.0003","0.002","0.003","0.12","0.0137","0.096","0.15","146000","N/A","16000"
"2 - No","NH","0.004","0.0003","0.003","0.004","0.005","0.0004","0.004","0.006","0.844","0.0139","0.815","0.869","1028000","N/A","76000"
"85 - BAD DATA Logically assigned","NH","0","0","0","0","0.004","0.0027","0.001","0.016","0.001","0.0008","0","0.004","1000","N/A","1000"
"94 - DON T KNOW","NH","0","0","0","0","0.003","0.0011","0.002","0.006","0.003","0.001","0.002","0.006","4000","N/A","1000"
"97 - REFUSED","NH","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","NH","0","0","0","0","0.005","0.0013","0.003","0.008","0.032","0.0079","0.02","0.051","39000","N/A","10000"
"Overall","NJ","0.028","0.0021","0.024","0.033","0.028","0.0021","0.024","0.033","1","0","N/A","N/A","7881000","N/A","605000"
"1 - Yes","NJ","0.005","0.0006","0.004","0.006","0.023","0.0027","0.018","0.029","0.163","0.016","0.134","0.197","1284000","N/A","156000"
"2 - No","NJ","0.022","0.0018","0.019","0.026","0.029","0.0024","0.025","0.034","0.785","0.0182","0.747","0.819","6189000","N/A","515000"
"85 - BAD DATA Logically assigned","NJ","0","0","0","0","0.034","0.0323","0.005","0.197","0.001","0.0014","0","0.01","12000","N/A","11000"
"94 - DON T KNOW","NJ","0","0","0","0","0.015","0.0071","0.006","0.037","0.002","0.001","0.001","0.006","17000","N/A","8000"
"97 - REFUSED","NJ","0","0","0","0","0.015","0.0138","0.002","0.088","0","0.0004","0","0.003","4000","N/A","3000"
"98 - BLANK","NJ","0.001","0.0002","0.001","0.002","0.048","0.0083","0.034","0.067","0.048","0.0083","0.034","0.067","376000","N/A","67000"
"Overall","NM","0.006","0.0005","0.006","0.007","0.006","0.0005","0.006","0.007","1","0","N/A","N/A","1786000","N/A","128000"
"1 - Yes","NM","0.002","0.0002","0.002","0.003","0.011","0.0011","0.009","0.013","0.349","0.0249","0.301","0.399","622000","N/A","60000"
"2 - No","NM","0.004","0.0004","0.003","0.005","0.005","0.0005","0.004","0.006","0.601","0.0258","0.55","0.65","1073000","N/A","98000"
"85 - BAD DATA Logically assigned","NM","0","0","0","0","0.015","0.0085","0.005","0.045","0.003","0.0016","0.001","0.009","5000","N/A","3000"
"94 - DON T KNOW","NM","0","0","0","0","0.009","0.0041","0.004","0.022","0.006","0.0026","0.003","0.014","11000","N/A","5000"
"97 - REFUSED","NM","0","0","0","0","0.048","0.0315","0.013","0.164","0.006","0.0043","0.002","0.024","12000","N/A","8000"
"98 - BLANK","NM","0","0","0","0","0.008","0.0013","0.006","0.011","0.035","0.0063","0.024","0.05","62000","N/A","10000"
"Overall","NV","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2679000","N/A","210000"
"1 - Yes","NV","0.002","0.0003","0.002","0.003","0.012","0.0014","0.01","0.015","0.255","0.0211","0.216","0.299","684000","N/A","81000"
"2 - No","NV","0.007","0.0006","0.006","0.008","0.009","0.0007","0.008","0.011","0.72","0.0219","0.675","0.761","1928000","N/A","160000"
"85 - BAD DATA Logically assigned","NV","0","0","0","0","0.009","0.0077","0.002","0.046","0.001","0.001","0","0.006","3000","N/A","3000"
"94 - DON T KNOW","NV","0","0","0","0","0.004","0.0016","0.002","0.008","0.002","0.0006","0.001","0.004","4000","N/A","2000"
"97 - REFUSED","NV","0","0","0","0","0.02","0.0151","0.005","0.084","0.002","0.0014","0","0.008","5000","N/A","4000"
"98 - BLANK","NV","0","0","0","0","0.007","0.0015","0.004","0.011","0.02","0.0046","0.013","0.032","54000","N/A","12000"
"Overall","NY","0.06","0.0031","0.054","0.066","0.06","0.0031","0.054","0.066","1","0","N/A","N/A","16897000","N/A","892000"
"1 - Yes","NY","0.016","0.0012","0.014","0.019","0.081","0.0056","0.071","0.092","0.27","0.0142","0.243","0.299","4569000","N/A","332000"
"2 - No","NY","0.042","0.0024","0.038","0.047","0.055","0.0031","0.049","0.062","0.7","0.0144","0.671","0.727","11828000","N/A","694000"
"85 - BAD DATA Logically assigned","NY","0","0","0","0","0.021","0.0108","0.008","0.057","0","0.0002","0","0.001","7000","N/A","4000"
"94 - DON T KNOW","NY","0","0.0001","0","0.001","0.073","0.0213","0.041","0.128","0.005","0.0015","0.003","0.009","84000","N/A","25000"
"97 - REFUSED","NY","0","0","0","0","0.048","0.0389","0.01","0.211","0.001","0.0006","0","0.004","12000","N/A","10000"
"98 - BLANK","NY","0.001","0.0002","0.001","0.002","0.05","0.0064","0.039","0.065","0.024","0.0031","0.018","0.03","397000","N/A","52000"
"Overall","OH","0.035","0.0016","0.032","0.039","0.035","0.0016","0.032","0.039","1","0","N/A","N/A","9941000","N/A","457000"
"1 - Yes","OH","0.008","0.0006","0.007","0.009","0.04","0.0031","0.034","0.047","0.227","0.0144","0.2","0.256","2254000","N/A","180000"
"2 - No","OH","0.027","0.0013","0.024","0.029","0.035","0.0017","0.032","0.038","0.753","0.0146","0.723","0.781","7487000","N/A","374000"
"85 - BAD DATA Logically assigned","OH","0","0","0","0","0.001","0.0013","0","0.009","0","0","0","0","0","N/A","0"
"94 - DON T KNOW","OH","0","0","0","0","0.02","0.0118","0.007","0.062","0.002","0.0014","0.001","0.008","24000","N/A","14000"
"97 - REFUSED","OH","0","0","0","0","0.022","0.0106","0.008","0.056","0.001","0.0002","0","0.001","5000","N/A","2000"
"98 - BLANK","OH","0.001","0.0001","0","0.001","0.022","0.0032","0.016","0.029","0.017","0.0026","0.013","0.023","171000","N/A","25000"
"Overall","OK","0.012","0.0008","0.01","0.014","0.012","0.0008","0.01","0.014","1","0","N/A","N/A","3304000","N/A","234000"
"1 - Yes","OK","0.002","0.0003","0.002","0.003","0.01","0.0013","0.008","0.013","0.176","0.0159","0.147","0.209","581000","N/A","70000"
"2 - No","OK","0.009","0.0007","0.008","0.01","0.012","0.0009","0.01","0.014","0.769","0.0162","0.736","0.799","2541000","N/A","190000"
"85 - BAD DATA Logically assigned","OK","0","0","0","0","0.004","0.0044","0.001","0.031","0","0.0004","0","0.003","2000","N/A","2000"
"94 - DON T KNOW","OK","0","0","0","0","0.013","0.0076","0.004","0.041","0.005","0.0026","0.001","0.014","15000","N/A","9000"
"97 - REFUSED","OK","0","0","0","0","0.014","0.0142","0.002","0.095","0.001","0.001","0","0.007","3000","N/A","3000"
"98 - BLANK","OK","0.001","0.0001","0","0.001","0.021","0.0033","0.015","0.028","0.049","0.0083","0.035","0.068","161000","N/A","26000"
"Overall","OR","0.013","0.0008","0.012","0.015","0.013","0.0008","0.012","0.015","1","0","N/A","N/A","3664000","N/A","216000"
"1 - Yes","OR","0.003","0.0003","0.003","0.004","0.015","0.0014","0.013","0.018","0.237","0.0184","0.203","0.275","870000","N/A","77000"
"2 - No","OR","0.01","0.0007","0.008","0.011","0.013","0.0009","0.011","0.014","0.738","0.0195","0.698","0.774","2703000","N/A","188000"
"85 - BAD DATA Logically assigned","OR","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"94 - DON T KNOW","OR","0","0","0","0","0.011","0.0043","0.005","0.023","0.003","0.0013","0.002","0.007","13000","N/A","5000"
"97 - REFUSED","OR","0","0","0","0","0.012","0.0119","0.002","0.079","0.001","0.0008","0","0.005","3000","N/A","3000"
"98 - BLANK","OR","0","0.0001","0","0","0.01","0.0021","0.006","0.015","0.021","0.0046","0.013","0.032","76000","N/A","17000"
"Overall","PA","0.039","0.002","0.036","0.044","0.039","0.002","0.036","0.044","1","0","N/A","N/A","11085000","N/A","589000"
"1 - Yes","PA","0.008","0.0008","0.006","0.009","0.038","0.0038","0.031","0.046","0.195","0.0143","0.168","0.224","2160000","N/A","220000"
"2 - No","PA","0.03","0.0016","0.027","0.034","0.04","0.0021","0.036","0.044","0.769","0.0153","0.737","0.798","8524000","N/A","457000"
"85 - BAD DATA Logically assigned","PA","0","0.0001","0","0.001","0.109","0.0848","0.021","0.405","0.003","0.0029","0.001","0.018","38000","N/A","32000"
"94 - DON T KNOW","PA","0","0","0","0","0.034","0.01","0.019","0.06","0.003","0.001","0.002","0.006","39000","N/A","11000"
"97 - REFUSED","PA","0","0","0","0","0.04","0.0236","0.012","0.122","0.001","0.0005","0","0.003","10000","N/A","6000"
"98 - BLANK","PA","0.001","0.0002","0.001","0.002","0.04","0.0068","0.029","0.056","0.028","0.0054","0.02","0.041","315000","N/A","55000"
"Overall","RI","0.003","0.0003","0.003","0.004","0.003","0.0003","0.003","0.004","1","0","N/A","N/A","947000","N/A","77000"
"1 - Yes","RI","0.001","0.0001","0.001","0.001","0.003","0.0004","0.003","0.004","0.206","0.0228","0.165","0.254","195000","N/A","23000"
"2 - No","RI","0.002","0.0002","0.002","0.003","0.003","0.0003","0.003","0.004","0.74","0.0258","0.687","0.788","701000","N/A","70000"
"85 - BAD DATA Logically assigned","RI","0","0","0","0","0.004","0.0027","0.001","0.016","0.001","0.001","0","0.005","1000","N/A","1000"
"94 - DON T KNOW","RI","0","0","0","0","0.004","0.0018","0.002","0.009","0.005","0.0022","0.002","0.012","5000","N/A","2000"
"97 - REFUSED","RI","0","0","0","0","0.029","0.0275","0.005","0.168","0.008","0.0072","0.001","0.048","7000","N/A","7000"
"98 - BLANK","RI","0","0","0","0","0.005","0.0012","0.003","0.008","0.04","0.0105","0.024","0.067","38000","N/A","10000"
"Overall","SC","0.016","0.0013","0.013","0.019","0.016","0.0013","0.013","0.019","1","0","N/A","N/A","4434000","N/A","364000"
"1 - Yes","SC","0.002","0.0003","0.002","0.003","0.012","0.0014","0.01","0.015","0.153","0.0151","0.126","0.185","680000","N/A","78000"
"2 - No","SC","0.012","0.0011","0.01","0.015","0.016","0.0014","0.013","0.019","0.779","0.0156","0.746","0.808","3452000","N/A","312000"
"85 - BAD DATA Logically assigned","SC","0","0","0","0","0.042","0.0238","0.014","0.123","0.003","0.0018","0.001","0.01","15000","N/A","8000"
"94 - DON T KNOW","SC","0","0.0001","0","0","0.027","0.0182","0.007","0.098","0.007","0.0048","0.002","0.026","31000","N/A","21000"
"97 - REFUSED","SC","0","0","0","0","0.006","0.0054","0.001","0.037","0","0.0003","0","0.002","1000","N/A","1000"
"98 - BLANK","SC","0.001","0.0002","0.001","0.001","0.032","0.0059","0.023","0.046","0.058","0.0105","0.04","0.082","255000","N/A","48000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","741000","N/A","51000"
"1 - Yes","SD","0","0.0001","0","0","0.002","0.0003","0.001","0.002","0.122","0.0223","0.085","0.173","90000","N/A","18000"
"2 - No","SD","0.002","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","0.833","0.0227","0.784","0.873","617000","N/A","46000"
"85 - BAD DATA Logically assigned","SD","0","0","0","0","0.017","0.0113","0.005","0.061","0.008","0.0053","0.002","0.029","6000","N/A","4000"
"94 - DON T KNOW","SD","0","0","0","0","0.002","0.0013","0.001","0.007","0.004","0.002","0.001","0.011","3000","N/A","1000"
"97 - REFUSED","SD","0","0","0","0","0.001","0.0005","0","0.003","0","0.0002","0","0.001","0","N/A","0"
"98 - BLANK","SD","0","0","0","0","0.003","0.0006","0.002","0.005","0.032","0.0065","0.022","0.048","24000","N/A","5000"
"Overall","TN","0.021","0.0014","0.019","0.024","0.021","0.0014","0.019","0.024","1","0","N/A","N/A","5919000","N/A","383000"
"1 - Yes","TN","0.004","0.0004","0.003","0.005","0.019","0.002","0.016","0.024","0.185","0.0169","0.154","0.221","1095000","N/A","113000"
"2 - No","TN","0.016","0.0012","0.014","0.019","0.021","0.0015","0.018","0.024","0.765","0.0181","0.727","0.798","4525000","N/A","325000"
"85 - BAD DATA Logically assigned","TN","0","0.0001","0","0.001","0.168","0.0973","0.049","0.442","0.01","0.0065","0.003","0.035","58000","N/A","39000"
"94 - DON T KNOW","TN","0","0","0","0","0.016","0.0067","0.007","0.036","0.003","0.0012","0.001","0.007","19000","N/A","8000"
"97 - REFUSED","TN","0","0","0","0","0.023","0.0164","0.005","0.09","0.001","0.0007","0","0.004","6000","N/A","4000"
"98 - BLANK","TN","0.001","0.0002","0.001","0.001","0.027","0.0053","0.019","0.04","0.036","0.0073","0.025","0.054","216000","N/A","42000"
"Overall","TX","0.087","0.0037","0.08","0.095","0.087","0.0037","0.08","0.095","1","0","N/A","N/A","24492000","N/A","1109000"
"1 - Yes","TX","0.011","0.001","0.01","0.013","0.057","0.0047","0.048","0.067","0.131","0.0083","0.116","0.148","3218000","N/A","274000"
"2 - No","TX","0.073","0.0031","0.067","0.079","0.095","0.004","0.087","0.103","0.832","0.0085","0.815","0.848","20377000","N/A","923000"
"85 - BAD DATA Logically assigned","TX","0","0","0","0","0.046","0.0233","0.017","0.12","0.001","0.0003","0","0.002","16000","N/A","8000"
"94 - DON T KNOW","TX","0","0.0001","0","0.001","0.116","0.0307","0.068","0.191","0.005","0.0015","0.003","0.01","134000","N/A","39000"
"97 - REFUSED","TX","0","0","0","0","0.056","0.0474","0.01","0.258","0.001","0.0005","0","0.003","13000","N/A","12000"
"98 - BLANK","TX","0.003","0.0003","0.002","0.003","0.093","0.0095","0.076","0.113","0.03","0.0034","0.024","0.037","733000","N/A","79000"
"Overall","UT","0.01","0.0007","0.008","0.011","0.01","0.0007","0.008","0.011","1","0","N/A","N/A","2735000","N/A","209000"
"1 - Yes","UT","0.001","0.0001","0.001","0.001","0.005","0.0007","0.004","0.007","0.103","0.0102","0.085","0.125","282000","N/A","38000"
"2 - No","UT","0.008","0.0007","0.007","0.01","0.011","0.0009","0.01","0.013","0.873","0.0104","0.851","0.892","2387000","N/A","185000"
"85 - BAD DATA Logically assigned","UT","0","0","0","0","0.001","0.0005","0","0.003","0","0.0001","0","0","0","N/A","0"
"94 - DON T KNOW","UT","0","0","0","0","0.004","0.0026","0.001","0.015","0.002","0.0011","0","0.006","4000","N/A","3000"
"97 - REFUSED","UT","0","0","0","0","0.018","0.0119","0.005","0.065","0.002","0.0011","0","0.006","4000","N/A","3000"
"98 - BLANK","UT","0","0","0","0","0.007","0.0011","0.005","0.01","0.021","0.0036","0.015","0.029","58000","N/A","8000"
"Overall","VA","0.026","0.0014","0.023","0.029","0.026","0.0014","0.023","0.029","1","0","N/A","N/A","7254000","N/A","382000"
"1 - Yes","VA","0.004","0.0004","0.003","0.005","0.021","0.0021","0.017","0.025","0.163","0.0133","0.139","0.191","1184000","N/A","117000"
"2 - No","VA","0.021","0.0012","0.019","0.023","0.028","0.0015","0.025","0.031","0.817","0.0129","0.791","0.841","5928000","N/A","326000"
"85 - BAD DATA Logically assigned","VA","0","0","0","0","0.004","0.0034","0.001","0.022","0","0.0002","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","VA","0","0","0","0","0.03","0.0078","0.018","0.05","0.005","0.0012","0.003","0.008","35000","N/A","9000"
"97 - REFUSED","VA","0","0","0","0","0.008","0.0049","0.002","0.026","0","0.0002","0","0.001","2000","N/A","1000"
"98 - BLANK","VA","0","0.0001","0","0.001","0.013","0.0024","0.009","0.019","0.014","0.0026","0.01","0.021","104000","N/A","19000"
"Overall","VT","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","568000","N/A","45000"
"1 - Yes","VT","0","0","0","0.001","0.002","0.0002","0.002","0.003","0.229","0.0161","0.199","0.262","130000","N/A","13000"
"2 - No","VT","0.002","0.0001","0.001","0.002","0.002","0.0002","0.002","0.002","0.754","0.016","0.721","0.784","429000","N/A","36000"
"85 - BAD DATA Logically assigned","VT","0","0","0","0","0.003","0.0017","0.001","0.009","0.002","0.001","0.001","0.006","1000","N/A","1000"
"94 - DON T KNOW","VT","0","0","0","0","0.002","0.0009","0.001","0.005","0.004","0.0017","0.002","0.009","2000","N/A","1000"
"97 - REFUSED","VT","0","0","0","0","0.002","0.0013","0.001","0.007","0.001","0.0006","0","0.003","1000","N/A","0"
"98 - BLANK","VT","0","0","0","0","0.001","0.0002","0","0.001","0.01","0.0022","0.006","0.015","6000","N/A","1000"
"Overall","WA","0.023","0.0016","0.02","0.027","0.023","0.0016","0.02","0.027","1","0","N/A","N/A","6575000","N/A","455000"
"1 - Yes","WA","0.004","0.0005","0.003","0.005","0.021","0.0024","0.016","0.026","0.177","0.0154","0.148","0.209","1162000","N/A","136000"
"2 - No","WA","0.018","0.0012","0.016","0.021","0.024","0.0016","0.021","0.027","0.78","0.0182","0.742","0.813","5127000","N/A","351000"
"85 - BAD DATA Logically assigned","WA","0","0","0","0","0.032","0.0181","0.011","0.094","0.002","0.0009","0.001","0.005","11000","N/A","6000"
"94 - DON T KNOW","WA","0","0","0","0","0.014","0.0043","0.008","0.025","0.002","0.0007","0.001","0.004","16000","N/A","5000"
"97 - REFUSED","WA","0","0","0","0","0.005","0.0052","0.001","0.036","0","0.0002","0","0.001","1000","N/A","1000"
"98 - BLANK","WA","0.001","0.0002","0.001","0.001","0.033","0.0077","0.021","0.052","0.039","0.0087","0.025","0.06","258000","N/A","63000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5031000","N/A","296000"
"1 - Yes","WI","0.003","0.0003","0.002","0.004","0.015","0.0016","0.012","0.018","0.164","0.0153","0.136","0.197","827000","N/A","91000"
"2 - No","WI","0.015","0.0009","0.013","0.016","0.019","0.0012","0.017","0.022","0.812","0.0159","0.778","0.841","4084000","N/A","259000"
"85 - BAD DATA Logically assigned","WI","0","0","0","0","0.003","0.0024","0.001","0.014","0","0.0002","0","0.001","1000","N/A","1000"
"94 - DON T KNOW","WI","0","0","0","0","0.007","0.0027","0.003","0.015","0.002","0.0006","0.001","0.003","8000","N/A","3000"
"97 - REFUSED","WI","0","0","0","0","0.001","0.0009","0","0.006","0","0","0","0","0","N/A","0"
"98 - BLANK","WI","0","0.0001","0","0.001","0.014","0.0024","0.01","0.02","0.022","0.0039","0.016","0.031","111000","N/A","19000"
"Overall","WV","0.005","0.0005","0.005","0.006","0.005","0.0005","0.005","0.006","1","0","N/A","N/A","1525000","N/A","136000"
"1 - Yes","WV","0.002","0.0002","0.001","0.002","0.009","0.0009","0.007","0.011","0.323","0.0235","0.279","0.371","493000","N/A","52000"
"2 - No","WV","0.004","0.0004","0.003","0.004","0.005","0.0005","0.004","0.006","0.649","0.0242","0.6","0.695","990000","N/A","103000"
"85 - BAD DATA Logically assigned","WV","0","0","0","0","0.005","0.0036","0.001","0.02","0.001","0.0008","0","0.005","2000","N/A","1000"
"94 - DON T KNOW","WV","0","0","0","0","0.008","0.0033","0.004","0.018","0.006","0.0024","0.003","0.013","10000","N/A","4000"
"97 - REFUSED","WV","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","N/A","0"
"98 - BLANK","WV","0","0","0","0","0.004","0.0012","0.002","0.007","0.02","0.006","0.011","0.036","31000","N/A","9000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","488000","N/A","34000"
"1 - Yes","WY","0","0","0","0","0.001","0.0002","0.001","0.001","0.119","0.0185","0.087","0.16","58000","N/A","10000"
"2 - No","WY","0.001","0.0001","0.001","0.002","0.002","0.0001","0.002","0.002","0.842","0.0189","0.802","0.876","411000","N/A","30000"
"85 - BAD DATA Logically assigned","WY","0","0","0","0","0","0.0001","0","0","0","0","0","0","0","N/A","0"
"94 - DON T KNOW","WY","0","0","0","0","0.001","0.0007","0","0.004","0.003","0.0016","0.001","0.009","1000","N/A","1000"
"97 - REFUSED","WY","0","0","0","0","0.012","0.0118","0.002","0.08","0.006","0.0059","0.001","0.041","3000","N/A","3000"
"98 - BLANK","WY","0","0","0","0","0.002","0.0006","0.001","0.003","0.03","0.0094","0.016","0.056","15000","N/A","5000"
