"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - 26-34 Years Old","NE","0.001","0.0001","0.001","0.001","0.006","0.0005","0.005","0.007","0.136","0.0097","0.118","0.156","222000","N/A","21000"
"3 - 35-49 Years Old","NE","0.001","0.0001","0.001","0.001","0.006","0.0004","0.005","0.007","0.222","0.0149","0.195","0.253","364000","N/A","27000"
"4 - 50 or Older","NE","0.002","0.0002","0.002","0.003","0.006","0.0005","0.005","0.007","0.407","0.0228","0.363","0.453","666000","N/A","65000"
"5 - 12-17 Years Old","NE","0.001","0.0001","0","0.001","0.006","0.0007","0.005","0.008","0.102","0.0095","0.085","0.122","167000","N/A","19000"
"Overall","NH","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1225000","N/A","74000"
"1 - 18-25 Years Old","NH","0","0","0","0.001","0.004","0.0004","0.003","0.005","0.111","0.0087","0.095","0.129","135000","N/A","12000"
"2 - 26-34 Years Old","NH","0.001","0.0001","0","0.001","0.004","0.0004","0.003","0.005","0.131","0.0113","0.111","0.155","161000","N/A","15000"
"3 - 35-49 Years Old","NH","0.001","0.0001","0.001","0.001","0.004","0.0003","0.003","0.005","0.204","0.0134","0.179","0.232","250000","N/A","21000"
"4 - 50 or Older","NH","0.002","0.0002","0.002","0.002","0.005","0.0004","0.004","0.006","0.477","0.0224","0.434","0.521","585000","N/A","50000"
"5 - 12-17 Years Old","NH","0","0","0","0","0.004","0.0004","0.003","0.004","0.076","0.0066","0.064","0.09","93000","N/A","9000"
"Overall","NJ","0.028","0.0013","0.026","0.031","0.028","0.0013","0.026","0.031","1","0","N/A","N/A","7902000","N/A","366000"
"1 - 18-25 Years Old","NJ","0.003","0.0002","0.003","0.004","0.026","0.002","0.022","0.03","0.112","0.0062","0.101","0.125","887000","N/A","68000"
"2 - 26-34 Years Old","NJ","0.004","0.0003","0.003","0.004","0.026","0.0021","0.023","0.031","0.135","0.0088","0.118","0.153","1065000","N/A","85000"
"3 - 35-49 Years Old","NJ","0.006","0.0005","0.005","0.007","0.028","0.0022","0.024","0.033","0.226","0.0138","0.2","0.254","1785000","N/A","138000"
"4 - 50 or Older","NJ","0.012","0.0007","0.011","0.014","0.029","0.0017","0.026","0.032","0.437","0.0178","0.402","0.472","3454000","N/A","203000"
"5 - 12-17 Years Old","NJ","0.003","0.0002","0.002","0.003","0.028","0.0026","0.023","0.033","0.09","0.007","0.077","0.105","711000","N/A","67000"
"Overall","NM","0.006","0.0004","0.006","0.007","0.006","0.0004","0.006","0.007","1","0","N/A","N/A","1794000","N/A","109000"
"1 - 18-25 Years Old","NM","0.001","0.0001","0.001","0.001","0.006","0.0006","0.005","0.008","0.123","0.0094","0.106","0.143","221000","N/A","22000"
"2 - 26-34 Years Old","NM","0.001","0.0001","0.001","0.001","0.006","0.0005","0.005","0.007","0.134","0.0079","0.12","0.15","241000","N/A","21000"
"3 - 35-49 Years Old","NM","0.001","0.0001","0.001","0.002","0.006","0.0004","0.005","0.007","0.212","0.0112","0.191","0.235","380000","N/A","26000"
"4 - 50 or Older","NM","0.003","0.0002","0.002","0.003","0.007","0.0005","0.006","0.008","0.436","0.0161","0.405","0.468","782000","N/A","59000"
"5 - 12-17 Years Old","NM","0.001","0.0001","0","0.001","0.007","0.0007","0.005","0.008","0.094","0.0088","0.078","0.113","169000","N/A","19000"
"Overall","NV","0.01","0.0006","0.008","0.011","0.01","0.0006","0.008","0.011","1","0","N/A","N/A","2709000","N/A","176000"
"1 - 18-25 Years Old","NV","0.001","0.0001","0.001","0.001","0.009","0.0007","0.007","0.01","0.108","0.0074","0.094","0.124","293000","N/A","23000"
"2 - 26-34 Years Old","NV","0.001","0.0002","0.001","0.002","0.01","0.0012","0.008","0.013","0.15","0.013","0.126","0.177","407000","N/A","46000"
"3 - 35-49 Years Old","NV","0.002","0.0002","0.002","0.003","0.01","0.001","0.008","0.012","0.231","0.0174","0.199","0.267","627000","N/A","64000"
"4 - 50 or Older","NV","0.004","0.0004","0.003","0.005","0.01","0.0009","0.008","0.011","0.42","0.0298","0.362","0.479","1137000","N/A","110000"
"5 - 12-17 Years Old","NV","0.001","0.0001","0.001","0.001","0.01","0.0009","0.008","0.012","0.091","0.0072","0.077","0.106","246000","N/A","24000"
"Overall","NY","0.06","0.0027","0.055","0.065","0.06","0.0027","0.055","0.065","1","0","N/A","N/A","16838000","N/A","783000"
"1 - 18-25 Years Old","NY","0.007","0.0004","0.006","0.008","0.058","0.0035","0.052","0.066","0.119","0.0057","0.109","0.131","2009000","N/A","124000"
"2 - 26-34 Years Old","NY","0.009","0.0005","0.008","0.01","0.061","0.0037","0.054","0.069","0.147","0.0077","0.132","0.162","2468000","N/A","153000"
"3 - 35-49 Years Old","NY","0.013","0.0007","0.012","0.014","0.058","0.0033","0.052","0.065","0.217","0.0079","0.202","0.233","3650000","N/A","211000"
"4 - 50 or Older","NY","0.026","0.0015","0.023","0.029","0.061","0.0036","0.055","0.069","0.436","0.013","0.41","0.462","7338000","N/A","450000"
"5 - 12-17 Years Old","NY","0.005","0.0003","0.004","0.006","0.053","0.0034","0.047","0.06","0.082","0.0041","0.074","0.09","1373000","N/A","89000"
"Overall","OH","0.035","0.0016","0.032","0.038","0.035","0.0016","0.032","0.038","1","0","N/A","N/A","9952000","N/A","445000"
"1 - 18-25 Years Old","OH","0.004","0.0005","0.003","0.005","0.035","0.0042","0.027","0.044","0.119","0.0136","0.095","0.149","1189000","N/A","150000"
"2 - 26-34 Years Old","OH","0.005","0.0003","0.004","0.006","0.034","0.0022","0.03","0.039","0.139","0.0077","0.124","0.154","1379000","N/A","90000"
"3 - 35-49 Years Old","OH","0.007","0.0005","0.007","0.008","0.034","0.002","0.03","0.038","0.212","0.009","0.195","0.231","2114000","N/A","129000"
"4 - 50 or Older","OH","0.015","0.0009","0.014","0.017","0.037","0.0021","0.033","0.041","0.438","0.015","0.409","0.468","4361000","N/A","250000"
"5 - 12-17 Years Old","OH","0.003","0.0002","0.003","0.004","0.035","0.0025","0.031","0.04","0.091","0.0053","0.081","0.102","909000","N/A","65000"
"Overall","OK","0.012","0.0008","0.01","0.013","0.012","0.0008","0.01","0.013","1","0","N/A","N/A","3334000","N/A","220000"
"1 - 18-25 Years Old","OK","0.002","0.0002","0.001","0.002","0.013","0.0016","0.01","0.016","0.132","0.0124","0.11","0.158","441000","N/A","56000"
"2 - 26-34 Years Old","OK","0.002","0.0002","0.001","0.002","0.012","0.0012","0.01","0.014","0.141","0.0127","0.118","0.168","471000","N/A","48000"
"3 - 35-49 Years Old","OK","0.003","0.0003","0.002","0.003","0.012","0.0012","0.01","0.014","0.222","0.0146","0.195","0.252","740000","N/A","74000"
"4 - 50 or Older","OK","0.005","0.0004","0.004","0.006","0.011","0.0009","0.01","0.013","0.403","0.0198","0.365","0.443","1344000","N/A","108000"
"5 - 12-17 Years Old","OK","0.001","0.0001","0.001","0.001","0.013","0.0012","0.011","0.016","0.101","0.0087","0.085","0.12","337000","N/A","31000"
"Overall","OR","0.013","0.0006","0.012","0.014","0.013","0.0006","0.012","0.014","1","0","N/A","N/A","3668000","N/A","178000"
"1 - 18-25 Years Old","OR","0.001","0.0001","0.001","0.002","0.012","0.0009","0.01","0.014","0.113","0.0076","0.099","0.129","414000","N/A","32000"
"2 - 26-34 Years Old","OR","0.002","0.0002","0.002","0.002","0.013","0.0013","0.011","0.016","0.144","0.0134","0.12","0.173","530000","N/A","51000"
"3 - 35-49 Years Old","OR","0.003","0.0003","0.003","0.004","0.013","0.0012","0.011","0.016","0.231","0.0177","0.198","0.267","846000","N/A","74000"
"4 - 50 or Older","OR","0.006","0.0004","0.005","0.007","0.013","0.001","0.011","0.015","0.43","0.0226","0.386","0.475","1576000","N/A","124000"
"5 - 12-17 Years Old","OR","0.001","0.0001","0.001","0.001","0.012","0.0012","0.01","0.014","0.083","0.0077","0.069","0.099","303000","N/A","32000"
"Overall","PA","0.039","0.0018","0.036","0.043","0.039","0.0018","0.036","0.043","1","0","N/A","N/A","11105000","N/A","505000"
"1 - 18-25 Years Old","PA","0.005","0.0003","0.004","0.005","0.038","0.0026","0.034","0.044","0.119","0.0066","0.106","0.132","1319000","N/A","91000"
"2 - 26-34 Years Old","PA","0.005","0.0004","0.005","0.006","0.037","0.0028","0.032","0.043","0.134","0.0082","0.119","0.151","1493000","N/A","115000"
"3 - 35-49 Years Old","PA","0.008","0.0005","0.007","0.009","0.037","0.002","0.033","0.041","0.21","0.0084","0.194","0.226","2327000","N/A","129000"
"4 - 50 or Older","PA","0.018","0.001","0.016","0.02","0.042","0.0024","0.038","0.047","0.453","0.0145","0.425","0.482","5030000","N/A","288000"
"5 - 12-17 Years Old","PA","0.003","0.0002","0.003","0.004","0.036","0.0027","0.031","0.042","0.084","0.0044","0.076","0.093","935000","N/A","70000"
"Overall","RI","0.003","0.0002","0.003","0.004","0.003","0.0002","0.003","0.004","1","0","N/A","N/A","949000","N/A","58000"
"1 - 18-25 Years Old","RI","0","0.0001","0","0.001","0.004","0.0005","0.003","0.005","0.129","0.018","0.098","0.169","123000","N/A","18000"
"2 - 26-34 Years Old","RI","0","0","0","0.001","0.003","0.0003","0.003","0.004","0.142","0.0122","0.12","0.168","135000","N/A","13000"
"3 - 35-49 Years Old","RI","0.001","0.0001","0.001","0.001","0.003","0.0003","0.003","0.004","0.209","0.0139","0.183","0.237","198000","N/A","18000"
"4 - 50 or Older","RI","0.001","0.0001","0.001","0.002","0.004","0.0003","0.003","0.004","0.443","0.023","0.399","0.489","421000","N/A","35000"
"5 - 12-17 Years Old","RI","0","0","0","0","0.003","0.0003","0.002","0.003","0.076","0.0061","0.065","0.089","73000","N/A","7000"
"Overall","SC","0.016","0.0012","0.014","0.019","0.016","0.0012","0.014","0.019","1","0","N/A","N/A","4514000","N/A","343000"
"1 - 18-25 Years Old","SC","0.002","0.0002","0.002","0.002","0.015","0.0013","0.013","0.018","0.118","0.0115","0.097","0.142","531000","N/A","45000"
"2 - 26-34 Years Old","SC","0.002","0.0003","0.002","0.003","0.015","0.0019","0.012","0.019","0.132","0.0127","0.109","0.159","598000","N/A","78000"
"3 - 35-49 Years Old","SC","0.003","0.0003","0.003","0.004","0.015","0.0015","0.012","0.018","0.21","0.0139","0.184","0.239","950000","N/A","94000"
"4 - 50 or Older","SC","0.007","0.0007","0.006","0.009","0.017","0.0017","0.014","0.021","0.45","0.024","0.403","0.497","2030000","N/A","207000"
"5 - 12-17 Years Old","SC","0.001","0.0002","0.001","0.002","0.016","0.0022","0.012","0.021","0.09","0.0113","0.07","0.115","406000","N/A","59000"
"Overall","SD","0.003","0.0002","0.002","0.003","0.003","0.0002","0.002","0.003","1","0","N/A","N/A","751000","N/A","47000"
"1 - 18-25 Years Old","SD","0","0","0","0","0.003","0.0004","0.002","0.004","0.126","0.0161","0.097","0.161","94000","N/A","13000"
"2 - 26-34 Years Old","SD","0","0","0","0","0.002","0.0003","0.002","0.003","0.133","0.0119","0.111","0.158","100000","N/A","11000"
"3 - 35-49 Years Old","SD","0.001","0","0","0.001","0.003","0.0002","0.002","0.003","0.214","0.0136","0.189","0.242","161000","N/A","12000"
"4 - 50 or Older","SD","0.001","0.0001","0.001","0.001","0.003","0.0003","0.002","0.003","0.426","0.0267","0.375","0.479","320000","N/A","30000"
"5 - 12-17 Years Old","SD","0","0","0","0","0.003","0.0004","0.002","0.004","0.101","0.0099","0.083","0.122","76000","N/A","10000"
"Overall","TN","0.021","0.001","0.019","0.023","0.021","0.001","0.019","0.023","1","0","N/A","N/A","5988000","N/A","285000"
"1 - 18-25 Years Old","TN","0.003","0.0002","0.002","0.003","0.021","0.0018","0.018","0.025","0.12","0.0104","0.101","0.142","716000","N/A","63000"
"2 - 26-34 Years Old","TN","0.003","0.0003","0.003","0.004","0.022","0.0022","0.018","0.026","0.145","0.0132","0.121","0.172","866000","N/A","89000"
"3 - 35-49 Years Old","TN","0.005","0.0004","0.004","0.005","0.021","0.0018","0.017","0.025","0.218","0.0161","0.188","0.251","1304000","N/A","116000"
"4 - 50 or Older","TN","0.009","0.0007","0.008","0.01","0.021","0.0016","0.018","0.025","0.427","0.02","0.388","0.467","2556000","N/A","189000"
"5 - 12-17 Years Old","TN","0.002","0.0001","0.002","0.002","0.021","0.0015","0.018","0.024","0.091","0.0065","0.079","0.105","546000","N/A","39000"
"Overall","TX","0.088","0.0033","0.082","0.095","0.088","0.0033","0.082","0.095","1","0","N/A","N/A","24946000","N/A","988000"
"1 - 18-25 Years Old","TX","0.012","0.0006","0.011","0.013","0.096","0.0048","0.087","0.106","0.133","0.0059","0.122","0.145","3318000","N/A","176000"
"2 - 26-34 Years Old","TX","0.014","0.0008","0.012","0.015","0.095","0.0056","0.085","0.107","0.154","0.0073","0.14","0.169","3835000","N/A","240000"
"3 - 35-49 Years Old","TX","0.021","0.0011","0.019","0.023","0.096","0.0046","0.087","0.105","0.241","0.0075","0.227","0.256","6013000","N/A","309000"
"4 - 50 or Older","TX","0.032","0.0016","0.029","0.036","0.076","0.0038","0.069","0.084","0.366","0.0111","0.345","0.388","9135000","N/A","473000"
"5 - 12-17 Years Old","TX","0.009","0.0005","0.008","0.01","0.102","0.0056","0.092","0.114","0.106","0.0048","0.097","0.116","2645000","N/A","156000"
"Overall","UT","0.01","0.0005","0.009","0.011","0.01","0.0005","0.009","0.011","1","0","N/A","N/A","2783000","N/A","151000"
"1 - 18-25 Years Old","UT","0.002","0.0002","0.001","0.002","0.013","0.0014","0.011","0.016","0.163","0.0155","0.135","0.196","454000","N/A","50000"
"2 - 26-34 Years Old","UT","0.002","0.0002","0.001","0.002","0.011","0.0011","0.009","0.013","0.159","0.0142","0.133","0.189","443000","N/A","44000"
"3 - 35-49 Years Old","UT","0.002","0.0002","0.002","0.003","0.011","0.0007","0.009","0.012","0.238","0.0106","0.218","0.26","662000","N/A","45000"
"4 - 50 or Older","UT","0.003","0.0003","0.003","0.004","0.007","0.0007","0.006","0.009","0.319","0.0207","0.279","0.361","887000","N/A","80000"
"5 - 12-17 Years Old","UT","0.001","0.0001","0.001","0.001","0.013","0.0011","0.011","0.015","0.121","0.0078","0.107","0.137","337000","N/A","27000"
"Overall","VA","0.026","0.0012","0.024","0.028","0.026","0.0012","0.024","0.028","1","0","N/A","N/A","7290000","N/A","338000"
"1 - 18-25 Years Old","VA","0.003","0.0002","0.003","0.004","0.026","0.0017","0.023","0.029","0.121","0.007","0.108","0.136","884000","N/A","59000"
"2 - 26-34 Years Old","VA","0.004","0.0003","0.003","0.004","0.025","0.0021","0.021","0.03","0.138","0.0103","0.119","0.16","1007000","N/A","86000"
"3 - 35-49 Years Old","VA","0.006","0.0003","0.005","0.007","0.026","0.0015","0.023","0.029","0.226","0.0097","0.207","0.245","1646000","N/A","96000"
"4 - 50 or Older","VA","0.011","0.0007","0.01","0.012","0.026","0.0017","0.023","0.03","0.425","0.0179","0.39","0.46","3095000","N/A","208000"
"5 - 12-17 Years Old","VA","0.002","0.0002","0.002","0.003","0.025","0.002","0.022","0.03","0.09","0.0051","0.081","0.101","657000","N/A","53000"
"Overall","VT","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","570000","N/A","38000"
"1 - 18-25 Years Old","VT","0","0","0","0","0.002","0.0002","0.002","0.003","0.125","0.0107","0.106","0.148","72000","N/A","7000"
"2 - 26-34 Years Old","VT","0","0","0","0","0.002","0.0002","0.001","0.002","0.122","0.0109","0.102","0.145","70000","N/A","7000"
"3 - 35-49 Years Old","VT","0","0","0","0","0.002","0.0002","0.002","0.002","0.203","0.0137","0.177","0.231","116000","N/A","10000"
"4 - 50 or Older","VT","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.475","0.0201","0.436","0.515","271000","N/A","25000"
"5 - 12-17 Years Old","VT","0","0","0","0","0.002","0.0001","0.001","0.002","0.074","0.0058","0.064","0.087","42000","N/A","4000"
"Overall","WA","0.023","0.0012","0.021","0.026","0.023","0.0012","0.021","0.026","1","0","N/A","N/A","6628000","N/A","334000"
"1 - 18-25 Years Old","WA","0.003","0.0003","0.002","0.003","0.022","0.0021","0.018","0.026","0.113","0.0093","0.096","0.132","746000","N/A","72000"
"2 - 26-34 Years Old","WA","0.004","0.0003","0.003","0.004","0.026","0.0022","0.022","0.031","0.158","0.013","0.134","0.186","1050000","N/A","90000"
"3 - 35-49 Years Old","WA","0.006","0.0005","0.005","0.007","0.025","0.0021","0.021","0.029","0.236","0.0151","0.207","0.267","1562000","N/A","136000"
"4 - 50 or Older","WA","0.01","0.0008","0.008","0.011","0.023","0.0019","0.019","0.027","0.407","0.0247","0.359","0.456","2694000","N/A","226000"
"5 - 12-17 Years Old","WA","0.002","0.0002","0.002","0.002","0.022","0.0018","0.019","0.026","0.087","0.0071","0.074","0.102","575000","N/A","46000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5052000","N/A","297000"
"1 - 18-25 Years Old","WI","0.002","0.0002","0.002","0.003","0.018","0.0014","0.016","0.021","0.124","0.0115","0.103","0.148","625000","N/A","47000"
"2 - 26-34 Years Old","WI","0.002","0.0002","0.002","0.003","0.016","0.0013","0.014","0.019","0.129","0.0101","0.111","0.151","654000","N/A","53000"
"3 - 35-49 Years Old","WI","0.004","0.0003","0.003","0.004","0.017","0.0015","0.014","0.02","0.211","0.0139","0.185","0.24","1068000","N/A","94000"
"4 - 50 or Older","WI","0.008","0.0007","0.007","0.01","0.019","0.0018","0.016","0.023","0.445","0.0221","0.403","0.489","2250000","N/A","212000"
"5 - 12-17 Years Old","WI","0.002","0.0001","0.001","0.002","0.018","0.0015","0.015","0.021","0.09","0.0064","0.078","0.103","454000","N/A","38000"
"Overall","WV","0.005","0.0004","0.005","0.006","0.005","0.0004","0.005","0.006","1","0","N/A","N/A","1518000","N/A","122000"
"1 - 18-25 Years Old","WV","0.001","0.0001","0.001","0.001","0.005","0.0005","0.004","0.006","0.116","0.0093","0.098","0.135","175000","N/A","17000"
"2 - 26-34 Years Old","WV","0.001","0.0001","0.001","0.001","0.005","0.0006","0.004","0.006","0.123","0.0108","0.103","0.145","186000","N/A","25000"
"3 - 35-49 Years Old","WV","0.001","0.0001","0.001","0.001","0.005","0.0005","0.004","0.006","0.205","0.0126","0.181","0.23","311000","N/A","33000"
"4 - 50 or Older","WV","0.003","0.0002","0.002","0.003","0.006","0.0005","0.005","0.007","0.474","0.0203","0.434","0.514","719000","N/A","64000"
"5 - 12-17 Years Old","WV","0","0","0","0.001","0.005","0.0005","0.004","0.006","0.084","0.0071","0.071","0.099","127000","N/A","14000"
"Overall","WY","0.002","0.0001","0.001","0.002","0.002","0.0001","0.001","0.002","1","0","N/A","N/A","492000","N/A","38000"
"1 - 18-25 Years Old","WY","0","0","0","0","0.002","0.0003","0.001","0.002","0.119","0.0149","0.093","0.152","59000","N/A","10000"
"2 - 26-34 Years Old","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.13","0.0135","0.106","0.159","64000","N/A","7000"
"3 - 35-49 Years Old","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.222","0.0153","0.194","0.254","109000","N/A","11000"
"4 - 50 or Older","WY","0.001","0.0001","0.001","0.001","0.002","0.0002","0.001","0.002","0.431","0.0247","0.383","0.48","212000","N/A","21000"
"5 - 12-17 Years Old","WY","0","0","0","0","0.002","0.0002","0.002","0.002","0.097","0.0096","0.08","0.118","48000","N/A","5000"
